"GP","Comments"
"GP1","Baseline pan-T program; near-ubiquitous, captures mean expression of pan-T/housekeeping genes (Actb, Actg1, B2m, Cd3d/e/g, Cd52); also a continuous sequencing-depth batch effect"
"GP2","Miniverse (wM)"
"GP3","γδ T/CD8aa shared program (with GP22, GP29); Cd7, Fcer1g, Ctsw, Ccl5 with prominent Gzma/Gzmb; gut IEL, CD69-associated by CITEseq"
"GP4","CD4.wN specific"
"GP5","Proliferation program"
"GP6","Skin-enriched γδ T program; Vim, Lgals1, S100a6; CD69-associated skin program by CITEseq"
"GP7","Skin-enriched γδ T program (with GP6)"
"GP8","DETC γδ T program; identified by surface TCRVγ3 and TCRγδ by CITEseq"
"GP9","Batch-effect program enriched in specific batches (IGT13, IGT14)"
"GP10","Cytotoxic effector program; Gzma, Nkg7; active in CD8.H-K, CD4.S, DN.F; KLRG1-associated in CD4 and CD8 by CITEseq"
"GP11","Tissue program in resting CD4.A/B and CD8.A/B across lung, liver, placenta, kidney, colon LP and skin"
"GP12","chronic-stimulation/anergy program, CD4-biased (vs CD8); Izumo1r (FR4), Pdcd1; Tfh/Tfr (CD4.H, Treg.C); identified by FR4+ CD73+ by CITEseq"
"GP13","IL-17-associated program (with GP36, GP161), CD4-biased (vs CD8)"
"GP14",""
"GP15","MYC targets enriched program"
"GP16","ISG program, particularly active in CD4.D, CD8.F, DN.I/J"
"GP17",""
"GP18",""
"GP19",""
"GP20","proliferation program, CD8.K specific"
"GP21","proliferation program"
"GP22","DN-enriched lineage program; Ikzf2, Fcer1g, Klr genes"
"GP23","Non lymphoid tissue program across lineages; gated as CD103+ ITB7+ CD29- CD49D-"
"GP24","Rare, Defensin family program"
"GP25","Activation program"
"GP26","Broadly active activation program (with GP80 in 86% of activated T cells), particularly in non-lymphoid tissues; Klf2 down, Rgs1 up; CD69-associated by CITEseq"
"GP27","Effector Treg program; Areg, Tnfrsf4; KLRG1-associated in Tregs by CITEseq"
"GP28",""
"GP29","CD8aa γδ T and ab T shared program (with GP3, GP22), CD69-associated by CITEseq"
"GP30","Tz (Zbtb16+) lineage-specific program; Zbtb16; shared across iNKT, MAIT and other Tz"
"GP31","Granzyme family program"
"GP32","Activation program"
"GP33","Hemoglobin program"
"GP34","Proliferation program"
"GP35","Early TCR-response program; Nr4a1, Fos, Jun, Dusp1; CD69-associated by CITEseq"
"GP36","IL-17-associated program with Il22 co-expression"
"GP37","Mammary gland-specific program"
"GP38",""
"GP39",""
"GP40","Myeloid-like program"
"GP41","Resting CD4.B/CD8.B program"
"GP42","Reg family enriched program"
"GP43","Translation, actin remodeling enriched program"
"GP44","Proliferation program"
"GP45",""
"GP46",""
"GP47","Klk family enriched program"
"GP48",""
"GP49","resting-like program"
"GP50","B cell program"
"GP51","broadly active program"
"GP52",""
"GP53",""
"GP54",""
"GP55","Myeloid-like program"
"GP56","Th2-like program across lineages; Il4, Il13, Areg"
"GP57","Chronic-stimulation/exhaustion program; Tox, Lag3; active in CD4+ and CD8+ tumor-infiltrating T cells"
"GP58","CD8-associated lineage program; higher in resting than activated CD8"
"GP59",""
"GP60",""
"GP61",""
"GP62","Gzma/b program in gut-resident CD8aa intraepithelial program (with GP3, GP29); CD69-associated by CITEseq"
"GP63","Non-lymphoid tissue program broadly active across lineages (with GP26); CD69-associated by CITEseq"
"GP64",""
"GP65",""
"GP66",""
"GP67",""
"GP68","Treg lineage-specific program; Foxp3, Il2ra, Ikzf2, Izumo1r"
"GP69",""
"GP70",""
"GP71",""
"GP72","CD4 and gdT specific programs, particularly in the skin"
"GP73",""
"GP74",""
"GP75",""
"GP76",""
"GP77","Rare program in B220+ CD8+ mammary gland T cells"
"GP78",""
"GP79","Activation program; Odc1, Bhlhe40, Ifngr1, Il7r, Rgs1, Il18ra, Rora, Tmem176a/b"
"GP80","Broad activation program, possibly Klf2-associated recirculation/tissue-egress program marked by integrins; gated as CD29+ CD49D+ CD103- ITB7- by CITEseq"
"GP81","Activation program"
"GP82",""
"GP83",""
"GP84",""
"GP85",""
"GP86",""
"GP87",""
"GP88",""
"GP89",""
"GP90",""
"GP91",""
"GP92",""
"GP93",""
"GP94",""
"GP95",""
"GP96",""
"GP97",""
"GP98",""
"GP99",""
"GP100","Activation program, CD8-biased (compared to CD4)"
"GP101","Resting-like program"
"GP102",""
"GP103",""
"GP104",""
"GP105",""
"GP106",""
"GP107",""
"GP108",""
"GP109","Activation program, CD4 biased (compared to CD8)"
"GP110","Activation program, CD4 biased (compared to CD8)"
"GP111",""
"GP112","Activation program, CD4 biased (compared to CD8)"
"GP113",""
"GP114",""
"GP115",""
"GP116",""
"GP117",""
"GP118","Proliferation program"
"GP119",""
"GP120",""
"GP121",""
"GP122",""
"GP123",""
"GP124",""
"GP125",""
"GP126","DN.F specific program; KLR enriched"
"GP127","DN-specific program"
"GP128",""
"GP129",""
"GP130",""
"GP131",""
"GP132",""
"GP133",""
"GP134",""
"GP135","Stress program, Hsp family enriched"
"GP136",""
"GP137",""
"GP138",""
"GP139",""
"GP140",""
"GP141",""
"GP142",""
"GP143",""
"GP144",""
"GP145",""
"GP146",""
"GP147",""
"GP148",""
"GP149",""
"GP150",""
"GP151","Proliferation program"
"GP152","Activation program, CD4-biased; Ctla4, Il10"
"GP153",""
