dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
GP row,1,GP120,CD8.F,6,0.0604737324945902,0.0577614628217695,0.00271226967282066,NA
GP row,2,GP32,CD8.J,10,0.216944702892826,0.1742101960153,0.0427345068775259,NA
GP row,3,GP118,CD8.K,11,0.28065577817369,0.170318530241316,0.110337247932375,NA
GP row,4,GP182,CD8.K,11,0.0381377162642651,0.0300019808851236,0.00813573537914147,NA
GP row,5,GP25,CD8.K,11,0.235237477899827,0.234040458226782,0.00119701967304486,NA
GP row,6,GP26,CD8.Q,13,0.165887752423042,0.14859628746678,0.0172914649562626,NA
GP row,7,GP181,CD8.R,14,0.18951701189397,0.180310613929676,0.0092063979642944,NA
GP row,8,GP180,CD8.R,14,0.0149659585190353,0.0105117716512216,0.00445418686781366,NA
GP row,9,GP130,CD8.S,15,0.0377537163128646,0.0179075962713869,0.0198461200414777,NA
GP row,10,GP57,CD8.S,15,0.0446630337451026,0.0265562644562241,0.0181067692888784,NA
GP row,11,GP199,CD8.S,15,0.0286044189366435,0.0177349777800885,0.010869441156555,NA
GP row,12,GP58,CD8.wM,17,0.299839331920006,0.280448836892333,0.0193904950276731,NA
GP row,13,GP40,CD8.wX,20,0.0227251765368501,0.0121533463511286,0.0105718301857215,NA
GP row,14,GP41,CD4.B,23,0.193453079945486,0.158664123015078,0.0347889569304077,NA
GP row,15,GP11,CD4.B,23,0.146528638448932,0.119548793815597,0.0269798446333349,NA
GP row,16,GP173,CD4.F,27,0.0294050424126675,0.0222294944477162,0.00717554796495136,NA
GP row,17,GP12,CD4.H,29,0.180453689440982,0.174056539405137,0.00639715003584579,NA
GP row,18,GP109,CD4.H,29,0.015237127451888,0.014633333162124,0.000603794289764072,NA
GP row,19,GP110,CD4.I,30,0.0282817606712107,0.0223788015022511,0.00590295916895962,NA
GP row,20,GP28,CD4.I,30,0.021905763412135,0.01676400737281,0.005141756039325,NA
GP row,21,GP112,CD4.I,30,0.0116526410846773,0.00865321229891212,0.0029994287857652,NA
GP row,22,GP187,CD4.I,30,0.0116381025561071,0.00864961077626397,0.00298849177984318,NA
GP row,23,GP83,CD4.P,31,0.0137237698053478,0.0104751849985255,0.00324858480682225,NA
GP row,24,GP80,CD4.R,33,0.192130918294141,0.165069279606563,0.0270616386875785,NA
GP row,25,GP156,CD4.T,35,0.0400826580551952,0.027552726493733,0.0125299315614622,NA
GP row,26,GP56,CD4.U,36,0.182283719924204,0.0640854254679322,0.118198294456272,NA
GP row,27,GP159,CD4.U,36,0.249468245329231,0.15083759466975,0.0986306506594812,NA
GP row,28,GP135,CD4.U,36,0.0718175418686536,0.0607244315321093,0.0110931103365443,NA
GP row,29,GP4,CD4.wN,38,0.245499986552811,0.093825605651184,0.151674380901627,NA
GP row,30,GP43,CD4.wN,38,0.178062539176539,0.16547558131095,0.0125869578655882,NA
GP row,31,GP36,CD4.Y,41,0.321010844118505,0.0364752102293005,0.284535633889205,NA
GP row,32,GP161,CD4.Y,41,0.417009164137484,0.154023749130389,0.262985415007096,NA
GP row,33,GP6,CD4.Y,41,0.50570042074177,0.376037555407202,0.129662865334568,NA
GP row,34,GP162,CD4.Y,41,0.242204154845844,0.168233350652905,0.0739708041929394,NA
GP row,35,GP69,CD4.Y,41,0.0804942006949594,0.00908510360470075,0.0714090970902587,NA
GP row,36,GP170,CD4.Y,41,0.205944106554002,0.154356939057608,0.0515871674963931,NA
GP row,37,GP72,CD4.Y,41,0.317376247025352,0.27740802575751,0.0399682212678428,NA
GP row,38,GP81,CD4.Y,41,0.0578320256702731,0.020569529921739,0.0372624957485341,NA
GP row,39,GP50,CD4.Y,41,0.0264610412966301,0.00828367987561647,0.0181773614210136,NA
GP row,40,GP169,CD4.Y,41,0.0263855070960749,0.00827400999493241,0.0181114971011425,NA
GP row,41,GP44,CD4.Y,41,0.0125030594099146,0.00961022056053522,0.00289283884937937,NA
