dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
GP row,1,GP36,CD4.Y,1,0.326405795153758,0.0418701612645528,0.284535633889205,NA
GP row,2,GP161,CD4.Y,1,0.427107883325942,0.164122468318846,0.262985415007096,NA
GP row,3,GP6,CD4.Y,1,0.56129799333449,0.431635127999922,0.129662865334568,NA
GP row,4,GP162,CD4.Y,1,0.256259644821602,0.182288840628663,0.0739708041929394,NA
GP row,5,GP69,CD4.Y,1,0.0885088850619073,0.0170997879716486,0.0714090970902587,NA
GP row,6,GP170,CD4.Y,1,0.292142898657342,0.240555731160949,0.0515871674963931,NA
GP row,7,GP72,CD4.Y,1,0.344989871663938,0.305021650396095,0.0399682212678428,NA
GP row,8,GP81,CD4.Y,1,0.05939187356222,0.0221293778136859,0.0372624957485341,NA
GP row,9,GP50,CD4.Y,1,0.0295580153771751,0.0113806539561615,0.0181773614210136,NA
GP row,10,GP169,CD4.Y,1,0.0294808519171244,0.0113693548159819,0.0181114971011425,NA
GP row,11,GP44,CD4.Y,1,0.0158550627260595,0.0129622238766801,0.00289283884937937,NA
GP row,12,GP108,CD4.Y,1,0.00463922989276925,0.00205377453222668,0.00258545536054256,NA
GP row,13,GP102,CD4.Y,1,0.000599569812142575,0.000387754113659058,0.000211815698483517,NA
GP row,14,GP8,gdT.Z,2,0.420961761394312,0.13531594821409,0.285645813180223,NA
GP row,15,GP93,gdT.Z,2,0.31710190240454,0.0461321640666992,0.270969738337841,NA
GP row,16,GP107,gdT.Z,2,0.149460054449048,0.0577879890279651,0.091672065421083,NA
GP row,17,GP150,gdT.Z,2,0.136961509822662,0.101927213530934,0.0350342962917273,NA
GP row,18,GP85,gdT.Z,2,0.120548631310942,0.103722060775366,0.0168265705355759,NA
GP row,19,GP53,gdT.Z,2,0.0999097169363664,0.0894217669799322,0.0104879499564342,NA
GP row,20,GP197,gdT.Z,2,0.0216143987100587,0.0128764827481425,0.00873791596191625,NA
GP row,21,GP183,gdT.Z,2,0.00366641942474199,0.00171405344901316,0.00195236597572883,NA
GP row,22,GP200,gdT.Z,2,0.00110107599014635,0.00024294805540361,0.000858127934742739,NA
GP row,23,GP131,gdT.Z,2,0.000957748702186328,0.000152539219680488,0.000805209482505839,NA
GP row,24,GP196,gdT.Z,2,0.0080532220889262,0.00795389974687207,9.93223420541235e-05,NA
GP row,25,GP138,gdT.Z,2,0.000256502640395532,0.000232627524342404,2.38751160531282e-05,NA
GP row,26,GP140,gdT.Z,2,0.000493398704953879,0.00047561610422837,1.77826007255089e-05,NA
GP row,27,GP49,gdT.E,3,0.448218696707115,0.397654744752719,0.0505639519543958,NA
GP row,28,GP89,gdT.E,3,0.0101038560490321,0.00474748819155563,0.00535636785747649,NA
GP row,29,GP175,gdT.E,3,0.00158958815900163,5.91177236338697e-05,0.00153047043536776,NA
GP row,30,GP147,gdT.E,3,0.00215421155621245,0.00140070252574711,0.000753509030465338,NA
GP row,31,GP90,gdT.E,3,0.0050608038950277,0.00464340269280415,0.000417401202223552,NA
GP row,32,GP39,gdT.E,3,0.0129455204749898,0.0126835433977667,0.000261977077223106,NA
GP row,33,GP19,gdT.E,3,0.0012103999647905,0.00100628975951348,0.000204110205277016,NA
GP row,34,GP114,gdT.E,3,0.00164312773393151,0.00155383071317219,8.92970207593219e-05,NA
GP row,35,GP115,gdT.E,3,0.00157232719559309,0.0015590802069037,1.32469886893886e-05,NA
GP row,36,GP122,DN.A,4,0.0685282367997991,0.0100873043721029,0.0584409324276963,NA
GP row,37,GP133,DN.A,4,0.0534866372007275,0.0129506133334463,0.0405360238672812,NA
GP row,38,GP134,DN.A,4,0.0492989145186081,0.0204660766893903,0.0288328378292178,NA
GP row,39,GP124,DN.A,4,0.0378506635217024,0.0103575433268099,0.0274931201948925,NA
GP row,40,GP60,DN.A,4,0.0378115383889622,0.0104598411645242,0.027351697224438,NA
GP row,41,GP128,DN.A,4,0.0158348039064761,0.00478781247136247,0.0110469914351137,NA
GP row,42,GP24,DN.A,4,0.00162406257557195,0.00119794109243343,0.000426121483138524,NA
GP row,43,GP38,DN.A,4,0.00044517724789193,9.24061809142152e-05,0.000352771066977715,NA
GP row,44,GP35,gdT.S,5,0.335310178961721,0.245580275040422,0.0897299039212995,NA
GP row,45,GP17,gdT.S,5,0.0625350636929568,0.0386932901829877,0.0238417735099691,NA
GP row,46,GP13,gdT.S,5,0.300084786729306,0.278209087326919,0.0218756994023878,NA
GP row,47,GP79,gdT.S,5,0.222297818426903,0.214362029918879,0.00793578850802379,NA
GP row,48,GP98,gdT.S,5,0.00910758140719048,0.00415508253104476,0.00495249887614571,NA
