group,n_cells
CD4.A,27164
CD4.B,25938
CD4.C,38133
CD4.D,4945
CD4.E,3414
CD4.F,4265
CD4.G,6666
CD4.H,1958
CD4.I,1028
CD4.P,1035
CD4.Q,3809
CD4.R,512
CD4.S,300
CD4.T,495
CD4.U,23
CD4.wM,10543
CD4.wN,1162
CD4.wZ,468
CD4.X,887
CD4.Y,616
CD8.A,44112
CD8.B,16066
CD8.C,2600
CD8.D,2195
CD8.E,10027
CD8.F,266
CD8.G,997
CD8.H,1366
CD8.I,198
CD8.J,1203
CD8.K,214
CD8.P,2393
CD8.Q,2445
CD8.R,1006
CD8.S,99
CD8.T,901
CD8.wM,6174
CD8.wU,81
CD8.wV,481
CD8.wX,30
CD8.wY,234
CD8aa.A,8296
CD8aa.B,1678
CD8aa.C,2465
CD8aa.D,1350
CD8aa.E,1138
CD8aa.P,503
CD8aa.wM,247
DN.A,579
DN.B,3462
DN.C,1757
DN.D,1680
DN.E,1946
DN.F,76
DN.G,70
DN.H,504
DN.I,232
DN.J,107
DN.P,320
DN.wM,822
DP.wA,1291
DP.wB,316
DP.wC,804
DP.wD,655
DP.wE,564
DP.wF,58
DP.wG,244
DP.wH,35
DP.wM,248
DP.wP,231
DP.wX,900
DP.wY,201
gdT.A,2231
gdT.B,5563
gdT.C,1319
gdT.D,4354
gdT.E,636
gdT.F,6349
gdT.G,1411
gdT.H,567
gdT.I,3705
gdT.J,40
gdT.K,2112
gdT.P,2313
gdT.Q,945
gdT.R,1479
gdT.S,1526
gdT.T,218
gdT.U,1518
gdT.V,1883
gdT.wM,1732
gdT.X,2
gdT.Z,3331
Treg.A,8101
Treg.B,2510
Treg.C,974
Treg.D,3819
Treg.E,1866
Treg.F,2941
Treg.P,1786
Treg.wM,654
Tz.A,6663
Tz.B,846
Tz.C,1939
Tz.D,1565
Tz.P,228
Tz.wM,706
