order,group
1,CD4.Y
2,gdT.T
3,gdT.R
4,gdT.S
5,CD4.X
6,CD4.U
7,CD4.T
8,Treg.E
9,Treg.D
10,Tz.D
11,gdT.U
12,gdT.V
13,gdT.Q
14,gdT.Z
15,gdT.P
16,gdT.F
17,gdT.E
18,CD8aa.E
19,DP.wY
20,gdT.A
21,gdT.C
22,gdT.B
23,CD8aa.C
24,gdT.D
25,CD8aa.D
26,DN.F
27,CD8.K
28,CD4.P
29,Treg.P
30,DP.wP
31,CD8.P
32,Tz.P
33,DN.P
34,CD8aa.P
35,CD8.S
36,CD4.Q
37,CD8.R
38,CD8.Q
39,CD4.R
40,CD8.J
41,Treg.F
42,CD4.G
43,CD8.I
44,CD8.H
45,CD4.S
46,DN.E
47,DN.H
48,gdT.J
49,DN.I
50,DN.B
51,CD8aa.B
52,DN.D
53,gdT.G
54,DN.C
55,CD4.wZ
56,DP.wE
57,DP.wD
58,CD8.wV
59,DN.G
60,CD8aa.A
61,CD8.T
62,gdT.I
63,Treg.C
64,CD4.I
65,CD4.H
66,Treg.B
67,Treg.A
68,DP.wH
69,CD8.D
70,CD4.F
71,gdT.X
72,CD8.F
73,CD8.wY
74,CD8.G
75,CD8.wU
76,DN.A
77,CD8.wX
78,DP.wB
79,gdT.K
80,DP.wX
81,CD8.B
82,CD8.E
83,CD8.C
84,CD8.A
85,DP.wA
86,CD4.wN
87,CD4.B
88,CD4.D
89,CD4.E
90,CD4.C
91,CD4.A
92,DN.wM
93,gdT.wM
94,CD8aa.wM
95,Treg.wM
96,CD8.wM
97,DP.wM
98,CD4.wM
99,Tz.wM
100,DN.J
101,Tz.A
102,Tz.B
103,gdT.H
104,Tz.C
105,DP.wC
106,DP.wF
107,DP.wG
