GP,CD4.A,CD4.B,CD4.C,CD4.D,CD4.E,CD4.F,CD4.G,CD4.H,CD4.I,CD4.P,CD4.Q,CD4.R,CD4.S,CD4.T,CD4.U,CD4.wM,CD4.wN,CD4.wZ,CD4.X,CD4.Y,CD8.A,CD8.B,CD8.C,CD8.D,CD8.E,CD8.F,CD8.G,CD8.H,CD8.I,CD8.J,CD8.K,CD8.P,CD8.Q,CD8.R,CD8.S,CD8.T,CD8.wM,CD8.wU,CD8.wV,CD8.wX,CD8.wY,CD8aa.A,CD8aa.B,CD8aa.C,CD8aa.D,CD8aa.E,CD8aa.P,CD8aa.wM,DN.A,DN.B,DN.C,DN.D,DN.E,DN.F,DN.G,DN.H,DN.I,DN.J,DN.P,DN.wM,DP.wA,DP.wB,DP.wC,DP.wD,DP.wE,DP.wF,DP.wG,DP.wH,DP.wM,DP.wP,DP.wX,DP.wY,gdT.A,gdT.B,gdT.C,gdT.D,gdT.E,gdT.F,gdT.G,gdT.H,gdT.I,gdT.J,gdT.K,gdT.P,gdT.Q,gdT.R,gdT.S,gdT.T,gdT.U,gdT.V,gdT.wM,gdT.X,gdT.Z,Treg.A,Treg.B,Treg.C,Treg.D,Treg.E,Treg.F,Treg.P,Treg.wM,Tz.A,Tz.B,Tz.C,Tz.D,Tz.P,Tz.wM
GP1,0.355804137536267,0.340568222024792,0.33007124782054,0.33487292694448,0.355633117343427,0.356554843328279,0.370414482273416,0.344727008483948,0.362612552131664,0.448009943937382,0.379673647234609,0.42255941819511,0.352052434547671,0.383322949830771,0.374028339177094,0.293820891593972,0.269703073024964,0.407876016743396,0.449967171198036,0.508547891806612,0.338421084787316,0.330631985839684,0.371033241485386,0.361236410280688,0.348433991386218,0.335137623102216,0.357801032378421,0.367618893374422,0.386094878782133,0.398295322882433,0.452262520654341,0.430442301223424,0.380667828107744,0.379737357832033,0.447682467451694,0.38622977644474,0.298577747033175,0.300240927203625,0.394631167545102,0.365020000886185,0.356863460642943,0.385975090163812,0.36915027786447,0.505571512055661,0.462970902531595,0.455260040872926,0.455024786047718,0.341574567125697,0.372164983075112,0.363596631078612,0.366711629019033,0.395095663557845,0.370988069846654,0.438195424733168,0.376045535381799,0.383820388660366,0.363394226131013,0.354861237543896,0.437817395474795,0.345894898414121,0.390484960965081,0.404523791592989,0.306511735922006,0.39503087790763,0.371386080179197,0.417374953069053,0.307007502178038,0.404820403752514,0.318254526136066,0.44232983111135,0.428085950896238,0.516778775518228,0.421964828323509,0.502096314862556,0.508188813175109,0.465485144644789,0.377359103322152,0.428456385901579,0.362590603104608,0.333072882459929,0.364116193470033,0.365354777634099,0.362726023907384,0.466108870276778,0.355973334237887,0.42564234407304,0.417705357291166,0.444132517723741,0.327219184534199,0.340876274415596,0.346588011781238,0.372387628423796,0.385142572298382,0.326775411183241,0.332978206773112,0.385168621290541,0.378439189610658,0.380327961163531,0.384808704251604,0.443271960241203,0.323404957810076,0.368090744627678,0.372552831600103,0.336364676134676,0.418502231837495,0.428472093879873,0.336508440679896
GP2,0.0141589306741595,0.0188433346672287,0.0412224458478055,0.0236283297756434,0.0349748400186193,0.0227029264643026,0.0154303607534964,0.0240427848085872,0.0295984133462253,0.0150835356711062,0.0136634530502698,0.00481041325833176,0.00905116826648827,0.011069434580621,0.0104769803893937,0.356868153415981,0.000576635001317913,0.00487294214618445,0.00881569247721688,0.0236298517186452,0.0240734025030746,0.0147144584335584,0.0224554516476518,0.0142728307526972,0.0175935155355099,0.0221385198643067,0.00610625213925785,0.0093044917651679,0.00694393398996299,0.00736614202443847,0.00272950168079428,0.0279020925296778,0.00819661870639335,0.00935627388510422,0.0237586191375188,0.0110856010469865,0.392912959833605,0.017922706380112,0.00327483988915018,0.0171041547140256,0.00784212930216967,0.00919172521657565,0.00838858902324411,0.00764675155528697,0.0495909280279638,0.00667868905838011,0.00991490418139262,0.373616102532641,0.0233559156819169,0.015941063240353,0.00478406403065768,0.00880997251152353,0.00792404615009798,0.01070128939221,0.0196939552771934,0.00641704170221368,0.00575308358992654,0.0115840593378321,0.0121676612895035,0.413646549146737,0.0230256608827355,0.0189558509674291,0.149431428375443,0.0028877335683754,0.00131053270340256,0.0182858036655448,0.0129379360527064,0.0282126574968732,0.324921664128673,0.0341861080103546,0.0115697145870686,0.021553940071969,0.00809663657657136,0.00687001483561783,0.00778418964718371,0.0471369080878542,0.194511807977099,0.00654599542175188,0.00862931532451499,0.0138186559634726,0.0138064687935685,0.0729853309742971,0.0282965097528247,0.061177072586827,0.00816791334866233,0.0115094685698528,0.00697228375774257,0.00996700824680125,0.0058258134498769,0.0117660357256267,0.386653178314113,0.000875420998556627,0.00471696668079294,0.022040433447953,0.0303371031313582,0.0167324097457496,0.0138765165966651,0.0104687092927014,0.014293971356493,0.0100833816282179,0.357769148766152,0.0138517822034641,0.00958687331925122,0.0161711653735914,0.0181873055669365,0.031004023357825,0.373914468537893
GP3,2.61356946878892e-05,4.88209096160178e-05,9.0249744013567e-05,7.50994426665262e-05,3.19157674240986e-05,0.000175335424299882,7.96489234594427e-05,0.000430301605909075,0.000829454172297219,0.00476396299142821,0.0193595694138597,0.000249674348928578,0.000450543933939282,0.000623645253165845,0.0025471952831196,0.000656530359922741,7.39682748688872e-07,0.0953982851834079,0.000453799582846121,0.0138022183028428,3.61112955602986e-05,5.59398750171342e-05,0.000970225915233109,0.000436246313995446,0.000160372200063105,7.65745653034614e-07,0.000202451670127502,0.0117765183375065,0.00818298065378392,0.00101786746248818,0.00652066560325138,0.00581392402357614,0.0300984265831514,0.0346710065744479,0.157931656160337,0.0621951700489258,0.000839588428034324,0.0194522136727643,0.0615607749779683,0.00370965864050826,0.00167815497381233,0.0768806017774732,0.00319281722850878,0.401242161657327,0.387529532160755,0.143314070769166,0.127199654839316,0.132436539563088,0.00175305995133686,0.00188575902462842,0.00115985667507994,0.00530767076606577,0.0121850733531572,0.0399991460319792,0.0135963957780298,0.0396723992752153,0.00680483813314867,0.00188073823883272,0.0369844079388755,0.00766890316893984,0.000161512190646396,0.00583594029516103,9.16810593006935e-05,0.0645799487940753,0.060364500319042,8.91262905222532e-07,1.22739028972765e-06,8.00181418888814e-07,0.00150204102974579,0.00242170999719639,0.0373004677995265,0.248884647700965,0.221026287564371,0.410421819947251,0.394669632266817,0.386344695169914,0.232185247253622,0.244111151127181,0.00287061986002704,0.00203195190381484,0.0200580816617375,0.0333431138797555,0.0016379082912359,0.258261109546009,0.00011526677640639,0.000894243573088764,0.0010012605697157,0.00396536215505268,0.00163328241955281,0.00016113471072732,0.118827935016163,7.18876550084092e-07,0.347003601384594,0.000197500439553411,0.000113249767891336,0.000441993238546541,0.00245332469227078,0.000693647791326261,0.000180441751164967,0.000731257148591702,0.00114400682726825,0.00209623212325425,0.00677534801796761,0.000648205413599169,0.000675705521032456,0.00114426568613877,0.00484810858397047
GP4,0.17918296619785,0.127480691138164,0.127210854601663,0.144405665165287,0.164531621233821,0.145041527729924,0.141176254758072,0.186323599910359,0.164918773332431,0.184865869499295,0.168266533618405,0.130968199708102,0.127456211916097,0.196468567815843,0.221991877087902,0.128525329614881,0.392783012419232,0.110310443507878,0.153700149929488,0.164939673806181,0.141121571547537,0.114176386386239,0.138364781927916,0.140535407729847,0.157532257415831,0.127256937438874,0.179026982620487,0.159989039764768,0.147023004397278,0.156764212203627,0.16021914103074,0.144016666611813,0.147968201302722,0.171615451752991,0.135463887887567,0.154644766632329,0.105559047652826,0.132269195274074,0.0919430549010782,0.211847848455334,0.0954072485459233,0.151723210701623,0.171711587506657,0.160547258637781,0.0976808060236646,0.13477766528693,0.19871234034524,0.127621838868777,0.160728694638015,0.126373580018544,0.187734518889399,0.122388849991126,0.129445921750366,0.138547246391858,0.147096375607124,0.148990518684266,0.155729641148204,0.156942775514164,0.169876148786896,0.0849183142295522,0.128853723131302,0.121152468308416,0.0643680513422075,0.0974803976772709,0.0963370189249564,0.112164211249802,0.11174563941263,0.0885169973329414,0.131388520534074,0.114307808803028,0.132895048612706,0.112240167051219,0.133667956151567,0.156461197885303,0.16617075068624,0.0911272544133852,0.107686590463963,0.16067120766915,0.15617522686114,0.186807142676927,0.152114503155809,0.128334675130454,0.142771438693273,0.199558918344934,0.137244092753961,0.106443112358179,0.241108631517605,0.142087192124663,0.227825677930539,0.151053940710058,0.150706633361982,0.0329473821134402,0.136162388473065,0.160285566444832,0.153009302968433,0.185677745962507,0.178746222647283,0.175011383340357,0.130307690048677,0.140855233139839,0.127770187385129,0.166753600668779,0.164411859528897,0.181829372340801,0.118134704017752,0.191587619864481,0.121487106002207
GP5,0.00011856951813524,0.000144492818938167,0.000504557484524286,0.000192725559216877,0.00076747578075961,0.000851361169465911,0.00210670548940298,0.00293605560295158,0.00521744959686821,0.207530754580001,0.00314190547258474,0.00492385322759734,0.000268327367614926,0.000845829801508156,2.88818884558717e-05,0.000641880200828254,0.00031672494620114,0.00485022201982563,0.000476573215498282,0.00113300522572181,0.000364108207871965,0.000222830039931463,0.00275036635041652,0.0013968532056459,0.00186418925231105,0.00181519052461671,0.000371623652971558,0.00108929739631138,0.000581129978939564,0.0010275022951949,0.0820627306013354,0.189732249223323,0.00068998564231289,0.000720364062738745,0.00275238726540953,0.00245351127376926,0.000876395389481654,0.00769705274069277,0.00559161493611603,0.00175551285378602,0.000562571462697232,0.000249213816162625,0.000250102000196476,0.000189832723200577,0.000722500121584756,0.000250167708448445,0.106473557680251,0.000568752470286131,0.000522542285092621,0.00195678422020705,0.000246952019044544,0.000554863626979442,9.48995986691396e-05,0.0129744521715478,1.46290915159299e-05,0.0072605806490645,0.000277358033522777,0.000544171561319246,0.257501498737989,0.001586218473952,0.00170056053743036,0.00116006679019451,0.000766060776217507,0.0037980968304883,0.00665271067056144,4.92329435291957e-06,0.000756466292564015,0.00274764040394622,0.00321592288296938,0.249401748285453,0.000467633573879235,1.65723276407562e-05,0.000890242081537449,9.30944668227423e-05,0.000331865458927093,0.000145067866163498,0.00456319493975052,0.000243238487063557,0.000234193235587074,7.67233998163558e-05,0.000400052946838631,0.0454795046144333,0.000320304258241817,0.109277800850798,0.000192032437148609,0.000933211374869161,0.000188158152261862,0.000950388771424251,0.000399742087872493,0.000555926142626662,0.00144210701380852,1.10179989231169e-05,0.000406852033819051,0.000249121527159717,0.000437290198111535,0.00163248755119177,0.000379622914575606,0.000282479486516577,0.000298614825331501,0.206267871348562,0.001033673712047,0.000439488360845527,0.000324747922910228,0.000363461122529898,0.000369353426775362,0.193543806466763,0.000818392492445428
GP6,0.000207360772202608,0.000351457569556197,0.000264950728358033,0.000204730968991745,0.000334037930591884,0.00572513157900404,0.0216539457010085,0.0192228428048215,0.0331052111190373,0.0979177595457645,0.100641907332716,0.0586861687487592,0.0200658360031791,0.269873311046926,0.271004540263167,0.00890243412861044,0.000580533884079544,0.00878733205153516,0.343574569736287,0.56129799333449,0.000235423406316241,0.000472016520921837,0.00126489815669419,0.00215192622394834,0.000519996272408467,0.000324343225388288,0.0109283545663442,0.022176418003191,0.0242938252521261,0.0293206666553104,0.0426994238434396,0.0208840015834311,0.0468107888703452,0.0390807750048752,0.0538101066506279,0.00147386248089877,0.00302045146045636,0.00601868012762108,0.00393280284857021,0.0188757706606067,0.00857878060759435,0.000973831654710739,0.00661359372897061,0.00287002262052927,0.00162103175180113,0.00253939594950409,0.0034786946381028,0.00209745443041516,0.00667792627050162,0.00740465879665177,0.000487776442515297,0.00106068833012081,0.0520395766325036,0.00284835641272161,0.00261590375678209,0.0176206772306287,0.00546219576945003,0.0256799117258137,0.0108668490615567,0.01198164740609,0.000455996774300667,0.0345315301869075,0.000565240439623493,0.0052484990978507,0.00610489967502992,0.00040279540107772,2.29557662602419e-06,0.0153400879322004,0.00632537467188866,0.0287667997964421,0.00661151730360538,0.0102558198511888,0.0144456486139109,0.00247672622952142,0.00212064714082917,0.00183694296692071,0.00913651471679752,0.000909119109250517,0.00249655324885729,0.00783676567624893,0.00137916912460878,0.00549278266984727,0.000565087946756883,0.0732832359027268,0.172233399514358,0.420748144340026,0.384045678965643,0.431635127999922,0.305572722850131,0.239076452830283,0.0633577333112384,0.0282209794159582,0.0990311098532382,0.0054592544437686,0.0385268612348377,0.0946226252751606,0.207269763116928,0.251963255715064,0.0928809440185742,0.0578996914071157,0.066214226891664,0.0174712800621248,0.00544024437232548,0.00555246313947455,0.245754453996205,0.0398678001618556,0.115290444172488
GP7,8.58508387027662e-05,6.82046574987774e-05,0.000165452595768351,6.85378107618719e-05,9.66348364550003e-05,4.95297914927403e-05,0.000107527960798633,2.81632624823661e-05,0.000495383982493773,0.000281248629569978,2.97120135535401e-05,1.79318371238837e-07,1.84495712144387e-07,0.00030184172153628,1.74007223213326e-07,0.000231525625741797,1.82357204647324e-07,0.00119885939259089,6.71063783111513e-05,0.000117763974626209,0.000170818769550759,6.46962700031305e-05,7.40322415710339e-05,7.75887280827462e-05,0.000138258743248606,5.30997718101035e-05,1.83094547579724e-07,0.000114883090505485,1.78588184280918e-07,3.16881731100655e-05,8.79928797167743e-05,0.00033205285123393,9.92621408618358e-05,0.000134068955697751,7.48071250106453e-05,0.000220146123272513,0.000355719987713018,0.000281479504010506,0.000159633471918599,0.000903798467282318,1.80759948615464e-07,0.000218337118364042,0.000234131100115856,0.000225453110514923,0.000254200293117033,0.000206786565471013,0.000162141032123324,7.4210360169929e-05,0.00133375924121352,0.00156941861544008,0.0013718792541719,0.000286949866959574,0.00066777205360534,1.72512313461104e-07,1.66821851610348e-07,0.00467077825703197,0.000314797667267765,0.000286908400423438,0.000196765252138233,0.00054986748975665,0.00278539847582917,0.00144804330681399,0.00143663413143878,0.00123480254600279,0.000637704785280017,0.0203475090191027,0.229282561203202,0.000448151671924844,0.0387768611149085,0.0326087726960179,0.000101955700314604,0.000244323260272532,0.000491145506604024,0.000264664989004438,3.53315040248778e-05,0.000549418328807846,0.000237080350406849,0.000214011287742186,0.000109275373933751,5.72326133505144e-05,0.00124185546392109,0.000759708907754055,0.000766631236361195,0.0153394873796025,7.04614042324321e-05,0.000237295419061923,0.000247006127333469,2.07285103930081e-05,0.000201958618924377,8.80692660212476e-05,0.000740224289604442,1.90249466632493e-07,0.0432604575770764,0.000134841455013093,0.000117446555589448,8.4085070564829e-05,0.0001020551339289,3.38366493621945e-05,6.57097728958898e-05,3.48509756454719e-05,0.000264638237538021,0.000132382410963144,4.88175457536572e-05,3.61459403071754e-06,0.000108574053942445,0.000234819700331821,0.000573119000149616
GP8,2.59119055218603e-06,1.23081968165979e-05,1.22391273246832e-05,1.46998666387518e-08,1.38853565537548e-08,1.50125380210753e-08,1.43075753216381e-05,7.96286342320752e-05,0.000130127192244344,4.70028387551467e-05,0.000108994938058138,1.5015947508639e-08,1.64998796541604e-08,0.000376772558005486,1.82593954684624e-08,0.000116169409796028,1.60971432939027e-08,1.45974556616493e-08,0.000109764444988097,0.000547114311568927,4.32548703404886e-07,9.40070676027941e-06,1.39798600656906e-08,1.31472201290728e-05,1.55104751003332e-08,1.53902487927528e-08,1.5467693992703e-08,3.88650227130814e-05,1.61509716014612e-08,1.51863433204948e-08,1.43430871868756e-08,8.95687859763472e-05,0.000299606861104237,7.02669951629793e-05,1.64966189058137e-08,0.000744388742596604,6.19548927157895e-05,1.55615613176575e-08,0.000229834034133698,1.54019571077695e-08,1.56425225380091e-08,0.00015535392617556,0.000178746425557108,1.5138139141033e-08,4.01746537762973e-05,0.000307085265537566,0.0001987679911417,1.54921033663889e-08,3.3029006338756e-05,3.39023327385058e-05,1.50599303989025e-08,0.00013701493867508,0.00472961181911795,1.63643253429595e-08,1.38984490069394e-08,0.00109186545069532,1.5442259192467e-08,1.43185666503326e-08,0.00121042574895111,0.000744236210225557,1.4465315232139e-08,1.49547524044195e-08,1.42770561865176e-08,1.46569440551131e-08,1.18096806397755e-05,1.7373933826269e-08,1.35478091920944e-08,1.53738487282411e-08,1.53140133550396e-08,1.57494323921865e-08,0.000466274096466794,0.0026182715678321,6.21180706273797e-06,2.75182538547228e-05,1.53211936021752e-08,0.000258165712074044,0.00197130465363525,0.000279924094608069,0.0003782027195586,1.4861606274511e-08,0.000381290991420525,1.54474795481467e-08,1.43429381547779e-08,0.13531594821409,2.00136441929714e-08,0.000944433930637456,8.791344233912e-05,0.000406271992992627,0.00132421516819839,5.62019085434942e-05,0.00169143706698882,2.11018156796869e-08,0.420961761394312,1.26691675299798e-05,6.61155643084855e-06,1.72045266731704e-08,2.07756178465744e-05,0.000193589671562676,3.43566990398167e-05,1.88969092809924e-08,0.000265355236142484,2.99680582500245e-05,0.000196785607308189,3.04362906578021e-05,0.000608697143416463,1.43446184358473e-08,0.00186497931293946
GP9,0.0948804456364766,0.0870440766775826,0.205833160770754,0.137483390859172,0.129461391925004,0.145311234181463,0.0781472337089391,0.103630005313166,0.106794447462614,0.0851773500381082,0.0651486804979385,0.0628406440382587,0.0661712773664316,0.0503567136726291,0.05276540262662,0.174274958660201,0.0212247496544343,0.132347111152979,0.0571600268411684,0.0535138119186917,0.150487915831377,0.0733040983286959,0.0695870930444442,0.123430453439723,0.102740441782711,0.143254723663792,0.0655486664661427,0.0751858234592553,0.0671555626584325,0.0719739210272833,0.0811844424996405,0.108837189344859,0.072138133441072,0.0611792750826035,0.0686677719981023,0.0770240987914937,0.163558554561473,0.180876311669062,0.142682596296374,0.0756610421061924,0.0740204048905877,0.076030389544759,0.0740701751874468,0.0777973308102746,0.0835902245365968,0.0664539808896879,0.0672461217930144,0.0764546861967842,0.067325225929185,0.0878900118372626,0.0502637066416208,0.0570058610910722,0.059230087115536,0.0636689351285933,0.0636166715807937,0.0610022886926547,0.0596712633632654,0.0492650216686478,0.0598741099984983,0.0784345700937618,0.0819856775129024,0.0831036855635931,0.62324141025659,0.140347017278652,0.137520904493941,0.0805087573037319,0.0746016793162215,0.13745625220053,0.222474171546296,0.141196317922232,0.0545234477680468,0.0718085430575267,0.0797234109372956,0.0796299137992738,0.0683790098111781,0.0847209235394016,0.0718983159909767,0.0664808248690067,0.0633265817883378,0.0927260549770381,0.0682196608642554,0.112195150909278,0.122428831042997,0.0634053186788813,0.0761763526660747,0.0583230271629221,0.060142531502479,0.0610539260278688,0.099880813835346,0.105331124495522,0.071165701291879,0.0371661819772235,0.0533716968300612,0.123667590168283,0.11868680029653,0.0978585277205243,0.0770295655870795,0.0723413149311263,0.0863077889068333,0.0945842383324595,0.0686977816546786,0.0645364386835175,0.070169718439557,0.0912592831778425,0.0919861368285254,0.0883720074856771,0.0770639039369529
GP10,0.000234983103878951,0.000279470978584462,0.000367192447533479,0.000220174443847837,0.00017929928136768,0.000239625770440476,0.00159425256359565,0.00121310430383349,0.000816407635237604,0.00635760132004753,0.00180959763117027,0.0520209508738953,0.233007720026654,0.00161605176440848,0.0113632728057122,0.00133806562499108,0.000200542442221357,0.00740610829565859,0.000227067426337862,0.0046564185521175,0.00032985283144972,0.000302552508115959,0.000253619946165437,0.000934130965464111,0.00432940248311533,0.00541679389376083,0.0140539315807306,0.198875774373664,0.323311043013162,0.0577095548116806,0.0881684055625878,0.0381012602730551,0.00585611270190779,0.0141312384461138,0.00748473706433391,0.000752203726321381,0.00428901320152627,0.0535950661349988,0.0054416781945712,0.00358200599708161,0.0275121915577035,0.000524394818086951,0.000757808823045783,0.0020169151940562,0.00110622482678685,0.00946457248378548,0.00520200168754925,0.00286739305313065,0.000714953010558389,0.00136825702299937,0.00343599399251001,0.00420995817212576,0.000914045802287014,0.371466667884381,0.000382881169630292,0.00509536105811217,0.00274817900460372,0.00302611191150434,0.0285814410812909,0.0335602015534543,0.000825426856865407,0.0154403247158568,0.00127358976278093,0.00762016868285224,0.00521688095411776,0.000297147355455769,0.000377520148826032,0.000667412145397508,0.00119378820354372,0.0194781642423191,0.00808772424186933,0.00279270276764758,0.0082770294591263,0.00115763853124528,0.000500224885982636,0.0008794011922579,0.00183362867271456,0.000467024270724457,0.00555430614064136,0.00224598191801601,0.000431183369500473,0.0133582965603866,0.00383651869556475,0.00380564232605362,0.000948838653826775,0.000761096737143923,0.00231262534194467,0.00153208451839594,0.000766971317335216,0.00234804913322982,0.00581942284271432,0.000110977316417102,0.00224959088512912,0.000455032340694277,0.000834091182485573,0.00119497420920585,0.00401467622840045,0.00193864930719254,0.00175863165165336,0.00074727574255279,0.00212086703471172,0.00151585372720808,0.0155545202015974,0.000257604495205433,0.000727909548950087,0.00199824636564066,0.00182736770495765
