order,group
1,gdT.E
2,gdT.Z
3,gdT.P
4,CD4.Y
5,DN.A
6,DN.H
7,DN.wM
8,gdT.wM
9,Tz.wM
10,DN.E
11,DN.J
12,Tz.A
13,gdT.J
14,gdT.D
15,CD8aa.D
16,gdT.B
17,CD8aa.C
18,gdT.C
19,gdT.F
20,CD8aa.A
21,gdT.I
22,CD8.T
23,gdT.R
24,gdT.T
25,Tz.D
26,gdT.S
27,gdT.U
28,gdT.V
29,gdT.Q
30,CD4.T
31,CD4.X
32,CD4.U
33,CD8.S
34,CD4.I
35,CD4.H
36,CD4.P
37,DP.wP
38,CD8.P
39,Treg.P
40,DN.P
41,Tz.P
42,CD8.K
43,Treg.wM
44,Treg.E
45,Treg.D
46,CD4.Q
47,CD8.Q
48,DN.B
49,CD8aa.P
50,DN.D
51,DN.C
52,gdT.G
53,CD8aa.B
54,DN.I
55,DP.wX
56,CD8.J
57,CD4.G
58,CD8.G
59,Treg.F
60,CD4.R
61,CD4.S
62,DP.wB
63,Treg.C
64,Treg.B
65,Treg.A
66,CD8.wX
67,CD8.wM
68,CD8.C
69,CD8.E
70,gdT.K
71,CD8.A
72,DP.wA
73,CD8.F
74,CD8.wY
75,CD8.B
76,CD4.B
77,CD4.F
78,CD8.D
79,Tz.B
80,CD8.wU
81,gdT.H
82,Tz.C
83,CD4.wM
84,CD4.E
85,CD4.D
86,DP.wC
87,CD4.A
88,CD4.C
89,CD4.wN
90,DN.G
91,DP.wF
92,gdT.X
93,CD8aa.wM
94,CD8.R
95,CD8.H
96,CD8.I
97,CD8aa.E
98,DP.wY
99,gdT.A
100,DP.wM
101,DP.wG
102,DP.wH
103,DP.wE
104,CD8.wV
105,DP.wD
106,CD4.wZ
107,DN.F
