dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
GP row,1,GP8,skin,1,0.172376203567949,-0.00990922153166125,0.18228542509961,NA
GP row,2,GP93,skin,1,0.116939280654983,-0.00673655722047444,0.123675837875457,NA
GP row,3,GP177,skin,1,0.136419059885222,0.0240755979038398,0.112343461981382,NA
GP row,4,GP6,skin,1,0.190148496098123,0.0834555905749789,0.106692905523144,NA
GP row,5,GP23,skin,1,0.129335453407337,0.0299388999896066,0.0993965534177306,NA
GP row,6,GP72,skin,1,0.129003295501459,0.0483403649945915,0.0806629305068674,NA
GP row,7,GP150,skin,1,0.0696618970503744,-0.00394810531418806,0.0736100023645625,NA
GP row,8,GP85,skin,1,0.0645806018172446,-0.00267546813957381,0.0672560699568184,NA
GP row,9,GP107,skin,1,0.0630484211370589,-0.00355180838842978,0.0666002295254887,NA
GP row,10,GP53,skin,1,0.0541338707246768,-0.00293958773181972,0.0570734584564965,NA
GP row,11,GP151,skin,1,0.0533790289852415,0.0237777670603339,0.0296012619249077,NA
GP row,12,GP56,skin,1,0.0193400121429924,0.000399812714501879,0.0189401994284905,NA
GP row,13,GP7,skin,1,0.0178403295107162,-0.000397764826805418,0.0182380943375216,NA
GP row,14,GP25,skin,1,0.0800764119463255,0.0649711061598272,0.0151053057864983,NA
GP row,15,GP149,skin,1,0.0136320097103233,-0.000388852238371977,0.0140208619486952,NA
GP row,16,GP159,skin,1,0.0189981900046823,0.00830911481798773,0.0106890751866945,NA
GP row,17,GP63,skin,1,0.085101842693914,0.08483541428558,0.000266428408333991,NA
GP row,18,GP26,submandibular gland,2,0.185291905481844,0.0839654318396433,0.1013264736422,NA
GP row,19,GP181,submandibular gland,2,0.0464152404252356,0.0236951883965575,0.0227200520286781,NA
GP row,20,GP13,submandibular gland,2,0.0493248202081858,0.0291328935032218,0.020191926704964,NA
GP row,21,GP192,submandibular gland,2,0.046064620175568,0.0278778719079838,0.0181867482675842,NA
GP row,22,GP153,submandibular gland,2,0.0155549068309382,0.00642227816694609,0.00913262866399214,NA
GP row,23,GP4,submandibular gland,2,0.0788661968538517,0.0721060840437249,0.00676011281012676,NA
GP row,24,GP30,submandibular gland,2,0.0656352948141293,0.0607036940245352,0.00493160078959407,NA
GP row,25,GP162,submandibular gland,2,0.0240776832934578,0.0199916379471874,0.00408604534627041,NA
GP row,26,GP171,submandibular gland,2,0.0311865151347822,0.0276756588075852,0.00351085632719703,NA
GP row,27,GP170,small intestine LP,3,0.104070767755666,0.0307759355117471,0.0732948322439186,NA
GP row,28,GP27,small intestine LP,3,0.054442925534656,0.0310484767189046,0.0233944488157514,NA
GP row,29,GP174,small intestine LP,3,0.0446360323298316,0.0232141627690558,0.0214218695607758,NA
GP row,30,GP152,small intestine LP,3,0.0356452468779806,0.0183254856856144,0.0173197611923662,NA
GP row,31,GP36,small intestine LP,3,0.0193721793538075,0.00552027379921721,0.0138519055545902,NA
GP row,32,GP161,small intestine LP,3,0.0215294599478844,0.0140602198858385,0.00746924006204582,NA
GP row,33,GP135,small intestine LP,3,0.0626988359461713,0.0574360455238476,0.00526279042232375,NA
GP row,34,GP12,small intestine LP,3,0.0128534012551678,0.00957633312019629,0.00327706813497153,NA
GP row,35,GP49,CNS,4,0.229414563793743,0.0682256133783978,0.161188950415345,NA
GP row,36,GP166,CNS,4,0.109714297931268,0.0561534842806819,0.0535608136505864,NA
GP row,37,GP17,CNS,4,0.0273297830278066,0.00749648513172255,0.0198332978960841,NA
GP row,38,GP40,CNS,4,0.0201534425080895,0.00384117146159898,0.0163122710464905,NA
GP row,39,GP169,CNS,4,0.0221355408527622,0.0126495614802479,0.00948597937251433,NA
GP row,40,GP50,CNS,4,0.0221403365316387,0.0126698074751151,0.00947052905652365,NA
GP row,41,GP51,CNS,4,0.0717403607228146,0.0683589738145971,0.00338138690821749,NA
GP row,42,GP120,CNS,4,0.0237602123460073,0.0233870389275001,0.000373173418507164,NA
GP row,43,GP22,mammary gland,5,0.103210134047708,0.0564654170393141,0.046744717008394,NA
GP row,44,GP43,mammary gland,5,0.0849448342146289,0.0731972797290648,0.0117475544855642,NA
GP row,45,GP37,mammary gland,5,0.0105788092208614,-0.000401521675584297,0.0109803308964457,NA
GP row,46,GP127,mammary gland,5,0.0306450230219841,0.0203502464266495,0.0102947765953346,NA
GP row,47,GP163,mammary gland,5,0.0286686191214488,0.0253313155968972,0.00333730352455158,NA
GP row,48,GP126,mammary gland,5,0.0293981343314259,0.0277229284009267,0.00167520593049914,NA
GP row,49,GP62,small intestine epi,6,0.23154789014744,0.0455000484306791,0.186047841716761,NA
GP row,50,GP3,small intestine epi,6,0.227513756605605,0.12093771738763,0.106576039217974,NA
GP row,51,GP100,small intestine epi,6,0.140928412497557,0.0702653564729106,0.0706630560246462,NA
GP row,52,GP1,small intestine epi,6,0.0710012095421482,0.0614164865599125,0.00958472298223567,NA
GP row,53,GP176,small intestine epi,6,0.0142953167290909,0.0119013054401806,0.00239401128891036,NA
GP row,54,GP9,LN,7,0.15200109607444,0.0412548733282319,0.110746222746209,NA
GP row,55,GP2,LN,7,0.0318452061909298,0.0215879890713051,0.0102572171196247,NA
GP row,56,GP16,LN,7,0.0198433778639758,0.0119468066613977,0.0078965712025781,NA
GP row,57,GP68,LN,7,0.0166880843614421,0.0163548251652224,0.00033325919621971,NA
GP row,58,GP29,colon epi,8,0.328021877246472,0.165171784031064,0.162850093215407,NA
GP row,59,GP121,colon epi,8,0.0545303697130077,0.0437676055598926,0.0107627641531151,NA
GP row,60,GP15,colon epi,8,0.0207492123491759,0.0187415363538234,0.00200767599535251,NA
GP row,61,GP35,colon LP,9,0.124132644798963,0.0917993754361661,0.0323332693627964,NA
GP row,62,GP101,colon LP,9,0.0121758275158937,0.0119386917347945,0.00023713578109915,NA
GP row,63,GP10,uterus,10,0.0262230565370658,0.0082493492529309,0.0179737072841349,NA
GP row,64,GP79,uterus,10,0.0413868539542715,0.0360385665511222,0.00534828740314927,NA
GP row,65,GP32,placenta,11,0.104468104788364,0.049896307993646,0.0545717967947179,NA
GP row,66,GP11,placenta,11,0.201716293272269,0.179028429299494,0.0226878639727756,NA
GP row,67,GP80,peritoneal cavity,12,0.148625537032853,0.0621785538008693,0.0864469832319832,NA
GP row,68,GP41,peritoneal cavity,12,0.142015840542754,0.116300884201974,0.0257149563407804,NA
GP row,69,GP58,bone marrow,13,0.117413997705948,0.0562279773260725,0.0611860203798752,NA
GP row,70,GP74,bone marrow,13,0.0326151484997756,0.0180064989915018,0.0146086495082738,NA
Group column,1,skin,NA,1,NA,NA,NA,17
Group column,2,submandibular gland,NA,2,NA,NA,NA,9
Group column,3,small intestine LP,NA,3,NA,NA,NA,8
Group column,4,CNS,NA,4,NA,NA,NA,8
Group column,5,mammary gland,NA,5,NA,NA,NA,6
Group column,6,small intestine epi,NA,6,NA,NA,NA,5
Group column,7,LN,NA,7,NA,NA,NA,4
Group column,8,colon epi,NA,8,NA,NA,NA,3
Group column,9,colon LP,NA,9,NA,NA,NA,2
Group column,10,uterus,NA,10,NA,NA,NA,2
Group column,11,placenta,NA,11,NA,NA,NA,2
Group column,12,peritoneal cavity,NA,12,NA,NA,NA,2
Group column,13,bone marrow,NA,13,NA,NA,NA,2
Group column,14,kidney,NA,14,NA,NA,NA,0
Group column,15,liver,NA,15,NA,NA,NA,0
Group column,16,lung,NA,16,NA,NA,NA,0
Group column,17,spleen,NA,17,NA,NA,NA,0
Group column,18,blood,NA,18,NA,NA,NA,0
