dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
GP row,1,GP8,skin,1,0.182585011144817,0.000299586045206372,0.18228542509961,NA
GP row,2,GP93,skin,1,0.123863861269331,0.000188023393874114,0.123675837875457,NA
GP row,3,GP177,skin,1,0.152761438640057,0.040417976658675,0.112343461981382,NA
GP row,4,GP6,skin,1,0.232121848027319,0.125428942504175,0.106692905523144,NA
GP row,5,GP23,skin,1,0.182760454606629,0.0833639011888987,0.0993965534177306,NA
GP row,6,GP72,skin,1,0.148721859379701,0.0680589288728332,0.0806629305068674,NA
GP row,7,GP150,skin,1,0.073805366323419,0.000195363958856542,0.0736100023645625,NA
GP row,8,GP85,skin,1,0.068600317566782,0.00134424760996357,0.0672560699568184,NA
GP row,9,GP107,skin,1,0.0668096556934152,0.000209426167926452,0.0666002295254887,NA
GP row,10,GP53,skin,1,0.0574083557742174,0.000334897317720868,0.0570734584564965,NA
GP row,11,GP151,skin,1,0.0651289437537322,0.0355276818288245,0.0296012619249077,NA
GP row,12,GP56,skin,1,0.0208260805719818,0.00188588114349129,0.0189401994284905,NA
GP row,13,GP7,skin,1,0.0190766526409661,0.000838558303444469,0.0182380943375216,NA
GP row,14,GP25,skin,1,0.179293082539524,0.164187776753026,0.0151053057864983,NA
GP row,15,GP149,skin,1,0.0145856011663069,0.000564739217611668,0.0140208619486952,NA
GP row,16,GP159,skin,1,0.0235356659362397,0.0128465907495452,0.0106890751866945,NA
GP row,17,GP83,skin,1,0.00658518145684748,0.00160632045344145,0.00497886100340602,NA
GP row,18,GP197,skin,1,0.0108981150279505,0.00729652995603903,0.00360158507191147,NA
GP row,19,GP199,skin,1,0.00718325338705715,0.00468206087510257,0.00250119251195458,NA
GP row,20,GP57,skin,1,0.00414743256377697,0.00318971503456159,0.00095771752921538,NA
GP row,21,GP54,skin,1,0.00103603348620348,0.000237965607414128,0.000798067878789355,NA
GP row,22,GP200,skin,1,0.000474000362901796,2.30489192692558e-06,0.00047169547097487,NA
GP row,23,GP131,skin,1,0.000361693562961701,1.12798635275078e-06,0.00036056557660895,NA
GP row,24,GP63,skin,1,0.151217660617597,0.150951232209263,0.000266428408333991,NA
GP row,25,GP173,skin,1,0.00458676080114431,0.00432963869834046,0.000257122102803852,NA
GP row,26,GP130,skin,1,0.00311415922808122,0.00285947090809813,0.00025468831998309,NA
GP row,27,GP132,skin,1,0.000224889576211068,1.08865840955249e-05,0.000214002992115543,NA
GP row,28,GP108,skin,1,0.000565071111262143,0.00037063064080362,0.000194440470458524,NA
GP row,29,GP183,skin,1,0.00168512120480131,0.00155169545375469,0.00013342575104662,NA
GP row,30,GP92,skin,1,0.000138131641717669,9.24878165482553e-06,0.000128882860062843,NA
GP row,31,GP179,skin,1,0.000209004339441924,8.20826509827818e-05,0.000126921688459142,NA
GP row,32,GP165,skin,1,0.000145664131573811,2.10764889232799e-05,0.000124587642650531,NA
