GP,blood,bone marrow,CNS,colon epi,colon LP,kidney,liver,LN,lung,mammary gland,peritoneal cavity,placenta,skin,small intestine epi,small intestine LP,spleen,submandibular gland,uterus
GP1,0.35092747160516,0.365485176992437,0.295199931376709,0.390689345904255,0.3526237709615,0.361924058799177,0.349660883581576,0.3347764360646,0.342053301243272,0.428780713184829,0.377035253217564,0.364529095061585,0.402674722419846,0.438365436167064,0.378411813689501,0.346591986411622,0.423900139260372,0.308926543307418
GP2,0.0369297813768721,0.0540728317716989,0.0534122811878749,0.0518415548524979,0.0188405917562089,0.0323943563546819,0.0299471938196664,0.0643300488913236,0.0221045052386318,0.011540982308286,0.0262648415321709,0.0152854676794354,0.0272454538848341,0.0237407469835006,0.0303919454529107,0.0496557414958614,0.0249208531806543,0.0118079908399788
GP3,0.000450725456678974,0.000117785593574126,7.17441403521036e-07,0.0735150502931953,0.00498642137544018,0.00140393135864622,0.0117971498720589,0.000111176886212102,0.00088868165382534,0.0473235148632974,6.55267047506765e-05,0.000848071015360815,0.154359487299897,0.260935526517872,0.0293451042451199,0.00129619643736783,0.0131239298142809,0.00102286159182675
GP4,0.134491699032728,0.0884618695155691,0.0322977868234346,0.148577792129083,0.178689588112608,0.101869343478971,0.155314863339878,0.117341877933747,0.175130356389,0.131294995823406,0.123988839481123,0.113915591708121,0.122976593861347,0.145935675301493,0.193148650501816,0.158512327476253,0.220923705091736,0.21416359228161
GP5,0.00196266880829644,0.00896885543259516,8.86548865120025e-06,0.00518833078576621,0.0063505263907851,0.00758953033568466,0.00993421160059539,0.00750141391150285,0.00418157509171195,0.00605609976311535,0.00564770141489129,0.00321589023626202,0.00796130401143409,0.00482304151281524,0.00707783164163304,0.00315482306393763,0.00964597460619857,0.0127610085856164
GP6,0.000841784056252129,0.00408883297659309,1.26402714434806e-06,0.00146864627226967,0.0764189807048799,0.0298052595461699,0.0246807257863078,0.0065344258681371,0.0492206028389537,0.00726270790169389,0.0163277365224389,0.0511606928745561,0.232121848027319,0.00356674089453244,0.125428942504175,0.00542378408018654,0.0720328653802379,0.049134494463682
GP7,0.000231551914402451,0.000569362486430195,1.91338944551344e-07,0.000254241956231125,8.71357072936434e-05,8.64143628623636e-05,0.000103613647894344,0.000364926727142459,6.43902807121794e-05,3.12193686011502e-05,5.18881646959105e-05,4.10645228185725e-05,0.0190766526409661,0.000197839208343968,0.00012979507173657,0.000838558303444469,0.000124787216299632,1.83425678279222e-07
GP8,5.95276110628424e-06,1.50639993067647e-08,2.25588818299074e-08,0.000299586045206372,5.29062168721734e-05,0.000153168120790338,0.000279614637748768,5.02098513478865e-05,0.000115482693823684,1.52014734702064e-08,1.51135021004656e-08,7.55099814108656e-06,0.182585011144817,4.67410906386835e-05,6.81154056964249e-05,1.14196572959765e-05,8.26945365391808e-05,1.52857369193942e-08
GP9,0.0453876270874342,0.0488103059072393,0.0503393453978831,0.0740045375526468,0.0525394279042842,0.0581343759693989,0.0658768070993732,0.224912228953586,0.0690300301964088,0.0726363083251203,0.0456332469790993,0.0489251426286924,0.0612464423562189,0.0767218515872925,0.0507423400613117,0.114166006207378,0.0520004340845436,0.101293933526712
GP10,0.00440793073991198,0.00182932667170562,0.0022807037207564,0.000802459389070582,0.00131238942678468,0.0143076276826796,0.0118599806368901,0.00118121933179144,0.00909426306596835,0.00601158048750534,0.00484002464149081,0.00331729023085803,0.00304967280035943,0.0010545024449715,0.00206575463766414,0.00327648154512866,0.0060764693151247,0.0322813349668145
GP11,0.0609658780728644,0.0475918453470333,0.0822735845108318,0.0601885717582299,0.196890876827803,0.304209543528882,0.244739663158557,0.0450630246975515,0.287089197546656,0.0550282943385766,0.0453472533549767,0.326897407501658,0.103231470273804,0.0538059887524617,0.164333337406374,0.0484510461844016,0.0626692477439443,0.0644838251243872
