GP,blood,bone marrow,CNS,colon epi,colon LP,kidney,liver,LN,lung,mammary gland,peritoneal cavity,placenta,skin,small intestine epi,small intestine LP,spleen,submandibular gland,uterus
GP1,0.35092747160516,0.365485176992437,0.295199931376709,0.390689345904255,0.3526237709615,0.361924058799177,0.349660883581576,0.3347764360646,0.342053301243272,0.428780713184829,0.377035253217564,0.364529095061585,0.402674722419846,0.438365436167064,0.378411813689501,0.346591986411622,0.423900139260372,0.308926543307418
GP3,0.000450725456678974,0.000117785593574126,7.17441403521036e-07,0.0735150502931953,0.00498642137544018,0.00140393135864622,0.0117971498720589,0.000111176886212102,0.00088868165382534,0.0473235148632974,6.55267047506765e-05,0.000848071015360815,0.154359487299897,0.260935526517872,0.0293451042451199,0.00129619643736783,0.0131239298142809,0.00102286159182675
GP4,0.134491699032728,0.0884618695155691,0.0322977868234346,0.148577792129083,0.178689588112608,0.101869343478971,0.155314863339878,0.117341877933747,0.175130356389,0.131294995823406,0.123988839481123,0.113915591708121,0.122976593861347,0.145935675301493,0.193148650501816,0.158512327476253,0.220923705091736,0.21416359228161
GP6,0.000841784056252129,0.00408883297659309,1.26402714434806e-06,0.00146864627226967,0.0764189807048799,0.0298052595461699,0.0246807257863078,0.0065344258681371,0.0492206028389537,0.00726270790169389,0.0163277365224389,0.0511606928745561,0.232121848027319,0.00356674089453244,0.125428942504175,0.00542378408018654,0.0720328653802379,0.049134494463682
GP8,5.95276110628424e-06,1.50639993067647e-08,2.25588818299074e-08,0.000299586045206372,5.29062168721734e-05,0.000153168120790338,0.000279614637748768,5.02098513478865e-05,0.000115482693823684,1.52014734702064e-08,1.51135021004656e-08,7.55099814108656e-06,0.182585011144817,4.67410906386835e-05,6.81154056964249e-05,1.14196572959765e-05,8.26945365391808e-05,1.52857369193942e-08
GP9,0.0453876270874342,0.0488103059072393,0.0503393453978831,0.0740045375526468,0.0525394279042842,0.0581343759693989,0.0658768070993732,0.224912228953586,0.0690300301964088,0.0726363083251203,0.0456332469790993,0.0489251426286924,0.0612464423562189,0.0767218515872925,0.0507423400613117,0.114166006207378,0.0520004340845436,0.101293933526712
GP11,0.0609658780728644,0.0475918453470333,0.0822735845108318,0.0601885717582299,0.196890876827803,0.304209543528882,0.244739663158557,0.0450630246975515,0.287089197546656,0.0550282943385766,0.0453472533549767,0.326897407501658,0.103231470273804,0.0538059887524617,0.164333337406374,0.0484510461844016,0.0626692477439443,0.0644838251243872
GP22,0.00719231714974978,0.059696668985552,0.0793848039817547,0.0976651937188605,0.0701625763733344,0.0258999730703045,0.0360924569011559,0.00219046040353491,0.0062133537265697,0.144409910727254,0.0560675877396562,0.00758478114149207,0.0164842551094771,0.0179500431443741,0.0177595033158183,0.00885171794209581,0.0668708757037615,0.0211195010970879
GP23,0.0334266658579703,0.034989821468744,0.0168674221842783,0.0412213434133532,0.0442952691439871,0.0504526282275239,0.0471477204512333,0.0431220622095835,0.0447970658758755,0.054550683710142,0.0519655932923906,0.0684719789337452,0.182760454606629,0.0386452552137135,0.0406202698292643,0.0467220896285954,0.0833639011888987,0.0382297963513289
GP25,0.0625209752600872,0.0782123513278653,0.0554374502232952,0.07910105485831,0.109827160037928,0.106107186479604,0.105040306604295,0.0672606222259864,0.0900415572538248,0.0744624814821477,0.158463794632459,0.0792487947244714,0.179293082539524,0.0766817406781707,0.0804977757545339,0.0659726433367868,0.153543316505256,0.164187776753026
GP26,0.046682608054381,0.0645214469428851,0.0497577002756889,0.0707446600996235,0.0729694860757427,0.148542723230616,0.0954328005695181,0.0548970044907941,0.07006293103464,0.179635767522908,0.0855777130935032,0.0689159615077436,0.100858879466691,0.0766435806542368,0.0700726109562297,0.051580357393912,0.280962241165108,0.134207569764536
