GP,blood,bone marrow,CNS,colon epi,colon LP,kidney,liver,LN,lung,mammary gland,peritoneal cavity,placenta,skin,small intestine epi,small intestine LP,spleen,submandibular gland,uterus
GP1,0.800536362249644,0.833745425250972,0.673410599973047,0.891241219472789,0.804405963309371,0.825621796197556,0.797647019434074,0.763692591714768,0.780292589292813,0.978135313162366,0.860093479345104,0.831564409477439,0.918582281351178,1,0.863233691502279,0.790646245840272,0.967001739386271,0.704723771127073
GP2,0.574067360639811,0.840553251607926,0.830285101727612,0.805868419905553,0.292873891453703,0.50356492670179,0.465524188707798,1,0.343610888217638,0.179402666517211,0.408282629732516,0.237610074030225,0.423526087021345,0.369045996274729,0.472437779493274,0.771890311784896,0.387390552473456,0.183553270104407
GP3,0.0017273441554464,0.000451397305479821,2.74949683201493e-06,0.281736455262485,0.0191097833322388,0.00538037643774071,0.0452109761728858,0.000426070331226006,0.00340575185634783,0.181360949560297,0.000251122204879942,0.00325011709474037,0.591561790607018,1,0.112461130290398,0.00496749697009562,0.0502956802755721,0.00391997826235706
GP4,0.608769887219126,0.400418187259879,0.146194301829327,0.672529876625902,0.808829401256007,0.461106441414564,0.703024889408701,0.53114208764977,0.792718718510892,0.594300171495344,0.561229223589376,0.515633175990864,0.556647344884435,0.660570468166351,0.874277617341304,0.71749804943038,1,0.969400690580851
GP5,0.153802012993602,0.702832802941956,0.000694732598267584,0.406576858792669,0.497650820323332,0.594743768469774,0.778481695545032,0.587838638393995,0.327683745658255,0.47457845690516,0.442574846415909,0.252009095886575,0.623877333677816,0.377951435457189,0.554645159443809,0.247223645589706,0.755894374765254,1
GP6,0.00362647490275477,0.0176150285349782,5.44553283152949e-06,0.006327048852794,0.32921924995137,0.128403507896689,0.106326595260447,0.0281508437213892,0.212046402599556,0.031288342581346,0.0703412309577908,0.220404469933976,1,0.015365812933355,0.540358193638942,0.0233661076123614,0.310323504626588,0.211675440641414
GP7,0.012137974033516,0.0298460373077989,1.00300062150555e-05,0.0133273882486676,0.00456766231128642,0.00452984936554295,0.00543143757159155,0.0191294947814271,0.00337534482196864,0.00163652236001343,0.00271998267581197,0.00215260630842481,1,0.0103707506797665,0.00680387037387483,0.0439573084034517,0.00654135810135043,9.61519202196537e-06
GP8,3.26026822736442e-05,8.25040303818629e-08,1.23552758731191e-07,0.00164080306114918,0.000289762103364613,0.000838886608654056,0.00153142164296823,0.000274994376773145,0.000632487262232543,8.32569627424094e-08,8.27751522740186e-08,4.13560680241025e-05,1,0.000255996318348448,0.000373061322336034,6.25443305799022e-05,0.000452909776222495,8.37184652976273e-08
GP9,0.201801508520022,0.21701935076777,0.223817733842615,0.329037411157927,0.233599694195048,0.258475834061454,0.292900067754732,1,0.306919861661476,0.322954019277048,0.202893578492419,0.217529935372206,0.272312637872874,0.341119075402188,0.225609520199913,0.50760248448268,0.231203231262604,0.450370946915541
GP10,0.13654734986776,0.0566682472576236,0.0706508489534583,0.024858308675757,0.0406547445492519,0.443216728719179,0.367394367335869,0.0365914028340445,0.281718927526304,0.186224655631042,0.149932604908267,0.102761866393327,0.0944717064363826,0.0326660110573352,0.0639922307980061,0.101497709078541,0.188234759230725,1
GP11,0.186498505873147,0.145586487548978,0.251680137629769,0.184120676325414,0.602301738433958,0.930596378398441,0.748674224824851,0.137850664041509,0.87822414910158,0.168335058877142,0.138720137616101,1,0.31579164565042,0.164595948201849,0.502706150722657,0.14821483766021,0.19170922223856,0.197260130073256
GP12,0.536293381497489,0.76066413041547,0.606019234556019,0.692455174289084,0.736772677599597,0.773959450156239,0.635459227054867,0.800599501163179,0.61486104242085,0.517946474717216,0.924537068879609,0.935713145488827,0.679020494370151,0.668860112210912,1,0.812289476686904,0.893688870127669,0.872204445854135
GP13,0.0047462253238665,0.0206933907338204,8.76763479516125e-07,0.00493655378594318,0.230834373700957,0.0503148746424738,0.247655746115142,0.0625980802380717,0.534327518040964,0.0500045642399522,0.19063985446451,0.175373345026388,0.690899237124565,0.00422039789404018,0.392942198424287,0.0584699498531445,1,0.690063685058489
GP14,0.318471966611776,0.743829337681178,0.000291850423004508,0.020377442902817,0.013553370572866,0.00242183821736809,0.0215136095917093,0.422640947385798,0.0205290288896733,0.000303024590397101,0.000301669079364572,0.0351407376526396,0.0206775215968155,0.0181727983675713,0.0441942006278774,1,0.000299661215407934,0.000295031996197062
GP15,0.577667240854831,0.872392410461755,0.50666584598879,1,0.847606272282025,0.688391284996626,0.712729690465711,0.86401026417296,0.578875587041994,0.753576683759267,0.975727176672575,0.617957802531689,0.736044440145797,0.687628661992074,0.793751826822201,0.721116913838683,0.919878730642182,0.630531754196696
GP16,0.420168676779064,0.259216778237136,0.073931705720716,0.0787654603388001,0.121715388892489,0.445151489432002,0.416143479366133,1,0.270473586620769,0.324252454488696,0.140613144670562,0.573197899886348,0.159588277159526,0.140564358583231,0.250420914608362,0.38165041684541,0.523175236902066,0.741796219962483
GP17,0.501060215209341,0.542714323309427,1,0.353493443802279,0.531232782372053,0.460949597058464,0.475101646448628,0.387147563174086,0.422871176286709,0.329781651019794,0.356514278298036,0.290413392101262,0.433298689723937,0.388332475199541,0.604265800994804,0.390196963950361,0.294905620192351,0.422109414951709
GP18,0.0802058578041051,0.201979758564589,5.1584561320776e-06,0.337390812789818,0.24695386424871,0.113705992871347,0.339761635372188,0.246590170486289,0.481240072935485,0.0742851389451377,0.210762853329073,0.0524003311985226,0.399557345505146,0.291679846787423,0.232735412789287,0.207029446263488,1,0.160347708840926
GP19,0.00556571962305705,0.000259406181757347,3.97131202835195e-06,0.0696818945127939,0.00432909961623268,4.52927160241982e-06,0.0212666659635611,0.0043706636994444,0.00277052606230475,3.92970522341239e-06,3.91558615585281e-06,1,0.00951287820432524,0.00709407805638225,0.139164851209107,0.0300501587871433,4.03056882464635e-06,3.97076372798276e-06
GP20,0.247472620512305,0.884221036576037,9.58071103475543e-06,0.503562105235964,0.600038712840977,0.652311266526697,0.85685292899194,0.689415841367077,0.379475063567535,0.54357082712447,0.429346102894072,0.286474047178073,0.690725692951112,0.464972882672667,0.688778420056417,0.304268582927099,0.856173212987869,1
GP21,0.112361936875812,0.625906656275793,0.00436809572757733,0.441855806253254,0.503542251594176,0.607911379907355,0.661338103578358,0.50830490394207,0.278882174603167,0.419675650108989,0.589499141876578,0.348677654005803,0.518659493930791,0.417659318049089,0.628502096481144,0.188225271263739,1,0.980758072935627
GP22,0.0498048722108404,0.413383462983371,0.549718530964873,0.676305339619797,0.485857071858799,0.179350384886129,0.249930608774652,0.0151683523139351,0.0430258123925081,1,0.388253046188433,0.0525225803637353,0.114149056851165,0.124299246872856,0.122979809532328,0.0612957787835903,0.463062925300604,0.146246895318536
GP23,0.182898789182361,0.191451818961906,0.0922925160182134,0.225548483680878,0.242367908524454,0.27605878052841,0.257975504343723,0.23594853877114,0.245113561203905,0.298481877972759,0.284337185548375,0.374654238418936,1,0.211453048182075,0.222259623487448,0.255646604344246,0.456137523669055,0.209179805519821
GP24,0.236665387385091,1.10574226915208e-05,1.11072241342475e-05,0.314197722399833,0.535678447030839,1,0.40238471353228,0.00374347744772463,0.177859267802975,7.92413677088158e-05,0.0119412723740966,0.00964310979267928,0.263594394706757,0.2536470281538,0.437156344008148,0.0024509728282351,1.09442422715892e-05,1.1118825670334e-05
GP25,0.348708240019828,0.436226262720559,0.309200162315656,0.441182971132602,0.612556594389063,0.591808590586382,0.585858110734083,0.375143431488268,0.502203185858973,0.415311513570151,0.883825479421533,0.442006984329702,1,0.427689343013369,0.448973126092518,0.367959780725191,0.856381709380275,0.91575076086291
