GP,blood,bone marrow,CNS,colon epi,colon LP,kidney,liver,LN,lung,mammary gland,peritoneal cavity,placenta,skin,small intestine epi,small intestine LP,spleen,submandibular gland,uterus
GP1,0.800536362249644,0.833745425250972,0.673410599973047,0.891241219472789,0.804405963309371,0.825621796197556,0.797647019434074,0.763692591714768,0.780292589292813,0.978135313162366,0.860093479345104,0.831564409477439,0.918582281351178,1,0.863233691502279,0.790646245840272,0.967001739386271,0.704723771127073
GP3,0.0017273441554464,0.000451397305479821,2.74949683201493e-06,0.281736455262485,0.0191097833322388,0.00538037643774071,0.0452109761728858,0.000426070331226006,0.00340575185634783,0.181360949560297,0.000251122204879942,0.00325011709474037,0.591561790607018,1,0.112461130290398,0.00496749697009562,0.0502956802755721,0.00391997826235706
GP4,0.608769887219126,0.400418187259879,0.146194301829327,0.672529876625902,0.808829401256007,0.461106441414564,0.703024889408701,0.53114208764977,0.792718718510892,0.594300171495344,0.561229223589376,0.515633175990864,0.556647344884435,0.660570468166351,0.874277617341304,0.71749804943038,1,0.969400690580851
GP6,0.00362647490275477,0.0176150285349782,5.44553283152949e-06,0.006327048852794,0.32921924995137,0.128403507896689,0.106326595260447,0.0281508437213892,0.212046402599556,0.031288342581346,0.0703412309577908,0.220404469933976,1,0.015365812933355,0.540358193638942,0.0233661076123614,0.310323504626588,0.211675440641414
GP8,3.26026822736442e-05,8.25040303818629e-08,1.23552758731191e-07,0.00164080306114918,0.000289762103364613,0.000838886608654056,0.00153142164296823,0.000274994376773145,0.000632487262232543,8.32569627424094e-08,8.27751522740186e-08,4.13560680241025e-05,1,0.000255996318348448,0.000373061322336034,6.25443305799022e-05,0.000452909776222495,8.37184652976273e-08
GP9,0.201801508520022,0.21701935076777,0.223817733842615,0.329037411157927,0.233599694195048,0.258475834061454,0.292900067754732,1,0.306919861661476,0.322954019277048,0.202893578492419,0.217529935372206,0.272312637872874,0.341119075402188,0.225609520199913,0.50760248448268,0.231203231262604,0.450370946915541
GP11,0.186498505873147,0.145586487548978,0.251680137629769,0.184120676325414,0.602301738433958,0.930596378398441,0.748674224824851,0.137850664041509,0.87822414910158,0.168335058877142,0.138720137616101,1,0.31579164565042,0.164595948201849,0.502706150722657,0.14821483766021,0.19170922223856,0.197260130073256
GP22,0.0498048722108404,0.413383462983371,0.549718530964873,0.676305339619797,0.485857071858799,0.179350384886129,0.249930608774652,0.0151683523139351,0.0430258123925081,1,0.388253046188433,0.0525225803637353,0.114149056851165,0.124299246872856,0.122979809532328,0.0612957787835903,0.463062925300604,0.146246895318536
GP23,0.182898789182361,0.191451818961906,0.0922925160182134,0.225548483680878,0.242367908524454,0.27605878052841,0.257975504343723,0.23594853877114,0.245113561203905,0.298481877972759,0.284337185548375,0.374654238418936,1,0.211453048182075,0.222259623487448,0.255646604344246,0.456137523669055,0.209179805519821
GP25,0.348708240019828,0.436226262720559,0.309200162315656,0.441182971132602,0.612556594389063,0.591808590586382,0.585858110734083,0.375143431488268,0.502203185858973,0.415311513570151,0.883825479421533,0.442006984329702,1,0.427689343013369,0.448973126092518,0.367959780725191,0.856381709380275,0.91575076086291
GP26,0.166152604210428,0.229644548232974,0.177097463592799,0.251794190586806,0.259712784796809,0.528692832939514,0.339664149082,0.195389260361622,0.249367782461087,0.639359106682753,0.304587950105414,0.245285491822529,0.358976633473752,0.272789611644637,0.249402235210145,0.183584659561427,1,0.47767119598704
GP29,0.0901948014210779,0.140273477918,0.149496933800562,1,0.295851915979553,0.140035301617182,0.152980017984536,0.0949642516412016,0.111836036190633,0.336814378562334,0.112843770293654,0.0838142585291997,0.190687935167443,0.623856364822591,0.29237235424945,0.100838767311613,0.30925965493743,0.136183294401474
GP30,0.425153299553191,0.78625858938748,0.492440684761058,0.348431155773523,0.372673974622943,0.752173231560136,0.965876146319955,0.268708809245123,0.32548581336759,0.88997996314535,0.854457464300122,0.220023026143007,0.366135608837202,0.330728034714122,0.42881978128392,0.348397969087355,1,0.649400603568829
