dimension,order,label,visible_count,total_entries,rightmost_visible_column,rarity_score,support_cutoff
GP row,1,GP1,18,18,18,2109,0.5
GP row,2,GP12,18,18,18,2109,0.5
GP row,3,GP15,18,18,18,2109,0.5
GP row,4,GP61,18,18,18,2109,0.5
GP row,5,GP69,18,18,18,2109,0.5
GP row,6,GP73,18,18,18,2109,0.5
GP row,7,GP101,18,18,18,2109,0.5
GP row,8,GP171,18,18,18,2109,0.5
GP row,9,GP51,17,18,18,1913,0.5
GP row,10,GP4,15,18,18,1840,0.5
GP row,11,GP163,15,18,18,1788,0.5
GP row,12,GP43,13,18,18,1606,0.5
GP row,13,GP58,12,18,18,1595,0.5
GP row,14,GP41,8,18,18,890,0.5
GP row,15,GP2,7,18,18,935,0.5
GP row,16,GP49,7,18,18,884,0.5
GP row,17,GP166,7,18,18,815,0.5
GP row,18,GP17,5,18,18,753,0.5
GP row,19,GP33,3,18,18,382,0.5
GP row,20,GP103,2,18,18,424,0.5
GP row,21,GP97,1,18,18,324,0.5
GP row,22,GP174,14,18,17,1444,0.5
GP row,23,GP32,12,18,17,1226,0.5
GP row,24,GP25,8,18,17,758,0.5
GP row,25,GP79,7,18,17,712,0.5
GP row,26,GP11,6,18,17,594,0.5
GP row,27,GP156,5,18,17,623,0.5
GP row,28,GP162,5,18,17,548,0.5
GP row,29,GP13,4,18,17,484,0.5
GP row,30,GP161,4,18,17,379,0.5
GP row,31,GP153,2,18,17,314,0.5
GP row,32,GP127,4,18,16,588,0.5
GP row,33,GP77,3,18,16,533,0.5
GP row,34,GP22,3,18,16,488,0.5
GP row,35,GP50,3,18,16,372,0.5
GP row,36,GP169,3,18,16,372,0.5
GP row,37,GP119,3,18,16,314,0.5
GP row,38,GP120,2,18,16,265,0.5
GP row,39,GP40,1,18,16,256,0.5
GP row,40,GP20,11,18,15,950,0.5
GP row,41,GP21,10,18,15,767,0.5
GP row,42,GP173,9,18,15,737,0.5
GP row,43,GP5,8,18,15,618,0.5
GP row,44,GP118,8,18,15,618,0.5
GP row,45,GP34,7,18,15,900,0.5
GP row,46,GP68,5,18,15,428,0.5
GP row,47,GP16,4,18,15,435,0.5
GP row,48,GP86,3,18,15,310,0.5
