"GP","Top Genes +","Top Genes -","Comments","Prop. active cells","N active genes"
"GP1","CT010467.1; Tmsb4x; Actb; Tmsb10; Eef1a1; Tpt1; Fau; Pfn1; Ppia; Malat1; H2-K1; Cmss1; Cdk8; H2-D1; Hsp90ab1","","Baseline pan-T program; near-ubiquitous, captures mean expression of pan-T/housekeeping genes (Actb, Actg1, B2m, Cd3d/e/g, Cd52); also a continuous sequencing-depth batch effect",0.999906945493717,60
"GP2","Arhgap15; Dock2; Mbnl1; Inpp4b; Foxp1; Ptprc; Elmo1; Maml2; Malat1; Themis; Skap1; Ankrd44; Bach2; Aff3; Zbtb20","Tmsb10; Tmsb4x; Fau; Pfn1; Ppia; Eef1a1; Tpt1; Cd52; Actb; Eef1b2; Fth1; Limd2; Naca; Coro1a; Rac2","Miniverse (wM)",0.102446702637228,171
"GP3","Gzma; Cd7; Ccl5; Fcer1g; Tyrobp; Rgs1; Gzmb; Cd8a; Junb; Nkg7; Dapk2; Ctsw; Itgae; Nr4a2; Chn2","Tmsb10; Tpt1; CT010467.1; Actb; Tmsb4x; Eef1a1; Ms4a4b; Fau; Rack1; Pfn1; Ltb; Lgals1; Eef1b2; Cd52; Coro1a","γδ T/CD8aa shared program (with GP22, GP29); Cd7, Fcer1g, Ctsw, Ccl5 with prominent Gzma/Gzmb; gut IEL, CD69-associated by CITEseq",0.0958051344006738,62
"GP4","Tmsb10; Fau; CT010467.1; Pfn1; Ppia; Limd2; Rac2; Ubb; Ccl5; Arhgdib; Fth1; Actb; Ptpn18; Naca; Eif3f","Dock2; Rack1; Arhgap15; Myh9; Ptprc; Dock10; Cdk8; Ahnak; Prkch; Akap13; Ripor2; Ikzf1; Mbnl1; Grap2; Cmss1","CD4.wN specific",0.621714505620334,119
"GP5","H2ac8; H1f5; H1f4; H4c4; Hist1h2ap; H1f3; H2ax; Top2a; CT010467.1; Pclaf; Ptma; Tuba1b; Tubb5; Birc5; Hmgb2","Igfbp4; Cnn2; Limd2; Ccr7; Cd52; Ifi27l2a; Ltb; Ftl1","Proliferation program",0.0274731600837175,31
"GP6","S100a6; Gzmb; Lgals1; Vim; Crip1; Ctla4; Odc1; Lmna; Ahnak; Maf; Il10; Capg; Ccl5; Ikzf3; Icos","Tmsb10; CT010467.1; Eef1a1; Cmss1; Cdk8; Tpt1; Limd2; Rack1; Tcf7; Klf2; Lef1; Il7r; Actb; Arhgap15; Eef1b2","Skin-enriched γδ T program; Vim, Lgals1, S100a6; CD69-associated skin program by CITEseq",0.087196803972008,46
"GP7","CT010467.1; Ccl5; Cmss1; Cdk8; Crip1; Tpt1; Mir6236; Eef1a1; Gzma; Malat1; Srgn; Hsp90ab1; Nkg7; Tmsb4x; Fau","Igfbp4; Ccr7; Limd2; Ifi27l2a; Cd52; Cnn2; Arhgef1; Dgka; Klf2; Tspan32; S1pr1; Cytip; Lef1; Rasgrp2; H2-T22","Skin-enriched γδ T program (with GP6)",0.00201092365272058,26
"GP8","Fth1; S100a6; Thy1; Ctla2a; Gem; Areg; Tmsb10; Trat1; Vim; Slc25a3; CT010467.1; Cdk11b; Fermt2; Trmt61b; Rn7sk","Ccl5; Gzma; Gzmb; AW112010; Tyrobp; Cd8a; Ikzf2; Ikzf3; B2m; Chn2; Fgl2; H2-K1; Il21r; Srgn; Pim1","DETC γδ T program; identified by surface TCRVγ3 and TCRγδ by CITEseq",0.00653431897507559,29
"GP9","Cdk8; Cmss1; CT010467.1; Eef2; Myh9; Hexb; Msn; Mir6236; Filip1l; Ucp2; Malat1; Ddx5; Actb; Camk1d; Hnrnpu","Tmsb10; Fau; Tmsb4x; Cd52; Eif1; Atp5e; Ftl1; Ptpn18; Naca; B2m; Eef1b2; Cox8a; Ltb; Ifi27l2a; Uqcrh","Batch-effect program enriched in specific batches (IGT13, IGT14)",0.213432339122165,25
"GP10","Ccl5; Gzma; Lgals1; Nkg7; Ly6c2; S100a6; Klf2; Cd8b1; S100a10; Klrg1; Gzmb; Ctsd; Ahnak; Cx3cr1; S1pr5","Ly6e; Ltb; Tcf7; Eef1b2; Eef1a1; Inpp4b; Ifi27l2a; Limd2; Ccr7; Tpt1; Igfbp4; Rack1; Lef1","Cytotoxic effector program; Gzma, Nkg7; active in CD8.H-K, CD4.S, DN.F; KLRG1-associated in CD4 and CD8 by CITEseq",0.0561844182595022,8
"GP11","Vps37b; Gramd3; Dusp10; Junb; Ccr7; Ifngr1; Pnrc1; H3f3b; Srgn; Btg1; Eif1; Emb; Jund; Tnfaip3; Itk","Cd52; Ltb; Ptprcap; Mir142hg; Pfn1; Ccnd3; Emp3; AW112010; Ly6e; Ddit4; Clec2d; Ripor2; Psmb8; Thy1; Actb","Tissue program in resting CD4.A/B and CD8.A/B across lung, liver, placenta, kidney, colon LP and skin",0.221234722894721,42
"GP12","Izumo1r; Cdk8; Tox; Tbc1d4; Pdcd1; Cmss1; Srgn; Ucp2; Ctsb; Rabgap1l; Nfatc1; Sh2d1a; Ikzf2; Cd82; Prkca","Crip1; Ccl5; Satb1; Igfbp4; Selplg; Klf2; Lef1; Tmsb10; Vim; Il7r; Ifngr1; Cytip; Sell; Npc2; Ccr7","chronic-stimulation/anergy program, CD4-biased (vs CD8); Izumo1r (FR4), Pdcd1; Tfh/Tfr (CD4.H, Treg.C); identified by FR4+ CD73+ by CITEseq",0.0989390209088744,109
"GP13","Tmem176b; Tmem176a; Il7r; CT010467.1; Cd163l1; Ckb; Cxcr6; Ifngr1; Selenop; Cdk8; Ramp1; Mir6236; Blk; Serpinb1a; S100a10","Ms4a4b; Inpp4b; Ctla4; Ifi27l2a; Cd2; Lck; Ly6a; Gzmb; Cd28; Nkg7; Fyb; Il10; Cd4; AW112010; Igfbp4","IL-17-associated program (with GP36, GP161), CD4-biased (vs CD8)",0.0298216034710908,56
"GP14","Cd8b1; Cd8a; Satb1; Rag1; Themis; Arpp21; Ssbp2; Cd4; Ccnd3; Tcf7; Camk4; Mier1; Rmnd5a; Znrf1; Hmgb1","H2-K1; Crip1; H2-D1; B2m; Eef1a1; Ccl5; Cdk8; Tpt1; Gzma; Rack1; Ptcra; CT010467.1; Cmss1; Srgn; Eef1b2","",0.000720778124935926,67
"GP15","Eif5a; Npm1; Hsp90ab1; Ncl; Mif; Ptma; Ran; C1qbp; Hspd1; Pa2g4; Hspa8; Eif4a1; Srm; Hspe1; Ybx1","Malat1; Tmsb4x; Itm2b; Cd52; Ypel3; Ifi27l2a; Shisa5; H2-D1; Ltb; Arhgap45; Arhgap15; Ripor2; H2-K1; Tmsb10; Selplg","MYC targets enriched program",0.165629135208198,201
"GP16","Ifi27l2a; Isg15; Ly6a; Bst2; Stat1; Irf7; Ifit3; Ifit1; Zbp1; Ifi47; Rtp4; Rnf213; Slfn1; Samhd1; H2-T23","Thy1","ISG program, particularly active in CD4.D, CD8.F, DN.I/J",0.044819150932832,52
"GP17","Ifi27l2a; Atp5e; Tmsb4x; Ripor2; Lef1; Tmsb10; Chd3; Rbm39; Bach2; Arhgap15; H2aj; Foxp1; Arhgap45; Cd52; Btg2","Actg1; Ubb; Hspa8; Eef1a1; Il31ra; Gapdh; Hexb; Camk1d; Vim; Eif3f; Uba52; Btf3; Naca; Cdk8; Eif3h","",0.0050990715052907,67
"GP18","Cpa3; CT010467.1; Crip1; Ccl5; Tmsb10; Tpt1; Nkg7; Tmsb4x; Cdk8; S100a10; Gzma; Srgn; Eef1a1; Cmss1; Ccr9","Ifi27l2a; Ccr7; Ly6d; Rgcc; Limd2; Inpp4b; Myl10; Satb1; Cd3d; Lef1; Tspan32; Slfn1; Gimap3; Lck; Dgka","",0.00192260073150305,61
"GP19","Prl8a9; Tpbpa; Psg21; Prl3b1; Creg1; Psg27; Tpbpb; Psg18; Rhox9; Prl8a8; Prl7a2; Ceacam11; Psg23; Psg19; Psg16","Cts6; Ccr10; Cts3; Hsd17b2; Plekhh3; Cdkn2b; Rsph1; Shank1; Catsperd; Tktl1; Zfp212; Tubb4b-ps1; Rgs9bp; Dact1; Cenpm","",0.000107249261478431,30
"GP20","Cenpa; Ube2c; Cdc20; Cenpf; Arl6ip1; Vim; Tubb4b; Hmgb2; Aspm; Ccnb2; Cks1b; Ccnb1; Hsp90b1; Dynll1; Hmmr","H2ac8; H1f5; H1f4; Hist1h2ap; H1f3; H4c4; H1f1; H3c6; H1f2; Rrm2; H2ac20; H3f3b; H2ac4; H2bc11; Pclaf","proliferation program, CD8.K specific",0.0152372811050459,22
"GP21","Mcm3; Mcm6; Dut; Hells; Mcm5; Mcm4; Lig1; Mcm2; Mcm7; Pcna; Slbp; Hmgb2; Tipin; Dnmt1; Uhrf1","CT010467.1; H2ac8; Malat1; H1f4; H1f5; Cmss1; H4c4; Fau; Tpt1; Tmsb10; H2-K1; Tmsb4x; Hist1h2ap; H1f3; Ccl5","proliferation program",0.0333639834899225,72
"GP22","Klra7; Fcer1g; Ccl5; Cd7; Xcl1; Klrd1; Tyrobp; Ctsw; Il2rb; Anxa2; Klra1; Klre1; Klrk1; Ikzf2; Ly6c2","CT010467.1; Cdk8; Tpt1; Cmss1; Actb; Tmsb4x; Eef1a1; Mir6236; Fau; Malat1; Hsp90ab1; Rack1; H2-K1; Pfn1; H2-D1","DN-enriched lineage program; Ikzf2, Fcer1g, Klr genes",0.0466613147182262,42
"GP23","Actg1; Vim; Hspa8; Ubb; Hexb; Il31ra; Gapdh; Ftl1; Dnaja1; Rn7sk; Uba52; Camk1d; Lmna; Ywhaz; Cdk8","Ccl5; Ms4a4b; AW112010; Ifi27l2a; H2-K1; CT010467.1; Tmsb4x; Atp5e; Ly6c2; Itga4; Cd3d; Gimap3; Gimap6; H2-D1; Ly6a","Non lymphoid tissue program across lineages; gated as CD103+ ITB7+ CD29- CD49D-",0.0977829369579378,102
"GP24","Defa24; Defa30; Defa22; Defa21; Defa38; Lyz1; Defa39; Itln1; Spink4; Defa23; Fabp2; Defa5; Ang4; Defa29","Fabp1; Rbp2; Apoa1; Odc1","Rare, Defensin family program",0.000118289626630623,8
"GP25","Lgals1; S100a6; Vim; Crip1; S100a10; Anxa2; S100a11; Ly6a; Sh3bgrl3; Lgals3; S100a4; Tagln2; Txn1; S100a13; Myl6","Malat1; Eef1a1; Tpt1; Limd2; Btg1; Tcf7; Arhgap15; Ddx5; Eef1b2; Fau; H2-K1; Foxp1; Lef1; Ltb; Klf2","Activation program",0.340909126754432,26
"GP26","Ccl5; Nkg7; S100a6; AW112010; Rgs1; Cxcr6; Ctsw; Malat1; Ccl4; Junb; Cd8a; Dennd4a; Dusp2; H2-K1; Itgb1","Klf2; Lef1; Tcf7; Tmsb10; Ripor2; Cmss1; Limd2; Igfbp4; Atp1b3; Sell; Ccr7; Eef1b2; Rack1; Mir6236; Gpx1","Broadly active activation program (with GP80 in 86% of activated T cells), particularly in non-lymphoid tissues; Klf2 down, Rgs1 up; CD69-associated by CITEseq",0.295982726560122,17
"GP27","Tnfrsf4; Tnfrsf9; Ikzf2; Cd83; Hopx; Tnfrsf18; H2az1; Zfp36l1; Cd74; Areg; Tigit; Ccr8; Klrg1; Foxp3; Sdf4","Ms4a4b; Crip1; Tmsb4x; Thy1; S100a6; Lgals1; Nkg7; Vim; Lat; Tmsb10; Fau; Anxa2; Itm2b; Ly6a; Lgals3","Effector Treg program; Areg, Tnfrsf4; KLRG1-associated in Tregs by CITEseq",0.0342204003867282,34
