"GP","Annotation","Lineage","Cluster","Tissue","Top Genes +","Top Genes -","Top Proteins +","Top Proteins -"
"GP1","Baseline gene expression GP","","CD8.K; CD4.X; CD4.Y; CD4.P; Treg.P; gdT.B; gdT.C; gdT.D; gdT.P; CD8aa.C; CD8aa.D; CD8aa.E; CD8aa.P; DN.P; DP.wY; DP.wP","","CT010467.1; Tmsb4x; Actb; Tmsb10; Eef1a1; Tpt1; Fau; Pfn1; Ppia; Malat1; H2-K1; Cmss1; Cdk8; H2-D1; Hsp90ab1","","THY1.2; CD45RB; CD5; CD2; CD55.DAF; CD44; CD11A; CD27; CD4; CD73.5NTD; CD62L; ITB7; CD31; IL7RA.CD127; CD103",""
"GP2","","","CD8.wM; CD4.wM; Treg.wM; gdT.E; gdT.wM; CD8aa.wM; Tz.wM; DN.wM; DP.wC; DP.wM","","Arhgap15; Dock2; Mbnl1; Inpp4b; Foxp1; Ptprc; Elmo1; Maml2; Malat1; Themis; Skap1; Ankrd44; Bach2; Aff3; Zbtb20","Tmsb10; Tmsb4x; Fau; Pfn1; Ppia; Eef1a1; Tpt1; Cd52; Actb; Eef1b2; Fth1; Limd2; Naca; Coro1a; Rac2","CD45RB; THY1.2; CD44; CD24; CD27; ITAM.CD11B; TCRGD; CD69; CD160; KLRG1; CD103; CD38; CD55.DAF; CD29; IL7RA.CD127","CD4; ICOS.CD278"
"GP3","gdT/CD8aa IEL specific","","gdT.A; gdT.B; gdT.C; gdT.D; gdT.E; gdT.F; gdT.Z; gdT.P; CD8aa.C; CD8aa.D; CD8aa.E; DP.wY","small intestine epi","Gzma; Cd7; Ccl5; Fcer1g; Tyrobp; Rgs1; Gzmb; Cd8a; Junb; Nkg7; Dapk2; Ctsw; Itgae; Nr4a2; Chn2","Tmsb10; Tpt1; CT010467.1; Actb; Tmsb4x; Eef1a1; Ms4a4b; Fau; Rack1; Pfn1; Ltb; Lgals1; Eef1b2; Cd52; Coro1a","CD38; CD8A; ITB7; CD39; CD73.5NTD","THY1.2; CD5; CD2; CD11A; CD44; SCA1; CD55.DAF; ICOS.CD278; CD62L; CD4; CD27; KLRG1; CD31; CD8B; CD155.PVR"
"GP4","","","CD4.wN","","Tmsb10; Fau; CT010467.1; Pfn1; Ppia; Limd2; Rac2; Ubb; Ccl5; Arhgdib; Fth1; Actb; Ptpn18; Naca; Eif3f","Dock2; Rack1; Arhgap15; Myh9; Ptprc; Dock10; Cdk8; Ahnak; Prkch; Akap13; Ripor2; Ikzf1; Mbnl1; Grap2; Cmss1","CD5; CD45RB; CD55.DAF; CD4; CD31; THY1.2; CD73.5NTD; FR4; SCA1; CD38; CD2; CD11A; CD69; CD86; CD8A",""
"GP5","","","CD8.K; CD8.P; CD4.P; Treg.P; gdT.P; CD8aa.P; Tz.P; DN.P; DP.wP","","H2ac8; H1f5; H1f4; H4c4; Hist1h2ap; H1f3; H2ax; Top2a; CT010467.1; Pclaf; Ptma; Tuba1b; Tubb5; Birc5; Hmgb2","Igfbp4; Cnn2; Limd2; Ccr7; Cd52; Ifi27l2a; Ltb; Ftl1","CD8A; CD8B; CD73.5NTD; CD38; CD103; CD45RB; ICAM1; ITB7; CD29; CD44; CD69; CD49B; CD24; CD11A; CD160","CD4; CD62L"
"GP6","","","CD8.K; CD4.T; CD4.U; CD4.X; CD4.Y; CD4.P; Treg.D; Treg.E; Treg.P; gdT.Q; gdT.R; gdT.S; gdT.T; gdT.U; gdT.V; gdT.X; gdT.Z; Tz.D","skin","S100a6; Gzmb; Lgals1; Vim; Crip1; Ctla4; Odc1; Lmna; Ahnak; Maf; Il10; Capg; Ccl5; Ikzf3; Icos","Tmsb10; CT010467.1; Eef1a1; Cmss1; Cdk8; Tpt1; Limd2; Rack1; Tcf7; Klf2; Lef1; Il7r; Actb; Arhgap15; Eef1b2","ITAM.CD11B; CD86; CD39; GR1-LY6G-LY6C1-LY6C2; GITR.CD357; ITAX.CD11C; ITB7; CD38; TCRVG2; CD24","THY1.2; ICOS.CD278; KLRG1; CD5; CD31; CD27; NEUROPILIN1.CD304; CD44; CD160; BTLA.CD272; LY108; CD55.DAF; B220; TCRGD; CD73.5NTD"
"GP7","","","gdT.Z; DP.wG","","CT010467.1; Ccl5; Cmss1; Cdk8; Crip1; Tpt1; Mir6236; Eef1a1; Gzma; Malat1; Srgn; Hsp90ab1; Nkg7; Tmsb4x; Fau","Igfbp4; Ccr7; Limd2; Ifi27l2a; Cd52; Cnn2; Arhgef1; Dgka; Klf2; Tspan32; S1pr1; Cytip; Lef1; Rasgrp2; H2-T22","THY1.2; CD45RB; CD24; CD29; CD73.5NTD; CD38; CD103; CD44; CD8A; ICAM1; ITA4.CD49D; TCRGD; CD27; NEUROPILIN1.CD304; CD160","CD4; CD62L"
"GP8","","","gdT.X; gdT.Z","skin; CNS","Fth1; S100a6; Thy1; Ctla2a; Gem; Areg; Tmsb10; Trat1; Vim; Slc25a3; CT010467.1; Cdk11b; Fermt2; Trmt61b; Rn7sk","Ccl5; Gzma; Gzmb; AW112010; Tyrobp; Cd8a; Ikzf2; Ikzf3; B2m; Chn2; Fgl2; H2-K1; Il21r; Srgn; Pim1","TCRVG3; CD2; CD4; CD44; TCRGD; CD155.PVR; ICOS.CD278; SCA1; CD11A; CD24; GITR.CD357; LY49A; THY1.2; IL2RA.CD25; LY108","CD73.5NTD; CD38; CD8A; CD45RB; CD8B; CD5; CD160; B220; ITA4.CD49D; TCRVG2; CD39; CD69; CD80"
"GP9","IGT13/14 Batch effect","","CD8.wU; CD8.wV; DP.wC; DP.wE","","Cdk8; Cmss1; CT010467.1; Eef2; Myh9; Hexb; Msn; Mir6236; Filip1l; Ucp2; Malat1; Ddx5; Actb; Camk1d; Hnrnpu","Tmsb10; Fau; Tmsb4x; Cd52; Eif1; Atp5e; Ftl1; Ptpn18; Naca; B2m; Eef1b2; Cox8a; Ltb; Ifi27l2a; Uqcrh","CD45RB; CD4; CD5; CD62L; CD55.DAF; CD2; CD27; THY1.2; CD8A; CD31; IL7RA.CD127; ITA4.CD49D; CD11A; ITB7; FR4",""
"GP10","cytotoxicity","","CD8.H; CD8.I; CD8.K; CD8.wY; CD4.S; DN.F","","Ccl5; Gzma; Lgals1; Nkg7; Ly6c2; S100a6; Klf2; Cd8b1; S100a10; Klrg1; Gzmb; Ctsd; Ahnak; Cx3cr1; S1pr5","Ly6e; Ltb; Tcf7; Eef1b2; Eef1a1; Inpp4b; Ifi27l2a; Limd2; Ccr7; Tpt1; Igfbp4; Rack1; Lef1","KLRG1; CD8B; CD8A; ITAX.CD11C; ICAM1; ITA4.CD49D; CD29; CD11A; ITAM.CD11B; CD38; CD39; CD49B; CD45RB; SLAM.CD150; CD80","CD4; CD62L; CD5; CD31; CD55.DAF; FR4; GITR.CD357; CD27; CD73.5NTD; IL7RA.CD127; ICOS.CD278; LY108; BTLA.CD272"
