"gene_symbol","signature_name","score"
"CT010467.1","GP1_up",1
"Tmsb4x","GP1_up",0.864407063213302
"Actb","GP1_up",0.818320242507552
"Tmsb10","GP1_up",0.791783214447074
"Eef1a1","GP1_up",0.745151169878879
"Tpt1","GP1_up",0.727612908503752
"Fau","GP1_up",0.652272395972507
"Pfn1","GP1_up",0.639506496201697
"Ppia","GP1_up",0.569007427933887
"Malat1","GP1_up",0.565941725111875
"H2-K1","GP1_up",0.546335353729941
"Cmss1","GP1_up",0.536302367611193
"Cdk8","GP1_up",0.512886985780936
"H2-D1","GP1_up",0.4980262403439
"Hsp90ab1","GP1_up",0.444961717009277
"Fth1","GP1_up",0.438437497439774
"Rack1","GP1_up",0.427983203364989
"B2m","GP1_up",0.425763303647522
"Mir6236","GP1_up",0.416151576621471
"Actg1","GP1_up",0.404746902501314
"Coro1a","GP1_up",0.403490758635937
"Cfl1","GP1_up",0.400478815489046
"Eif1","GP1_up",0.395646599523159
"Ptma","GP1_up",0.387882667225923
"Cd52","GP1_up",0.385552182994226
"Arhgdib","GP1_up",0.379166827062523
"Sh3bgrl3","GP1_up",0.373316920682256
"Eef1b2","GP1_up",0.361094014433458
"Crip1","GP1_up",0.356995982146981
"Rac2","GP1_up",0.355825863899789
"Eef2","GP1_up",0.355501482694789
"Ly6e","GP1_up",0.343704804016922
"Calm1","GP1_up",0.339104213708413
"Hspa8","GP1_up",0.331661728748862
"H3f3b","GP1_up",0.323982034569723
"Itm2b","GP1_up",0.323258446754929
"Naca","GP1_up",0.31987670213495
"Myl6","GP1_up",0.309171331682362
"Cd3g","GP1_up",0.30879097209671
"Oaz1","GP1_up",0.307244465774356
"Ccl5","GP1_up",0.307194558828294
"Cd3d","GP1_up",0.301992219920411
"Cd3e","GP1_up",0.29867065249226
"Cox4i1","GP1_up",0.296027784296958
"Fxyd5","GP1_up",0.294287186201353
"Ubb","GP1_up",0.2911468217904
"Shisa5","GP1_up",0.286221947324092
"Ftl1","GP1_up",0.284465990341667
"Skap1","GP1_up",0.273578313239757
"Arhgap15","GP1_up",0.272100327846802
"Npm1","GP1_up",0.26849271164371
"Hnrnpa2b1","GP1_up",0.268193266602151
"Cox8a","GP1_up",0.265192589598253
"Limd2","GP1_up",0.264447733034077
"Ptpn18","GP1_up",0.2551342995208
"Eif3f","GP1_up",0.254341995185127
"Ltb","GP1_up",0.254202505642223
"S100a10","GP1_up",0.253067992811865
"H3f3a","GP1_up",0.252145585048132
"Ms4a4b","GP1_up",0.251237634510253
"Atp5e","GP1_up",0.249230487383561
"Ddx5","GP1_up",0.247237297129304
"Arpc2","GP1_up",0.245791654527458
"Srgn","GP1_up",0.245327224292253
"Ptprc","GP1_up",0.243349465548957
"Ptprcap","GP1_up",0.238968677014637
"Rbm39","GP1_up",0.234357545883481
"Laptm5","GP1_up",0.232473893554028
"Atp5g3","GP1_up",0.228266630756762
"Dock2","GP1_up",0.227417656824614
"Cdc42","GP1_up",0.226308506029913
"Pfdn5","GP1_up",0.225587314731545
"Btf3","GP1_up",0.22358409304936
"Serf2","GP1_up",0.221431598045215
"Vim","GP1_up",0.220756878705807
"Clic1","GP1_up",0.219374882998584
"Tagln2","GP1_up",0.218841247498327
"Cnn2","GP1_up",0.218410856121353
"Gnai2","GP1_up",0.215934867209498
"Selenow","GP1_up",0.215908436786963
"Septin1","GP1_up",0.21487394380372
"Jund","GP1_up",0.213375751669056
"Atp5h","GP1_up",0.212418862699601
"Lck","GP1_up",0.211943760347052
"Uqcrh","GP1_up",0.21035315171086
"Lat","GP1_up",0.209206467953363
"H2-Q7","GP1_up",0.208701492774718
"Cyba","GP1_up",0.20834714154548
"Arpc1b","GP1_up",0.205892255195379
"Selplg","GP1_up",0.205701790605332
"Psmb8","GP1_up",0.203580775659348
"Lcp1","GP1_up",0.200728649959694
"H2az1","GP1_up",0.200357812174613
"Thy1","GP1_up",0.198918385298238
"AW112010","GP1_up",0.198738153828772
"Tle5","GP1_up",0.198425671391848
"Gng5","GP1_up",0.196115440366135
"Hnrnpf","GP1_up",0.19595483117665
"Eif5a","GP1_up",0.195090349197919
"Klf2","GP1_up",0.193959886865385
"Arhgap15","GP2_up",0.903199258579628
"Dock2","GP2_up",0.878806735104845
"Mbnl1","GP2_up",0.621116907136055
"Inpp4b","GP2_up",0.616668433432798
"Foxp1","GP2_up",0.601984132571856
"Ptprc","GP2_up",0.577837366007359
"Elmo1","GP2_up",0.558151318887542
"Maml2","GP2_up",0.550099314778319
"Malat1","GP2_up",0.547072419430626
"Themis","GP2_up",0.53335919209381
"Skap1","GP2_up",0.528465822064929
"Ankrd44","GP2_up",0.519558975062972
"Bach2","GP2_up",0.519150024709344
"Aff3","GP2_up",0.516616062129831
"Zbtb20","GP2_up",0.493563439570088
"Utrn","GP2_up",0.491733992710725
"Dock10","GP2_up",0.491392275046645
"Grap2","GP2_up",0.488964870452222
"Ikzf1","GP2_up",0.464652235313295
"Prkcq","GP2_up",0.445726144071269
"Macf1","GP2_up",0.43306478453529
"Ccnd3","GP2_up",0.428938644730085
"Tnik","GP2_up",0.426588702216345
"Slc9a9","GP2_up",0.425943231253391
"Runx1","GP2_up",0.42134546343432
"Ripor2","GP2_up",0.420617549721094
"Akap13","GP2_up",0.412254549951616
"Pitpnc1","GP2_up",0.399177477068832
"Tox","GP2_up",0.398263079207696
"Prkch","GP2_up",0.397487385288504
"Ppm1h","GP2_up",0.395332398914756
"Camk4","GP2_up",0.391398297446452
"Mllt3","GP2_up",0.387204180666248
"Satb1","GP2_up",0.376180350553
"Tcf12","GP2_up",0.371072711731723
"Tnrc6b","GP2_up",0.367509296182805
"Ssh2","GP2_up",0.358489702720758
"Exoc4","GP2_up",0.357138455872062
"Sh3kbp1","GP2_up",0.349268428189635
"Pde3b","GP2_up",0.339226113624187
"Ankrd11","GP2_up",0.33852643741225
"Zeb1","GP2_up",0.335484395537773
"Zcchc7","GP2_up",0.32969701360122
"Bcl2","GP2_up",0.327028633611401
"Lncpint","GP2_up",0.326769701602155
"Pag1","GP2_up",0.321211526388798
"Hivep2","GP2_up",0.320863099598373
"Itk","GP2_up",0.31804087140966
"Fam172a","GP2_up",0.316845403115088
"Smyd3","GP2_up",0.31625148991528
"Rapgef6","GP2_up",0.315687777949733
"Celf2","GP2_up",0.305329237244117
