"GP","CD8","CD4","Treg","gdT","CD8aa","Tz","DN","DP"
"GP1",0.590133684106191,0.592401355519804,0.51218759951565,0.720881701611041,0.703512556122932,0.55538037959407,0.559700912494184,0.608441191668959
"GP2",0.521999903051163,0.561668794988375,0.522472805240499,0.526585791823071,0.577360946034992,0.52919825267694,0.543608720466978,0.505794626880325
"GP3",0.607804081932459,0.554575213482122,0.609756408682489,0.788732817203872,0.761496225310892,0.554007678667889,0.541736963376768,0.551083247116016
"GP4",0.533548895870668,0.512846679002839,0.530561334924805,0.518963906673048,0.514540717685247,0.536019897172151,0.524466637537302,0.590682415970532
"GP5",0.532905154487195,0.52472579262912,0.521489541079252,0.499176729354223,0.506589447076213,0.532658840573038,0.53115731744086,0.532106467273921
"GP6",0.573324737771896,0.495358306173526,0.688572453242022,0.585576013338957,0.591794341763426,0.548342419455665,0.596993226867647,0.500460974656803
"GP7",0.507597313045005,0.539087411167641,0.51581898555409,0.588847427491114,0.502634198720853,0.537283408770285,0.530721563553104,0.51935661860888
"GP8",0.519941823761939,0.506656137230358,0.5219320749716,0.514830700543717,0.531058322894081,0.569859902482938,0.517789014335286,0.566308983287424
"GP9",0.515674132385476,0.525878327730783,0.523958694747881,0.499297097700697,0.508038808793784,0.541057463920025,0.565840340314395,0.608292957065142
"GP10",0.529589763231823,0.557348648409251,0.504747346800914,0.549207768267674,0.511895609874475,0.523677832778179,0.523095151865712,0.595549147327846
"GP11",0.500373169353082,0.525677335460077,0.504605787190477,0.546182838697088,0.52779165071313,0.524559483855397,0.524412520913897,0.504570288524105
"GP12",0.540866210119945,0.542437882138661,0.656620029849063,0.506086584557492,0.526779892489393,0.660267719689005,0.539147427220085,0.508935158067487
"GP13",0.559584596450318,0.557084164877515,0.562154229860161,0.552493156298534,0.571244680076517,0.554162759155334,0.574962490763694,0.504803741343973
"GP14",0.517917580259324,0.515746912652739,0.509889953875828,0.534589120077691,0.538912643155611,0.532264853253973,0.51109667060558,0.559912254646312
"GP15",0.570021045762401,0.583440080224316,0.533017670687782,0.521899775575985,0.533425894017683,0.545547427283874,0.574863021982997,0.550363125782739
