"GP","blood","spleen","LN","bone marrow","lung","liver","peritoneal cavity","colon epi","small intestine epi","colon LP","small intestine LP","skin","mammary gland","uterus","placenta","submandibular gland","kidney","CNS"
"GP1",0.557393514874695,0.561640441996476,0.587215263864473,0.524065145171278,0.594594933718609,0.559983710329215,0.587866880096854,0.633349594652253,0.785155869074976,0.547921896268407,0.54967903600884,0.675413882589226,0.771942070979658,0.722077427278431,0.509445149093482,0.786529766358465,0.502911349918157,0.796498303997125
"GP2",0.59564205804886,0.527036476693679,0.621923761306414,0.54432239969519,0.536156500528657,0.573072341479025,0.602709789551483,0.532608919459409,0.557194698702833,0.581764424293476,0.508674942046081,0.543226227057362,0.787156017954787,0.587533988063696,0.483666968098508,0.629846523837595,0.584774499157507,0.758043139463865
"GP3",0.672151608454677,0.567471675948101,0.547993694701607,0.678556646645524,0.5165823722735,0.558471396655957,0.750770984534634,0.644014722490721,0.901987869438771,0.568174300604903,0.532867771706747,0.639968966602135,0.66271356412055,0.699706055394163,0.620603351614116,0.549810742304549,0.568641846363696,0.703270066471107
"GP4",0.516228777025301,0.550594973994302,0.592705914816361,0.663735265653373,0.59166413894564,0.522770883514165,0.552432657604121,0.501198971866393,0.502594986953922,0.597684089931917,0.624641095093293,0.568105588110396,0.485492919563558,0.697973484946943,0.578137885834368,0.70072877810265,0.618442684102781,0.89494869607196
"GP5",0.53668870941612,0.511476351808544,0.518438850718561,0.550713852016289,0.52940856828691,0.527391088857369,0.550632359199302,0.524026693472743,0.526015771163241,0.514063151402895,0.514007931084363,0.525400224684066,0.638130422554791,0.521578147898117,0.607866218905415,0.52150481928817,0.578749863675405,0.56807259222903
"GP6",0.635040006998199,0.534646831988356,0.50744511503643,0.611681031969978,0.60123346895398,0.516766069397657,0.602970796700443,0.59618719375511,0.585307880344815,0.536659222462936,0.648937397195556,0.950275372761943,0.667001073072736,0.516031486468199,0.517883569097099,0.785290184053983,0.540931116140301,0.391353882030422
"GP7",0.518056559529273,0.500747206586304,0.545668784704214,0.53517569192284,0.552227748737762,0.51329208487029,0.594583128943272,0.516020007716136,0.530559790822763,0.514006998770663,0.50324407679556,0.720035310932112,0.56630268840943,0.583179876144891,0.588294263905904,0.510319906621272,0.53894742567985,0.781251867552834
"GP8",0.53152346685213,0.511371979431823,0.503557308729672,0.503344519075809,0.559315702048243,0.529101216718487,0.505118253249031,0.529077098935572,0.53710288222882,0.552485691004713,0.529529021151244,0.857928708730844,0.504755450576433,0.491413958132372,0.594790158613398,0.524242672998603,0.513499975803222,0.824553238977677
"GP9",0.658680687243245,0.506385099140141,0.651673187152771,0.63986100632304,0.495216550044692,0.52774106204621,0.650560732191568,0.497263926176156,0.523619639053595,0.608174822259715,0.612217124571158,0.543632022877157,0.528646772676874,0.608496971353838,0.615729446795314,0.590628773471871,0.560923791188718,0.624658012665241
"GP10",0.502005823840779,0.503604174032297,0.54766587556672,0.511552211067376,0.516168431250248,0.610588337902762,0.516513868758439,0.518548535274987,0.532502314262398,0.544746175957273,0.500029062842155,0.516168362478119,0.673541535985204,0.558639791147709,0.59537049479803,0.554110034777469,0.611184820565214,0.594467762806272
