"GP","CD8.A","CD8.B","CD8.C","CD8.D","CD8.E","CD8.F","CD8.G","CD8.H","CD8.I","CD8.J","CD8.K","CD8.Q","CD8.R","CD8.S","CD8.T","CD8.wU","CD8.wV","CD8.wX","CD8.wY","CD8.P","CD8.wM","CD4.A","CD4.B","CD4.C","CD4.D","CD4.E","CD4.F","CD4.G","CD4.H","CD4.I","CD4.Q","CD4.R","CD4.S","CD4.T","CD4.U","CD4.X","CD4.Y","CD4.wN","CD4.wZ","CD4.P","CD4.wM","Treg.A","Treg.B","Treg.C","Treg.D","Treg.E","Treg.F","Treg.P","Treg.wM","gdT.A","gdT.B","gdT.C","gdT.D","gdT.E","gdT.F","gdT.G","gdT.H","gdT.I","gdT.J","gdT.K","gdT.Q","gdT.R","gdT.S","gdT.T","gdT.U","gdT.V","gdT.X","gdT.Z","gdT.P","gdT.wM","CD8aa.A","CD8aa.B","CD8aa.C","CD8aa.D","CD8aa.E","CD8aa.P","CD8aa.wM","Tz.A","Tz.B","Tz.C","Tz.D","Tz.P","Tz.wM","DN.A","DN.B","DN.C","DN.D","DN.E","DN.F","DN.G","DN.H","DN.I","DN.J","DN.P","DN.wM","DP.wA","DP.wB","DP.wC","DP.wD","DP.wE","DP.wF","DP.wG","DP.wH","DP.wX","DP.wY","DP.wP","DP.wM"
"GP1",0.593679951058495,0.654754321968923,0.563119264578034,0.514179889648523,0.554100891507885,0.619227774984472,0.491472701163512,0.538920230034846,0.630107005422416,0.695019822876117,0.865968286015058,0.592532979405841,0.582441681571554,0.788099776795798,0.611461344733414,0.748441224256236,0.658606973421623,0.52955632040669,0.516705904253183,0.794102157901422,0.717719453956899,0.492542745716466,0.599227898838748,0.604222114654559,0.603078188087876,0.501133486877183,0.50342699591141,0.564734888956489,0.534872517494696,0.520157517771144,0.59235416550881,0.782076196226096,0.521043770043948,0.596124026052272,0.539110981364322,0.839680323638594,0.932988688841445,0.876272939651205,0.677188903840161,0.826018273456333,0.728782699871094,0.636257260491596,0.584702488506592,0.62245306187581,0.594424369611655,0.603707981468664,0.629122154321977,0.842172118606325,0.662990816706644,0.728672009875017,0.919473358961013,0.94616846731374,0.858969273328122,0.564410694418708,0.786176694550913,0.518423506936293,0.599422890526519,0.525300622261172,0.526448207821494,0.533310937274388,0.498093734767492,0.755748559471597,0.727140917627746,0.79859726791027,0.656104469963838,0.58718740295857,0.572094416984614,0.607595711539757,0.84829115079627,0.560222761521614,0.616488142749137,0.54528076283448,0.919464253762996,0.848679658479486,0.828028015102552,0.843639919767341,0.564852376487194,0.556229514219394,0.568842165298272,0.58658171512409,0.742121889705007,0.79810613068392,0.592736231915111,0.563832470909841,0.515219384612777,0.533579365810861,0.670168770889595,0.550270711822501,0.790442533895096,0.593489590619476,0.60033694833587,0.511856980212555,0.47190552186332,0.815209926426917,0.552295201077663,0.661930243949137,0.709601424678386,0.710199127039195,0.653601031381317,0.558780835306948,0.779709585270034,0.755404651058203,0.732080663791368,0.789127624411656,0.91709660059875,0.829526393079412,0.617650705303964
"GP2",0.536707882218302,0.575806865115699,0.522182424942157,0.592655622585065,0.546894203275067,0.528642896367209,0.630383856807238,0.612586976019723,0.623769548289084,0.586639455426111,0.666730258221109,0.634017379861549,0.578623517395748,0.524807609692804,0.583914063920765,0.514948892847812,0.695108713977984,0.527268492419072,0.549039319852736,0.548273871492977,0.968604941601745,0.585788225823325,0.490976121204054,0.609070930078618,0.506400978488407,0.59415650369514,0.513127431634446,0.564075517916992,0.5158557305763,0.522097522581692,0.585496251598823,0.610209355816258,0.623670645761571,0.560318980214097,0.582874464434365,0.568528271354192,0.554391502910424,0.872262032787205,0.662702237033327,0.557926324638688,0.965318592461022,0.532594842538332,0.54861385187095,0.525317075329099,0.541280776880459,0.576218839044953,0.555512184133578,0.581500101593294,0.944720702181966,0.589965544458581,0.620829635813327,0.601946847548663,0.661698865726482,0.92281225552152,0.604581171244443,0.589914356109145,0.564911777976141,0.546908720568791,0.729933015844757,0.524108932241314,0.595292943875423,0.485754182267026,0.61679061676229,0.519631451088957,0.606786501808974,0.58121779843017,0.611878371081535,0.611871195231698,0.553115207277531,0.969143499800657,0.603938252048962,0.601952707953698,0.605449861927776,0.671887001236737,0.657644180810281,0.606696294214201,0.962649176501561,0.566338022018673,0.611905515373026,0.546003234883399,0.519775607898434,0.564734650372844,0.96198965793509,0.516867884956142,0.54819766779354,0.648185227503205,0.587254927956632,0.593273483820244,0.475098185201984,0.507744146710585,0.614093255925521,0.635005183245066,0.581225296930538,0.600566702054998,0.970839918468711,0.520619623272546,0.486992410115396,0.890936019251856,0.70364793617653,0.697902687597943,0.539972084479597,0.683698208819175,0.547805398073479,0.638356414273626,0.485605319697736,0.532231616903661,0.943728036469469
"GP3",0.587800525744673,0.614526899540759,0.55064809520743,0.638977171877002,0.657894295097061,0.631297802306678,0.714993813355511,0.535609257405962,0.503628977582704,0.497495605409846,0.547636039453621,0.522368285353857,0.514776597191063,0.71618383196281,0.647518448927531,0.63335433695011,0.69881848795863,0.546712359928394,0.603986151057933,0.600974531405488,0.528410969430856,0.585343955407452,0.541695299859508,0.500441891997857,0.518555322737974,0.595413011382669,0.542678502217189,0.633518773585985,0.542426013212302,0.509742644947285,0.526802094388776,0.491803813553342,0.635702666587481,0.463824992455718,0.583103829008065,0.60410096601259,0.523777171500492,0.695436234438393,0.733437193636039,0.590811104677555,0.486399975959578,0.661362233606805,0.527539250262439,0.572580278874305,0.569190472516582,0.560438663534491,0.574440590959953,0.647859171740871,0.578212582288029,0.910269749620008,0.97604892011967,0.967139384823871,0.968037876221956,0.850155611883596,0.926560801152958,0.60402409760598,0.591887671366293,0.537439205722883,0.563417898047594,0.50891049664516,0.753657968695679,0.476589920091742,0.516218469569538,0.47069247722328,0.461644644561421,0.6770078920786,0.707002949047345,0.957335923555647,0.813502240499985,0.685520646414902,0.706011280355315,0.560166549521326,0.968454415857481,0.963837024239396,0.86963640630484,0.686194695788875,0.74126359307657,0.564628300114893,0.56612066675816,0.570966864478879,0.472249771414485,0.599805832716648,0.582786425390449,0.482765083513275,0.580304179555956,0.661247720231963,0.536209429460257,0.562473952736465,0.750002577039422,0.652291717007287,0.543523388499039,0.577754089061316,0.624755508900809,0.514004322697036,0.519768930618879,0.558582168983569,0.483391827228858,0.537162354505546,0.696816757246099,0.688722949843376,0.519601899425954,0.686119022712989,0.587550563226552,0.576044856285367,0.883702791987064,0.539914076919501,0.593381997729757
"GP4",0.517560894375671,0.59141179234783,0.512127880073045,0.524393564645624,0.533790451573927,0.547358772353248,0.594340589844567,0.53791396475112,0.501733047894384,0.531905615898739,0.535639334561549,0.514873062766913,0.563201430244436,0.48800198350443,0.528891758811388,0.526134994894176,0.621439027400184,0.633815189547914,0.623860649651414,0.521726857512545,0.598846485512767,0.595343739270986,0.540473998052677,0.542122363393506,0.51001573136061,0.564886060425409,0.49992447955852,0.511871063829326,0.605205228961159,0.555950535167671,0.565334453572227,0.537359571480145,0.559497218592865,0.626528833264531,0.694625322390743,0.529084485748434,0.568214151190442,0.948045588361904,0.574828102267109,0.591350307139414,0.531968905776533,0.541781389446262,0.520856807711614,0.596405179660858,0.57445337731686,0.567963097833552,0.550154437978803,0.521235702247673,0.581946620638114,0.521539523605364,0.532198557568186,0.545962673098186,0.655755302586496,0.588729213113371,0.550016744208973,0.534106297076534,0.599919254277591,0.517423705920654,0.550096433446086,0.507564067045595,0.485548715020771,0.618180257581948,0.745805981179618,0.49275981568469,0.715003727200801,0.521461851852687,0.86176118056833,0.491479505751021,0.615447389566374,0.497703756311149,0.518904378442447,0.579848471792957,0.534044098664648,0.631907378171416,0.522921394035642,0.628373372880259,0.554125427977184,0.555722695306703,0.553700449087778,0.591299591082094,0.585156339731093,0.617631562801051,0.591328813139522,0.537538505755436,0.55967953386086,0.605958948052339,0.556561746590222,0.535670412684218,0.528183205949494,0.507358251410597,0.520698959837246,0.52364153012916,0.515930575303342,0.56642424422403,0.680544396711002,0.543833902037225,0.568257199925301,0.74036309341189,0.604366737612141,0.605996702225455,0.591365517323238,0.578525313426954,0.669310246166563,0.51772414921466,0.594445017733995,0.595235878228138,0.535830424496407
"GP5",0.508671893030923,0.523070614074209,0.542706054305678,0.522475093913853,0.498424508205843,0.519876220269136,0.505213076913556,0.567424966373501,0.544742087534091,0.511382871402804,0.963392198248502,0.535374625668599,0.516091116592653,0.510543782320041,0.514081781347728,0.538422165663033,0.627924998242219,0.542999732961457,0.678328994437311,0.929804342587114,0.500071539333135,0.500099784926207,0.522018798837431,0.531293053809601,0.518213404675586,0.524555917340396,0.563433108831842,0.523401942941317,0.517451146809513,0.51430827402671,0.491181732756985,0.558972938806277,0.52730895395336,0.521698664778308,0.495374330595364,0.507073757263898,0.550821467828459,0.557422585634732,0.573493781205194,0.979080590895188,0.532203454893197,0.53016896103445,0.518100746617476,0.492410869194145,0.504820785082527,0.508923711955619,0.521452899473778,0.97237531134051,0.601684438897291,0.528777766809363,0.533897409984942,0.538444659561365,0.550503260273179,0.516421695585699,0.519793340211539,0.507198636360236,0.519928282351275,0.544073753424651,0.591011067592427,0.514955081731818,0.510350852296317,0.536407166718227,0.503469538406262,0.53083687890258,0.516318103518812,0.512796852314575,0.577692859982555,0.533765195555266,0.832591048806887,0.524987115094039,0.51176578807481,0.541224636956948,0.538334470964519,0.569991204931064,0.541666008770615,0.899304606463024,0.522874410386253,0.539430795449378,0.515184762642942,0.566805424673541,0.537161593329241,0.976867730511082,0.539702917543656,0.518729374270063,0.56144272660679,0.526100438134286,0.535976965716217,0.567964432971318,0.643392759862408,0.585568626453519,0.534922394103333,0.500538057283304,0.559672248030598,0.977666671616084,0.527869285730278,0.513963088290161,0.50418485461818,0.511970398027705,0.58888139080813,0.584716676260745,0.775326463835577,0.704324212431792,0.525226827174754,0.518785274208049,0.506911324296055,0.941760150907822,0.559901884098835
"GP6",0.588392575415457,0.579617372496598,0.567767670274472,0.496028015505654,0.675756630557055,0.674896115744387,0.587735945089891,0.616290376647749,0.686125268813432,0.684774373715354,0.800940164509021,0.692688697846351,0.721430447116086,0.698802747876676,0.575897318211545,0.624734391075914,0.555293944854791,0.633729242698474,0.536435054016832,0.761794486918932,0.559255712388853,0.563664398978287,0.538483118120111,0.518819836912067,0.520837460716695,0.600206637105853,0.513601881340827,0.520045199614303,0.568845247972278,0.609869281371943,0.793963945534558,0.768901394637615,0.530406877301342,0.938933032132264,0.942945755794326,0.968580090113116,0.992453381215331,0.588538505905955,0.54271310336814,0.834060943389377,0.531191215342952,0.596014846366705,0.686304470356506,0.794359789792241,0.933093788267645,0.943916656899643,0.794283037071354,0.861197426054714,0.553301974327257,0.501629662379935,0.657605049832687,0.559627632205453,0.546423980174142,0.524969244598049,0.616041035875063,0.71053782920723,0.572925498459363,0.588858093454695,0.539569535932585,0.51019331392824,0.942468475177815,0.981957109458386,0.980927942556792,0.980865828309563,0.970617498730094,0.960460827118474,0.846817164998309,0.91672745933615,0.773123220737325,0.600873284772007,0.617096040053211,0.648866829661563,0.61847005918299,0.535496015630775,0.576410590084992,0.617916522944772,0.563535916582984,0.523297267729584,0.642315499524035,0.55162917539353,0.955849695554994,0.692758556194186,0.748190123480622,0.554200164530278,0.637849926707588,0.761510675082859,0.699750579655203,0.569651501330458,0.636395121679992,0.617136032014515,0.521684839071099,0.692545857847021,0.519207440423136,0.653981809036645,0.505753669096833,0.528190874116295,0.667434255733311,0.53804968262158,0.569174896080708,0.596181188205456,0.592342693556101,0.66112714603722,0.686135619443238,0.530357624015019,0.592542425039019,0.644225757725486,0.558436148259985
"GP7",0.524567651397776,0.509086013933839,0.595279714948091,0.62660599057581,0.566738840670944,0.532532648300978,0.602003276413184,0.557057846056047,0.50438932251069,0.504183450537378,0.570844889822083,0.517915597350274,0.541538750973008,0.592517061066834,0.512181538980852,0.549454651513435,0.495623807452531,0.555356990970141,0.553536709029456,0.652669407685642,0.544983706231208,0.523051727668684,0.539721109265488,0.548352966262805,0.526365202327145,0.665232121233376,0.668722511827293,0.522744792200486,0.546359839004762,0.502824413702308,0.535144841841831,0.543378656239229,0.587810428792018,0.53925254656109,0.575105481258605,0.581973484682189,0.514325337058466,0.591149612267038,0.526361983962729,0.639595498235804,0.51292928708377,0.540404662993376,0.530718940409339,0.582551613213402,0.564794802441502,0.514342141522932,0.514942915047363,0.636559141368761,0.551064957533384,0.59602417203671,0.545939232837874,0.497459609663961,0.525041840963342,0.535221721369275,0.514335031608295,0.586904242562848,0.504196153234915,0.640185055177891,0.523415301762507,0.633333638955174,0.620486525657672,0.534028945457696,0.532681474129292,0.506452512050814,0.526324459506802,0.52729706428159,0.748691619839909,0.995045421163133,0.56348037441434,0.536739341158948,0.50255693339867,0.504820635781308,0.53137851891847,0.502984485065925,0.545715341965369,0.600807826082544,0.512055314491056,0.550004401651228,0.509645814628843,0.541128689088998,0.513787159281643,0.652250999821662,0.526515838120841,0.522586161878562,0.532485913290566,0.601620113827643,0.537643060891838,0.494462167377307,0.623406803946338,0.721358582068989,0.545094225456855,0.537755737810314,0.48906169031977,0.587241120745976,0.539910262121855,0.540671467729376,0.507214679400375,0.502212633214069,0.513744671856476,0.545235739474082,0.585932980240166,0.996084049100899,0.628832706348618,0.526663705113967,0.545249685125207,0.465829109865105,0.607558507320826
"GP8",0.507864005154407,0.525726364517129,0.619895842437178,0.547941343921038,0.576070819597616,0.55948893103082,0.54713436124933,0.518784465487162,0.485952824610791,0.526670532510582,0.581787991972371,0.517377966381838,0.552646889527044,0.515822815450962,0.553577975440042,0.500223903024474,0.577364182089967,0.539295809472945,0.588248663833684,0.548546879896759,0.51411270145995,0.536861154092054,0.499712351199858,0.531612119107544,0.532708716892091,0.631421199673933,0.496472603254256,0.532972865892557,0.518151326954989,0.547918032264483,0.519776042072783,0.55107125204837,0.57682446450489,0.58033131817334,0.601640176004415,0.54087588934713,0.535170646295009,0.628648776144229,0.575503321833448,0.535935313646651,0.501694902686394,0.518427392915472,0.518671078055139,0.572146599418959,0.584188226265934,0.565290434645897,0.533222008375019,0.631454333007608,0.55299768750011,0.586230616839453,0.560350605496104,0.507597900877504,0.511099892063929,0.519218373280677,0.543492794846511,0.540974850548111,0.537334479484836,0.55444093623793,0.506887350899057,0.588702245357579,0.642415285710586,0.694069872649938,0.640581700712812,0.537816984294872,0.601854915652994,0.606781566672525,0.941290519732509,0.997140045621447,0.627956906097169,0.514765788174832,0.534714676035605,0.574537362973838,0.5176874661253,0.510086926878026,0.515262510883536,0.527538377149813,0.522424503723044,0.612516299486045,0.521630779568923,0.533919986801347,0.56316072569705,0.610340784181859,0.584820852022541,0.54589966531535,0.529986419552373,0.500292727020487,0.554270276928232,0.546191029125699,0.505480855252225,0.667107798874914,0.528657799489771,0.50233472532589,0.575235221662546,0.502706863975174,0.542640597714726,0.559716826914904,0.564274467070655,0.577360760552964,0.560547985428778,0.549775474974295,0.595701263616772,0.695181481585315,0.507418907033179,0.58499905798826,0.510136303245941,0.531881342182712,0.52834211283944
"GP9",0.532284849607365,0.610458100739256,0.580252738053073,0.5314311336221,0.571001460812879,0.510090112869244,0.576738254923909,0.517028166408366,0.559910424608728,0.559626330894187,0.571904124800146,0.487921302102618,0.579271586700997,0.551889064043289,0.505828195386598,0.810680293335493,0.80537452974236,0.573470017505861,0.536500065137996,0.514618375024028,0.573499626483101,0.554796149694267,0.557387017056663,0.638087387999137,0.536061730904515,0.501640988871946,0.514556505121539,0.575927860405913,0.55294551390201,0.562896166179467,0.545097028044425,0.547485860811459,0.560278536643307,0.620603551597565,0.63512624275157,0.558400178283681,0.574613833575206,0.885409900630743,0.741996282800877,0.54505443040204,0.631449393984343,0.504606733449567,0.536679854785015,0.53317366786718,0.527136623286127,0.552649322094998,0.534022219862398,0.510932494911601,0.542022562623244,0.555095761338596,0.533088235001056,0.521390036160022,0.561771151561718,0.495436113525206,0.529853564798491,0.56603822782464,0.528338031943357,0.541809455259902,0.568534879235654,0.555956690111283,0.522691186493159,0.566968581967412,0.557323549923406,0.563104831933563,0.622910276350797,0.633818080291376,0.686714156020626,0.592375903839968,0.561010508002358,0.547259635982622,0.513406942321955,0.545580147488624,0.520420652051054,0.552259761235723,0.513504029290254,0.53689045408849,0.505616152337971,0.57182027057166,0.489527594724968,0.51621749104165,0.500107059393952,0.486536301818221,0.533462738005306,0.550555888311442,0.532449030097486,0.621971003279018,0.569336126185223,0.553863580383601,0.483079042016051,0.530109456406082,0.587521650209583,0.594974699048281,0.639742651371191,0.582064927689018,0.561407678164011,0.555271842435088,0.564453170225543,0.938952488461765,0.796613610162506,0.808374193524184,0.561572897653938,0.551375474939472,0.535705659817521,0.587880777672008,0.552063968657244,0.555527597667674,0.598088820871834
"GP10",0.521678464713358,0.515648288898724,0.666245170170976,0.549569283130349,0.633752926078346,0.689989655219064,0.768694122705792,0.921258641905638,0.971967329606364,0.738948191323292,0.878604901732459,0.640819421104992,0.64598549620108,0.597118468795013,0.545613333001452,0.795281341303497,0.716660329514964,0.525826385386069,0.823366686931258,0.679785430061395,0.522817036775356,0.585308208024963,0.522870197485985,0.520440352139472,0.568594154810757,0.640701616786793,0.594660310986064,0.562488898847208,0.511201903862559,0.535025326011197,0.51651418362399,0.739171057369603,0.963952537910281,0.552287824090893,0.665182548013372,0.615968671120711,0.661233249561842,0.636733562332857,0.674319087371091,0.513852731943182,0.526143879736522,0.544994675157895,0.511576392382942,0.499423545779894,0.55194294789806,0.568821852496535,0.59104445293711,0.64778127753656,0.548696491884597,0.785677575520968,0.550922159061561,0.515725860555004,0.52839045311112,0.576838127635283,0.524658396250333,0.675678580391742,0.52016636419779,0.511866970752164,0.64650918343125,0.566855512691975,0.499416049259406,0.555765461323907,0.539760141813733,0.585368475645539,0.561242617483746,0.580552061608317,0.731700478849338,0.498192201545748,0.521170849317797,0.582779017564437,0.556206232142065,0.525323112067417,0.5478831224222,0.524230904760171,0.696642288988984,0.535512791381035,0.619529035988458,0.548930131108001,0.778437941437754,0.68248381198266,0.569634166519577,0.510181516382992,0.551158851743293,0.500518382119716,0.525399176208337,0.605127584540627,0.613304733933647,0.582811406154857,0.969519597681978,0.626441225470871,0.515857817572094,0.610562415361488,0.596618941086961,0.537189541634496,0.559576232274008,0.534598226775541,0.592890709977034,0.514285039815672,0.72182829425319,0.688614816240531,0.538385631191384,0.615725441570082,0.558471923447816,0.637504296895658,0.607658261257249,0.552697523409665,0.519811497215063
