"GP","Positive markers","Negative markers","Prop. positive among gated (True Discovery Proportion)","Prop. positive among all cells","Well aligned"
"GP117","CD73.5NTD, LY49A, CD24","THY1.2, CD44",1,0.003,TRUE
"GP10","KLRG1, CD8B, CD8A, ITAX.CD11C, ICAM1, ITA4.CD49D, CD29","CD4, CD62L, CD5",0.988,0.042,TRUE
"GP26","CD8B, CD38, CD44, CD86, CD8A, CD29, CD39, CD11A","CD45RB, CD62L",0.985,0.306,TRUE
"GP68","IL2RA.CD25, FR4, GITR.CD357, NEUROPILIN1.CD304","",0.982,0.057,TRUE
"GP171","CD62L","CD44",0.971,0.868,TRUE
"GP58","CD8B, CD8A","CD4",0.949,0.448,TRUE
"GP8","TCRVG3","",0.925,0.006,TRUE
"GP30","CD11A, CD49B, CD38","CD8B, CD8A, CD4",0.88,0.128,TRUE
"GP27","KLRG1, ICOS.CD278, GITR.CD357","",0.864,0.035,TRUE
"GP170","ITB7, CD103, CD4, CD38","GITR.CD357, CD62L",0.823,0.214,TRUE
"GP80","CD29, CD44, ITA4.CD49D","ITB7, CD103",0.795,0.398,TRUE
"GP35","THY1.2, CD73.5NTD, CD11A, CD2, CD69, CD5, ITAM.CD11B","CD62L",0.793,0.313,TRUE
"GP12","FR4, CD73.5NTD","CD62L, CD45RB",0.752,0.102,TRUE
"GP3","","THY1.2, CD5, CD2, CD11A, CD44, SCA1",0.746,0.112,TRUE
"GP29","CD8A","CD4, CD8B",0.725,0.21,TRUE
"GP77","CD55.DAF, CD38, CD24, LY49A, B220, ITB7, CD45RB","",0.722,0.003,TRUE
"GP166","CD44, THY1.2, KLRG1, ITB7, ITAM.CD11B","",0.708,0.406,TRUE
"GP22","LY49A","CD4, CD8B, TCRGD",0.703,0.05,TRUE
"GP32","CD45RB, CD27, CD62L","CD103, CD24, CD38, ITB7, CD4, CD73.5NTD",0.696,0.548,TRUE
"GP25","","CD62L, CD45RB, CD55.DAF",0.686,0.334,TRUE
"GP41","CD55.DAF, CD4, CD44, CD45RB, CD62L, CD31, CD2, IL7RA.CD127, CD27, SCA1, CD5","",0.648,0.522,TRUE
"GP181","CD8B","CD4, CD62L, CD73.5NTD, GITR.CD357, CD45RB, IL7RA.CD127, CD55.DAF, CD31, ITB7",0.584,0.079,TRUE
"GP63","CD38, CD69, CD73.5NTD, ICAM1, CD45RB, CD103, CD8B, ITB7","CD4",0.565,0.135,TRUE
"GP107","TCRGD, ITB7, CD103, TCRVG3, THY1.2, CD45RB","CD4",0.534,0.004,TRUE
"GP163","ITB7, CD5, CD103, FR4, ICOS.CD278, CD4, CD2, CD73.5NTD, CD31, IL7RA.CD127, SCA1","",0.5,0.142,TRUE
"GP9","CD45RB, CD4, CD5, CD62L, CD55.DAF, CD2, CD27, THY1.2, CD8A, CD31, IL7RA.CD127, ITA4.CD49D","",0.425,0.232,FALSE
"GP23","ITB7, CD103, CD44","CD29, ITA4.CD49D",0.414,0.1,FALSE
"GP126","ITAX.CD11C, LY49A, CD49B, CD62L","CD8A, CD73.5NTD",0.399,0.008,FALSE
"GP127","LY49A","SCA1",0.378,0.027,FALSE
"GP192","LY49A, ITAX.CD11C, CD29, ITB7, CD103, ICAM1","CD5",0.34,0.009,FALSE
"GP159","KLRG1, THY1.2, ICOS.CD278, CD44","CD86, ITAM.CD11B, GR1-LY6G-LY6C1-LY6C2",0.322,0.01,FALSE
"GP174","SCA1","CD73.5NTD",0.291,0.212,FALSE
"GP101","CD24, CD8B","CD55.DAF, SCA1",0.278,0.072,FALSE
