,CD8.A,CD8.B,CD8.C,CD8.D,CD8.E,CD8.F,CD8.G,CD8.H,CD8.I,CD8.J,CD8.K,CD8.P,CD8.Q,CD8.R,CD8.S,CD8.T,CD8.wM,CD8.wU,CD8.wV,CD8.wX,CD8.wY,CD4.A,CD4.B,CD4.C,CD4.D,CD4.E,CD4.F,CD4.G,CD4.H,CD4.I,CD4.P,CD4.Q,CD4.R,CD4.S,CD4.T,CD4.U,CD4.wM,CD4.wN,CD4.wZ,CD4.X,CD4.Y,Treg.A,Treg.B,Treg.C,Treg.D,Treg.E,Treg.F,Treg.P,Treg.wM,gdT.A,gdT.B,gdT.C,gdT.D,gdT.E,gdT.F,gdT.G,gdT.H,gdT.I,gdT.J,gdT.K,gdT.P,gdT.Q,gdT.R,gdT.S,gdT.T,gdT.U,gdT.V,gdT.wM,gdT.X,gdT.Z,CD8aa.A,CD8aa.B,CD8aa.C,CD8aa.D,CD8aa.E,CD8aa.P,CD8aa.wM,Tz.A,Tz.B,Tz.C,Tz.D,Tz.P,Tz.wM,DN.A,DN.B,DN.C,DN.D,DN.E,DN.F,DN.G,DN.H,DN.I,DN.J,DN.P,DN.wM,DP.wA,DP.wB,DP.wC,DP.wD,DP.wE,DP.wF,DP.wG,DP.wH,DP.wM,DP.wP,DP.wX,DP.wY
F43,0.44448056142782966,0.38576321960936033,0.3076982841643977,0.42672219105660536,0.4128229346901535,0.3759078444324636,0.7324131481230952,0.6601169134231459,0.4513274679182205,0.43506533041254336,0.3657363799023822,0.5029211306301669,0.6809439297437525,0.4128586898933898,0.5160771916788573,0.45051053715914763,0.2998064403924865,0.5322098603869091,0.7536478469559779,0.6327219528267276,0.8861433824585089,0.6187481685184214,0.42547725270526343,0.4546976667812198,0.47582820940263615,0.407837374791158,0.5060838930004699,0.48413475534922384,0.4676169452584881,0.4902659742987913,0.28456529601158215,0.42724361139235295,0.20411141500047572,0.286413790847928,0.4174742589575212,0.30323575488555415,0.4340390810382914,1.0,0.5655758183167651,0.43450285702972724,0.30291316455735595,0.5142008578796012,0.4143206101030752,0.49186277358207414,0.4823497879155335,0.5575856353624615,0.44173960824188657,0.43982455135104154,0.3893485057706765,0.8322011106021902,0.6369227965002229,0.5243943551887437,0.5765755327752109,0.3213118017707504,0.6104855820965445,0.5118756027893587,0.27862913193387684,0.539349298879589,0.4158758492138021,0.2601699343308797,0.4175160665931069,0.5871928330721363,0.8587974698734403,0.32323814185814137,0.2865712484893901,0.38340478762416624,0.4245999182469357,0.32070759702677754,0.5610828731432074,0.3955342267681086,0.4993801066026809,0.46318399245914277,0.6143642968041929,0.5572046953715281,0.5823123386889419,0.38596833526160884,0.27435676579301344,0.35848678453297633,0.4869377260286444,0.2827573772306073,0.48798152454542004,0.2566175533921574,0.40042572396919035,0.3820532389213651,0.3327427575252046,0.6411563723494121,0.5360526365047347,0.4758838948328531,0.47052315204886574,0.23545057662582133,0.44534729191727596,0.43187867173903915,0.46808553902106664,0.4154521943128311,0.26865919354537643,0.4278559347055119,0.42206131809665387,0.21154717147307311,0.6954416852276722,0.7867851038440888,0.0,0.04148490271806985,0.442023488754387,0.4471785515830578,0.4277755363675654,0.46546461871723593,0.4613086650206133
F66,0.01212763678096569,0.018668717159099468,1.1813782410279133e-07,6.629428987920945e-10,0.012883582478515126,5.318259618827238e-10,6.201002876899055e-05,1.054989161082138e-08,1.1428769790866926e-09,0.04734766290924069,1.903132214054128e-09,0.0004140898117464592,5.417081144362877e-09,0.0004405734447613042,2.9416058504845228e-09,6.711946881329312e-10,0.11865009049826729,5.499488788815656e-10,1.0,8.08716854360295e-09,9.941071303573803e-10,0.009143758977000942,0.03483610145054488,0.03999977320002508,2.488462912405637e-06,5.503318591712722e-06,3.263687928163095e-09,0.1331329862058607,0.0006269564935379561,0.11941598273351653,0.0007855490769574866,0.041998251383089984,1.3026326129894811e-09,7.073423242280496e-10,0.2425156282928642,2.752344431009792e-07,0.03166558220378917,6.8457945703148686e-06,8.534909646899097e-10,0.00015390386498226777,1.211696522518624e-09,6.177414040520252e-09,0.0010834893049473642,1.0634867442714308e-09,0.09889357800098414,1.2492297663631654e-09,0.043887743761648675,0.1309812159573312,7.610757181714514e-10,1.218914959913614e-09,5.240710583052928e-09,2.095619312797188e-09,0.0005807931445182146,9.17361730979686e-10,8.582797281615052e-10,1.1455752657122747e-09,2.2452134456937803e-09,8.961165724954366e-10,9.358962992340197e-10,9.568303678794699e-10,9.90173585751277e-10,3.67161114955838e-09,9.375567741105815e-10,9.832096698140606e-08,2.3037176498526234e-10,0.002122802381504427,7.911665159631293e-07,2.3738766198722915e-09,0.0,0.09293131123957839,0.02388821932176247,1.1473312925709962e-09,1.0035416693317005e-09,7.36741115611151e-10,1.381750132293213e-09,8.099780842203871e-10,9.631601251206326e-10,7.485073667668595e-05,1.7321999573618765e-09,9.42319826846781e-09,4.388318382553259e-07,9.387649272263336e-10,8.13858783367797e-08,1.6271128125726012e-08,0.0832092392952964,1.013993717708966e-09,1.2167846252455625e-09,1.753141677407105e-09,3.128270464893079e-08,1.7264806570228577e-09,0.003463079616831742,5.393913258024389e-10,1.8338175669035806e-09,1.225036421579931e-09,4.056434880613598e-09,8.43910966621912e-10,2.1461888820904314e-09,6.696503116973506e-10,1.5366055334103537e-09,2.999520948416495e-08,4.519167814388114e-10,5.863685794666441e-10,8.323154378319072e-11,4.969136711267664e-10,1.4033617590737453e-09,0.2855268761286204,8.31548117305122e-10
F167,0.015090525260577968,0.03581806744096015,0.027041121858692972,0.019666722969526443,0.024889105744232233,8.474588835475468e-11,0.01314323552282783,0.00998926415829553,0.010189953504562439,0.03164899967778833,0.005722615680824084,0.05672981143888572,0.014332972782419883,0.01851917835239282,0.12364763716224636,1.4231890561420248e-10,0.02511105950570196,0.05265292400609105,1.0,2.4981759517563206e-10,1.0558133297283408e-10,0.020039447780534268,0.026022535941591856,0.012818756841174294,0.008353707045434557,0.018662071343799803,0.05230426440481244,0.02425240483822604,0.07419158596460504,0.018034396759924413,0.4703834995387602,0.13358523500046626,0.18318370453957364,1.767703928029997e-10,0.2123964490675787,0.05946579880008014,0.03668979399174885,0.0679813788818747,0.27211797229685813,0.06648212705071346,0.1697219994843493,0.01040785863552915,0.045607775429926944,1.2696246029512382e-10,0.10527828014328759,0.16919341314385503,0.032066796409194895,0.017245259071667067,0.03499917077590142,0.014803477768043733,0.0023733236494983246,1.4475987958731614e-10,0.031955679469596175,0.05864165033274848,0.010019913144196662,0.11405393638766657,5.720721557970408e-11,0.02651743233275048,0.25571161495326117,0.07540878488982493,0.0547103976754173,0.03730611291452703,0.019816816911348272,0.21627399313129553,1.5253083656087158e-10,0.137918936393105,0.013077954279512883,0.07473460569484067,1.3410423563787901e-10,0.0,0.06590320536545553,0.09128057519005138,0.023815908490039416,9.304435910987828e-11,0.02184358651105625,0.025128606667949346,0.09877719452558734,0.03501958122622046,7.95478052483694e-11,0.04363843882000684,0.08131430100173945,0.0713705103649903,0.08937003569983006,5.861942199771722e-11,0.041442904415817834,0.16088181844965688,0.048795250943938794,0.123576131324089,7.733503756645998e-11,2.554449177870635e-10,0.1591586579128895,3.6006904936541253e-11,8.724693568418519e-11,0.10231750478473257,1.7024637479951565e-10,0.00898527705916267,0.10850869780462591,1.2775542913338802e-10,0.32586663772824054,0.61021835274327,7.79015058431663e-11,1.6332634548832904e-10,6.193228654057646e-10,2.5528091197910447e-10,0.0306231670821499,0.02996364532357493,9.117885767603457e-11
F40,0.028374744031654447,0.03485559302115556,0.011827192103025097,0.04388680902353221,0.03714047258699915,0.08043315206287714,0.06808414425817859,0.10691553625933187,0.052857610915759946,0.104669860901764,0.057651087635213004,0.07654643543925294,0.12619792865982304,0.31971515607002815,0.14828018898104306,0.005451266183057901,0.08164629858133404,0.13136686167576633,0.9730726170043134,0.3646833446844446,0.015144953889526956,0.03407408019935473,0.04783660272873228,0.0532934494121221,0.04040330876792234,0.03337889210752833,0.04208696942997822,0.2169345828283139,0.08820645989027713,0.12685684961703253,0.07850788618475232,0.10251622990165904,0.10115080506079419,0.1323831003433825,0.0828202315732012,1.8320493970954552e-06,0.10225511948679458,0.4081602978736272,0.7045189702796784,0.08264095540552678,0.2262453311080416,0.06504088469726456,0.2661550201982037,0.1291015686429689,0.1373344390059575,0.09511689670193268,0.16314936631972274,0.04714093734203521,0.26714178986804804,0.0068571480785701135,0.011388517041083271,0.02077646715247818,0.039743970754336694,0.08269946484606658,0.009815732919213,0.06055739347094268,0.08686561178395434,0.022054100355426758,0.3374181425512163,0.10565415297462875,0.04528338518902992,0.038553357626406624,0.031409224749412344,0.13722809649072107,0.021816637513867216,0.13829437249230195,0.05091647102310163,0.04655579548984441,0.0,0.16406303996374783,0.027653545629498295,0.08871688144269423,0.02240904034242641,0.02497591976852445,0.09421237263571064,0.009119652887197927,0.03197013987153131,0.11806410939017258,0.05082694327252742,0.07105483734396402,0.05267383410249867,0.04479940951764372,0.16528640224644642,0.06813637028307945,0.0873519300203228,0.03416104771120587,0.14845744436838493,0.06365190540912455,0.007872100739300959,0.03089686421495031,0.1197615254642857,0.03272034308132801,0.02603263879923526,0.06873629356384996,0.15151218080895268,0.05551818798028819,0.16275745370710012,0.0423039719759082,0.7631607250023579,1.0,7.089285522040615e-07,8.72023688516181e-07,8.425214312780415e-07,0.12347702793915376,0.13389755552203586,0.13956381975019472,0.13729623894004372
F77,0.0038490159231627263,0.004752736934311777,0.004011864424616933,0.004631953150534386,0.0033558366627526558,0.002660758374267831,0.004095398185535755,0.007591269855323508,0.002896768177325208,0.003882776336799417,0.009909747969478524,0.006254995243537331,0.006491677435401752,0.008365040528608331,0.00460849815784475,0.003512463298572491,0.012845813670494997,0.15350342775756054,0.5930360875810284,0.007299813692582045,0.0012144206698957122,0.005253443263132347,0.005665052073488372,0.005348899087469183,0.006906699365000462,0.004633194309075074,0.005559553418703817,0.0073692006227079505,0.012652019521275938,0.007793022271620469,0.011105299011788621,0.00856491677901781,0.006208533502715428,0.005428670926537107,0.012365707710941972,0.0022837181868441904,0.01425179291428117,0.017223762130112338,0.27822474576472456,0.00633511975522341,0.01805188709284308,0.008280807790536825,0.02281412673141874,0.010295183741788953,0.013608751494861219,0.011477620081441929,0.010884814070170267,0.0221426556310227,0.021167097442802305,0.01653312632912665,0.0027201704737032507,0.003938943788971997,0.004214306018141459,0.00671928470996388,0.003565944574436142,0.006873875361675365,0.00803339655492646,0.0026739568600369487,0.08519429943269796,0.013844549933321954,0.009220247639131903,0.013419419523036142,0.005573810333223191,0.013078586066287284,0.002107592813844847,0.020830000899149034,0.015170387447941542,0.017984185789137033,2.70373658983897e-06,0.010372909450236082,0.009489639561599008,0.007346123644737481,0.0040520097653865585,0.0037049832475219,0.02062160341332323,0.0062355468462685065,0.0061419513631216565,0.00842670530839072,0.0075931791477925545,0.009624255983686155,0.011489220050897852,0.0027099838586246874,0.01991054094355527,0.014249097743563748,0.008813184863694486,0.006489887996235339,0.008281129290714867,0.006164160404904456,0.012296828675487807,0.002863435899801307,0.007978520747032973,0.0073460857837458725,0.009108778724779758,0.014738925342706285,0.01379518008738354,0.006279739908633185,0.009332760886881723,0.0017878125020274029,0.591896753747043,1.0,0.0,0.007260875634136305,0.006516388539156434,0.014141500992596421,0.012968173861173264,0.01863461372699723,0.009908263122097798
F37,0.001571437304880258,0.0012005593230498806,0.001429332709401793,0.0011872229145491828,0.0022321256582465304,0.0015191888080283349,0.004217688070801176,0.00230323680589101,0.003300949673777734,0.0010012679338767439,0.0002780002188955453,0.00146772272482951,0.024013224389674136,0.0028999186669204672,0.0011900216912354988,0.015369882197946457,0.0034482464604829607,0.005515689318906934,0.7958287236151169,4.3036635207543544e-07,0.0006769494024335119,0.0015271557485902476,0.0014472580019835048,0.0007709066129448256,0.0002932182439368076,0.0002677849505352319,7.463341248054984e-07,0.003990053920654083,0.00104557470874773,0.0012896972681593801,0.008172220680874847,0.005830145799724063,0.0019947150949720122,1.0048770353821977e-06,0.0025667462856091674,3.3599871288758166e-07,0.0038217566729951483,0.0003229117133358944,0.34865437665722254,2.2931557999032694e-06,9.513774239069128e-07,0.00183513824311013,8.62846796400321e-05,0.0016117254097547376,0.004073024967788058,0.00025369189414884926,0.0006241198696628541,0.0005091853951064712,0.0007503434770985221,0.004186180271778621,0.0019888562563075895,0.001078523726215303,0.016903426506301333,0.0008306120427081744,0.00016942930717773103,0.003012736360736798,0.01286668853217496,0.0019725015536786773,0.04546856605652161,0.0007477982733454919,0.0019843526625125682,2.3187248336117078e-07,0.0009608923378782364,0.02628619197047347,0.003270917486754415,0.012541683841405136,0.0029733037114807507,0.012344021141114332,5.671183828957092e-07,9.311064183276462e-06,0.010758166200183012,0.0029650421973186412,0.024691190757152558,0.005015169883697428,0.37714642492467787,0.00904752297025731,0.030411938483266926,0.01165176186810415,0.00423440941828201,0.0017520562839896,0.013380891189227386,0.0030714471205579427,4.489164377023597e-07,0.0016797848287648733,0.00023376399792038563,0.0021777588865569955,0.012008091439391449,0.003427430057680826,7.313547922855936e-07,2.0451955354118137e-07,0.002976738462067858,8.743178897924907e-07,4.820103175171697e-07,0.004571366974161109,0.00459062829115903,0.013910677353005049,0.01269612302971463,0.0026205597533595134,0.965932556055552,1.0,0.0,0.006196821380991097,0.0068707118750984475,0.011480216729847925,0.0018748673353236455,0.22653600481246716,0.25454817977228844
F55,0.04678294678319725,0.04265102568760335,0.05513177058926338,0.027283802077395208,0.04788973720086569,0.06907968250357754,0.0037150922866363775,0.01215265424735612,7.953769811875712e-10,0.004343286394667742,0.011586688034492565,0.015340288850658627,0.028634771202827522,0.01658434757113994,1.2506081162869411e-09,8.72814059951452e-10,0.06638441838050908,1.804225724954206e-09,0.7058323092472055,1.36174923133617e-09,1.0149997505076608e-09,0.03216732835493971,0.03555354114765312,0.039274603773767125,0.023162980450138586,0.048676834398464985,0.02279471342000408,0.033303502055577375,0.010608757247676348,0.016923086782093203,0.03613408867562892,0.02745111690299716,0.008305433065365138,0.04255262950364006,0.045936730630483445,4.414456298947162e-09,0.03273057048927664,8.20988663093783e-10,0.09050920124944671,0.013096976038835528,0.09666419484841993,0.0247000898852015,0.03731196645587131,0.015449833479160098,0.02924276107643313,0.01911091483647061,0.010754834720220834,0.015762250242021887,0.03835295761684378,0.02552162307055631,0.010427281848700341,1.4782123745038148e-09,0.0058278123373780525,1.4485524646011555e-09,0.008985154980990184,0.10706835402261124,1.0871368528350561e-09,0.010032124140194689,2.9732096882792654e-09,0.06497964257891578,0.02752276442567151,0.0,0.028170485384030393,0.030422940014640524,3.4104796537484156e-09,0.03079942614705605,0.013931212223531995,0.01804348454119366,1.9542023797128047e-10,0.03489640345298085,0.005998308155596246,0.05538069691353197,0.017451779285014853,1.174496035309098e-09,1.7988782340178703e-09,0.03711581573955499,1.5715570224101792e-09,0.02002152469396128,1.5087393803609486e-09,0.014047903543683342,0.017141318645240173,1.1382493032430086e-09,5.989358436029816e-10,1.3542755554562564e-09,0.16239764890656136,0.05566967189571702,0.1156507075372704,0.02585332124292498,1.0142683871719378e-09,9.77146826298143e-10,0.11839621115350764,0.019886300935199937,2.967480477928941e-10,0.05138618634759038,0.023594805109572996,0.03558759200698468,1.8223442368152872e-09,1.5680211081132801e-09,0.1263356685732411,1.0,6.66371512210414e-10,3.998934244710602e-10,0.2190818639268805,1.5186256149519395e-09,0.02421580526021668,0.04864940382268673,0.0837155578271573
F189,0.024668833231654162,0.02638109697254631,0.0225403428672882,0.01114940273767177,0.02700737450644825,0.028225829653439637,0.0015173270562051978,0.0049679824522989415,3.695411679878537e-08,0.001774757792355059,0.019293266882410204,0.009839826849021916,0.016150788419235902,0.007783316282249612,0.08580536796057434,4.1175569762732545e-08,0.027125651120363324,2.167073301131869e-08,0.5819326071544161,5.963742716067715e-08,1.8093178678714884e-08,0.020502862596239867,0.02300264545153488,0.018366414707108893,0.009468677111277543,0.039467283993721715,0.009316266349146344,0.022191642293891502,0.004612074777187214,0.006920399113191652,0.09357273037317845,0.011400030992360234,0.0033977390008027783,0.022373229765255246,0.01877888036743896,3.3114418358010574e-08,0.021135670273529514,2.387123681006296e-08,0.19995004962687377,0.005348422700641,0.03941088669933873,0.010383634984046748,0.015249735521739357,0.006317531209290517,0.0284661854668131,0.00781317521413042,0.004392527981988065,0.006489582320631962,0.01578590932620282,0.010420999685187804,0.03409216785200532,0.03183616862093568,0.0023812972465550837,0.16349532789010135,0.01362998890755292,0.04475553214127476,3.8689407598718844e-08,0.0041135982074370645,5.140387834985779e-08,0.026552147789866948,0.011271936777731353,2.1116667876192135e-08,0.011504537329132782,0.01245295493869336,2.925055419083454e-08,0.012563636866471025,0.06686628008463236,0.007482603440449352,0.0,0.0582478209817732,0.014726245963570752,0.022620025699013627,0.034534848671592386,4.3685140497104025e-08,5.324011827632192e-08,0.015187679884316161,4.761000917875994e-08,0.015790790484631584,2.2738462296136416e-08,0.005755156875995064,0.009242655038191844,0.31074109048371595,6.055954844675756e-08,6.098541769009797e-08,0.2647544842391999,0.022739921316585365,0.06618782568918792,0.028959988271006966,5.963851079682629e-08,1.0046429653675818e-07,0.24313847127100893,0.008111998849678283,2.5464109960070828e-08,0.020970217272025745,0.00963818177221654,0.014543545196298304,4.2742231690341544e-08,4.6332800267682467e-08,0.051758908976169415,1.0,8.853366149108464e-08,1.8983255530108247e-07,0.12227284334700246,4.146377390554096e-08,0.009900815802758055,0.019875458304252643,0.03422828912631489
F67,0.014937099685869353,0.029849835010701743,8.438053542299535e-09,1.4587823701203025e-08,0.012602815218675675,1.889214941558845e-08,2.0366741077772504e-08,1.901361581615767e-08,1.632759478280419e-08,1.499139124432314e-08,0.024649353316105654,0.006004820634092098,0.021674597460227644,0.030373704764003674,0.14523919212586703,1.589034275705481e-08,1.7018660557171965e-08,2.056561391813157e-08,0.7970682743496761,1.1394187437604557e-08,2.1133642232600767e-08,0.012454680308447314,0.025825479447517907,0.014894320047575618,1.2616139471796643e-08,0.05273776811364979,1.2957165912466682e-08,0.014509249130765687,0.008283139182679419,1.5212743533100815e-08,0.13332266693607076,0.005650861866361756,1.4986021623235642e-08,0.1511011550791897,1.9469287460123017e-08,1.9486267223095514e-08,0.013174528962064294,2.1220888226708546e-08,0.27570477698535323,2.1592974757464347e-08,3.815037066836524e-08,0.008896941243740214,1.569615776239298e-08,1.5538914345896224e-08,0.027975027836924644,1.792691333913448e-08,1.8059727533972462e-08,9.599328463724176e-09,1.879255221805474e-08,1.653327553716285e-08,0.05625829352756042,0.05389621523827479,1.6659861654161448e-08,0.2767816999350482,0.016857327841684748,0.03070264526510303,1.6804186318975392e-08,1.6265978288493583e-08,1.929178145346942e-08,1.2386981524280598e-08,1.2016663348508976e-08,2.5058688126783663e-08,2.331901620593839e-08,1.5998640124317657e-08,2.4650607079220666e-08,1.3350547083659928e-08,0.16069192378697147,1.6784847228379527e-08,2.994496705414523e-08,0.07461935043719983,0.020781011170946398,1.8252759895626146e-08,0.046366573921466085,1.510271181299571e-08,1.556882599397981e-08,9.018816999274821e-09,1.4558936698261474e-08,0.029229417484892613,2.081133136961144e-08,1.4542341743380354e-08,0.06732487292459687,0.5253191787909975,1.570344476092523e-08,1.4224339611874306e-08,0.42950595769266176,2.1482214246350916e-08,0.08913456194965358,0.03115396960831271,1.3551787200577191e-08,1.8315381872687462e-08,0.5434061074703416,2.1578165090020547e-08,1.9245827345532708e-08,1.1609043663613864e-08,2.2187617676004905e-08,1.516704578646974e-08,1.5423558901521102e-08,1.3907785457854591e-08,1.8189543909521512e-08,1.0,6.656452108033927e-09,0.0,0.9995905081928348,1.6349320085769593e-08,1.0469623118925144e-08,1.7316936335659776e-08,1.4825705428950978e-08
F58,1.0,0.9515066896970279,0.887308230285847,0.683698544081058,0.9318740255318978,0.9340053777722958,0.7175149680690798,0.32655317369349723,0.24022294044150433,0.4814806315559334,0.3480887956397741,0.40253808457130996,0.484208142576073,0.3589543061644331,0.32813897876277587,0.2250062115804578,0.9072728091079882,0.37497541211595764,0.34780503327462026,0.4695020942643678,0.5764033067286588,0.03133050544085283,0.04231478820441135,0.0305868911180632,0.04090839071450325,0.06386207135356932,0.024498311950743815,0.04583337345438173,0.059899815797193216,0.05106602014744345,0.04377746896481983,0.04907062348984814,0.019562386476352573,0.0006355462247794748,0.035053126618621415,0.09292534297407468,0.09779620053898445,0.053527931209495457,0.13665408591935568,0.07708405089689391,0.11774312716336584,0.08332355330494191,0.1350112350010836,0.0976915516655763,0.09331933547680037,0.15176729785712287,0.04729126693713652,0.033290680982142044,0.19856158971862803,0.11278311336151253,0.08654490256872753,0.05453640116353869,0.10847306352528262,0.15385433840261803,0.09492764902780716,0.5133525163209871,0.08365649815375086,0.23997434076539675,0.20687635560399145,0.5164784628467659,0.10832528505807273,0.15826155302096728,0.14429955216212428,0.13157612534711596,0.0682741347108768,0.08616380418712481,0.0789527900787031,0.25175781053104274,0.037697236509730524,0.0945993974999566,0.10905658271586215,0.3798876237546289,0.07395902495511637,0.11012730575232348,0.06137631611279224,0.17744128189901914,0.2405487783526519,0.09126651481712564,0.1595447104291274,0.039656404266225465,0.17776620718007374,0.08211842460612057,0.14456390314511405,0.3952565516050216,0.328613825787797,0.49562519235870905,0.3268072836167534,0.13784754744773753,0.0,0.1988195531765022,0.20054273856699384,0.33190567225879686,0.13052048594346852,0.21811854073214326,0.39378851888111654,0.6163350672770243,0.3721482294635426,0.5804764770382242,0.2650449957371683,0.21943784699484914,0.11057023233478425,0.11828668084574288,0.3492599331962061,0.6159640161747232,0.2897487966383837,0.4301759555890271,0.12001000970682597
