"Factor","Max_AUC_Level1","annotation_Level1","Max_AUC_Level2","annotation_Level2","residual"
"GP14",0.559912254646312,"DP",0.997909412134156,"DP.wG",0.437997157487844
"GP8",0.514830700543717,"gdT",0.997140045621447,"gdT.Z",0.48230934507773
"GP7",0.588847427491114,"gdT",0.996084049100899,"DP.wG",0.407236621609785
"GP6",0.688572453242022,"Treg",0.992453381215331,"CD4.Y",0.303880927973309
"GP30",0.96626862713508,"Tz",0.992105080397934,"Tz.A",0.0258364532628536
"GP13",0.554162759155334,"Tz",0.991018430658927,"gdT.S",0.436855671503594
"GP27",0.76891530982599,"Treg",0.98788304658898,"Treg.D",0.218967736762991
"GP72",0.568956841159326,"DN",0.986457521268663,"CD4.Y",0.417500680109336
"GP171",0.641940882682088,"CD4",0.984784147359536,"DP.wG",0.342843264677448
"GP162",0.628973534487649,"gdT",0.982208157609629,"gdT.V",0.35323462312198
"GP197",0.562264402671415,"gdT",0.981509450833646,"gdT.Z",0.419245048162231
"GP36",0.559001378568249,"CD4",0.980142220267991,"CD4.Y",0.421140841699742
"GP62",0.685782994659758,"CD8aa",0.980063325249235,"gdT.B",0.294280330589476
"GP5",0.532905154487195,"CD8",0.979080590895188,"CD4.P",0.446175436407993
"GP16",0.55232507085378,"Treg",0.979021267367602,"CD8.F",0.426696196513822
"GP121",0.629893920811599,"gdT",0.978138300732215,"gdT.E",0.348244379920615
"GP100",0.73045877673068,"CD8aa",0.977481620629606,"gdT.F",0.247022843898926
"GP152",0.684367636496452,"Treg",0.977156264535223,"Treg.E",0.292788628038771
"GP107",0.490637657370577,"gdT",0.976336679475243,"gdT.Z",0.485699022104665
"GP68",0.94657211121281,"Treg",0.976195025415053,"Treg.A",0.0296229142022425
"GP3",0.788732817203872,"gdT",0.97604892011967,"gdT.B",0.187316102915799
"GP29",0.865483696085312,"CD8aa",0.974592374572576,"gdT.I",0.109108678487264
"GP10",0.595549147327846,"DP",0.971967329606364,"CD8.I",0.376418182278517
"GP2",0.561668794988375,"CD4",0.970839918468711,"DN.wM",0.409171123480337
"GP22",0.899348629743919,"DN",0.97002643234824,"DN.D",0.0706778026043207
"GP12",0.660267719689005,"Tz",0.966651050488243,"CD4.I",0.306383330799238
"GP177",0.583332658599644,"Tz",0.96488344429655,"CD4.X",0.381550785696906
"GP25",0.742667033586886,"Tz",0.96462710073396,"CD8.K",0.221960067147074
"GP79",0.621491498642189,"Tz",0.961799527905203,"CD4.X",0.340308029263013
"GP77",0.630173883634776,"DP",0.95752310060866,"DP.wE",0.327349216973884
"GP15",0.574863021982997,"DN",0.956430614262573,"Treg.C",0.381567592279576
"GP118",0.540501407771398,"DP",0.953290449541794,"CD8.K",0.412789041770396
"GP151",0.537924416505059,"gdT",0.950603729066207,"Tz.D",0.412679312561148
"GP93",0.606589378007433,"gdT",0.94843488236683,"gdT.Z",0.341845504359398
"GP4",0.536019897172151,"Tz",0.948045588361904,"CD4.wN",0.412025691189753
"GP1",0.720881701611041,"gdT",0.94616846731374,"gdT.C",0.225286765702698
"GP127",0.889979336770795,"DN",0.942555903183027,"DN.D",0.0525765664122323
"GP26",0.685636520312296,"Tz",0.939323069668291,"CD8.Q",0.253686549355995
"GP9",0.608292957065142,"DP",0.938952488461765,"DP.wC",0.330659531396623
"GP23",0.597984615440629,"Treg",0.938943269428765,"gdT.R",0.340958653988137
"GP122",0.56897530649227,"DN",0.938665697948983,"DN.A",0.369690391456713
"GP21",0.551783603483855,"DN",0.937870603061709,"DN.P",0.386086999577855
"GP150",0.5979054495794,"gdT",0.935117920462215,"gdT.Z",0.337212470882815
"GP58",0.974353137176709,"CD8",0.933065726162465,"CD8.A",-0.0412874110142438
"GP85",0.574503833684509,"gdT",0.932953030264933,"gdT.Z",0.358449196580425
"GP170",0.698422877563762,"Tz",0.929876990200179,"CD4.Y",0.231454112636416
"GP44",0.638770465044492,"DP",0.928353857946784,"DN.P",0.289583392902292
"GP80",0.820162833624079,"DN",0.924493258507487,"CD8.G",0.104330424883408
"GP161",0.58801237730353,"CD4",0.924253734281554,"CD4.Y",0.336241356978024
"GP37",0.651721606044313,"DP",0.922651046963616,"CD8.wV",0.270929440919303
"GP20",0.52996600808024,"DP",0.915557282589714,"CD8.K",0.385591274509474
"GP32",0.688812086423432,"DN",0.909105385074736,"CD8.J",0.220293298651305
"GP63",0.692843151131719,"DN",0.905155968736899,"DN.E",0.21231281760518
"GP101",0.611474908831041,"DN",0.896424611615314,"DN.A",0.284949702784273
"GP43",0.574371412224119,"gdT",0.884501087530988,"CD4.wN",0.310129675306869
"GP69",0.60852159477521,"Tz",0.881288683389648,"gdT.R",0.272767088614438
