"cluster","level1","n_cells"
"CD4.A","CD4",27164
"CD4.B","CD4",25938
"CD4.C","CD4",38133
"CD4.D","CD4",4945
"CD4.E","CD4",3414
"CD4.F","CD4",4265
"CD4.G","CD4",6666
"CD4.H","CD4",1958
"CD4.I","CD4",1028
"CD4.P","CD4",1035
"CD4.Q","CD4",3809
"CD4.R","CD4",512
"CD4.S","CD4",300
"CD4.T","CD4",495
"CD4.wN","CD4",1162
"CD4.wZ","CD4",468
"CD4.X","CD4",887
"CD4.Y","CD4",616
"CD8.A","CD8",44112
"CD8.B","CD8",16066
"CD8.C","CD8",2600
"CD8.D","CD8",2195
"CD8.E","CD8",10027
"CD8.F","CD8",266
"CD8.G","CD8",997
"CD8.H","CD8",1366
"CD8.I","CD8",198
"CD8.J","CD8",1203
"CD8.K","CD8",214
"CD8.P","CD8",2393
"CD8.Q","CD8",2445
"CD8.R","CD8",1006
"CD8.T","CD8",901
"CD8.wV","CD8",481
"CD8.wY","CD8",234
"CD8aa.A","CD8aa",8296
"CD8aa.B","CD8aa",1678
"CD8aa.C","CD8aa",2465
"CD8aa.D","CD8aa",1350
"CD8aa.E","CD8aa",1138
"CD8aa.P","CD8aa",503
"DN.A","DN",579
"DN.B","DN",3462
"DN.C","DN",1757
"DN.D","DN",1680
"DN.E","DN",1946
"DN.H","DN",504
"DN.I","DN",232
"DN.J","DN",107
"DN.P","DN",320
"gdT.A","gdT",2231
"gdT.B","gdT",5563
"gdT.C","gdT",1319
"gdT.D","gdT",4354
"gdT.E","gdT",636
"gdT.F","gdT",6349
"gdT.G","gdT",1411
"gdT.H","gdT",567
"gdT.I","gdT",3705
"gdT.K","gdT",2112
"gdT.P","gdT",2313
"gdT.Q","gdT",945
"gdT.R","gdT",1479
"gdT.S","gdT",1526
"gdT.T","gdT",218
"gdT.U","gdT",1518
"gdT.V","gdT",1883
"gdT.Z","gdT",3331
"Treg.A","Treg",8101
"Treg.B","Treg",2510
"Treg.C","Treg",974
"Treg.D","Treg",3819
"Treg.E","Treg",1866
"Treg.F","Treg",2941
"Treg.P","Treg",1786
"Tz.A","Tz",6663
"Tz.B","Tz",846
"Tz.C","Tz",1939
"Tz.D","Tz",1565
"Tz.P","Tz",228
