"gp","CD4.A","CD4.B","CD4.C","CD4.D","CD4.E","CD4.F","CD4.G","CD4.H","CD4.I","CD4.P","CD4.Q","CD4.R","CD4.S","CD4.T","CD4.wN","CD4.wZ","CD4.X","CD4.Y","CD8.A","CD8.B","CD8.C","CD8.D","CD8.E","CD8.F","CD8.G","CD8.H","CD8.I","CD8.J","CD8.K","CD8.P","CD8.Q","CD8.R","CD8.T","CD8.wV","CD8.wY","CD8aa.A","CD8aa.B","CD8aa.C","CD8aa.D","CD8aa.E","CD8aa.P","DN.A","DN.B","DN.C","DN.D","DN.E","DN.H","DN.I","DN.J","DN.P","gdT.A","gdT.B","gdT.C","gdT.D","gdT.E","gdT.F","gdT.G","gdT.H","gdT.I","gdT.K","gdT.P","gdT.Q","gdT.R","gdT.S","gdT.T","gdT.U","gdT.V","gdT.Z","Treg.A","Treg.B","Treg.C","Treg.D","Treg.E","Treg.F","Treg.P","Tz.A","Tz.B","Tz.C","Tz.D","Tz.P"
"GP1",-0.0321398896599118,-0.0473758051713864,-0.0578727793756379,-0.0530711002516979,-0.0323109098527509,-0.0313891838678992,-0.0175295449227626,-0.0432170187122302,-0.0253314750645144,0.0600659167412034,-0.00827037996156943,0.0346153909989315,-0.0358915926485069,-0.00462107736540734,-0.118240954171214,0.019931989547218,0.0620231440018574,0.120603864610433,-0.0495229424088626,-0.0573120413564943,-0.0169107857107925,-0.0267076169154906,-0.0395100358099607,-0.0528064040939621,-0.030142994817757,-0.0203251338217563,-0.00184914841404543,0.0103512956862544,0.0643184934581627,0.0424982740272461,-0.00727619908843408,-0.00820666936414494,-0.00171425075143861,0.00668714034892331,-0.0310805665532357,-0.00196893703236617,-0.0187937493317081,0.117627484859483,0.0750268753354164,0.0673160136767473,0.0670807588515393,-0.0157790441210666,-0.0243473961175661,-0.0212323981771455,0.00715163636166627,-0.0169559573495245,-0.00412363853581227,-0.0245498010651656,-0.0330827896522827,0.0498733682786165,0.034020801127331,0.114152287666377,0.120244785978931,0.0775411174486108,-0.0105849238740266,0.0405123587054004,-0.0253534240915703,-0.054871144736249,-0.023827833726145,-0.0252180032887947,0.0781648430805994,-0.0319706929582916,0.037698316876862,0.0297613300949874,0.056188490527563,-0.0607248426619799,-0.0470677527805825,-0.00280145489779615,-0.0611686160129377,-0.0549658204230669,-0.00277540590563741,-0.00950483758552007,-0.00761606603264764,-0.00313532294457397,0.0553279330450244,-0.0198532825685001,-0.0153911955960754,-0.0515793510615023,0.0305582046413161,0.0405280666836945
"GP2",-0.0031149791081638,0.00156942488490535,0.0239485360654822,0.00635441999332004,0.0177009302362959,0.00542901668197924,-0.00184354902882696,0.00676887502626382,0.0123245035639019,-0.00219037411121713,-0.00361045673205351,-0.0124634965239916,-0.00822274151583506,-0.0062044752017023,-0.0166972747810054,-0.0124009676361389,-0.00845821730510645,0.00635594193632187,0.00679949272075131,-0.00255945134876489,0.0051815418653285,-0.00300107902962616,0.000319605753186524,0.00486461008198336,-0.0111676576430655,-0.00796941801715544,-0.0103299757923603,-0.00990776775788487,-0.0145444081015291,0.0106281827473544,-0.00907729107592999,-0.00791763589721912,-0.00618830873533687,-0.0139990698931732,-0.00943178048015367,-0.00808218456574769,-0.00888532075907923,-0.00962715822703637,0.0323170182456405,-0.0105952207239432,-0.00735900560093072,0.00608200589959354,-0.00133284654197035,-0.0124898457516657,-0.00846393727079981,-0.00934986363222535,-0.0108568680801097,-0.0115208261923968,-0.00568985044449126,-0.00510624849281985,-0.00917727320575198,-0.0104038949467055,-0.00948972013513963,0.0298629983055309,0.177237898194776,-0.0107279143605715,-0.00864459445780835,-0.0034552538188507,-0.00346744098875483,0.0110225999705014,0.0439031628045037,-0.00910599643366101,-0.00576444121247054,-0.0103016260245808,-0.00730690153552209,-0.0114480963324464,-0.00550787405669663,-0.0125569431015304,0.00476652366562963,0.0130631933490348,-0.000541500036573748,-0.00339739318565821,-0.00680520048962193,-0.00297993842583038,-0.00719052815410546,-0.00342212757885923,-0.00768703646307212,-0.00110274440873195,0.000913395784613125,0.0137301135755017
"GP3",-0.0518964077077302,-0.051873722492802,-0.0518322936584045,-0.0518474439597515,-0.051890627634994,-0.0517472079781182,-0.0518428944789586,-0.051492241796509,-0.0510930892301208,-0.0471585804109898,-0.0325629739885583,-0.0516728690534895,-0.0514719994684788,-0.0512988981492522,-0.0519218037196694,0.0434757417809899,-0.0514687438195719,-0.0381203250995752,-0.0518864321068577,-0.0518666035274009,-0.0509523174871849,-0.0514862970884226,-0.0517621712023549,-0.051921777656765,-0.0517200917322905,-0.0401460250649115,-0.0437395627486341,-0.0509046759399299,-0.0454018777991667,-0.0461086193788419,-0.0218241168192667,-0.0172515368279702,0.0102726266465078,0.00963823157555027,-0.0502443884286057,0.0249580583750552,-0.0487297261739093,0.349319618254909,0.335606988758337,0.0913915273667485,0.0752771114368979,-0.0501694834510812,-0.0500367843777896,-0.0507626867273381,-0.0466148726363523,-0.0397374700492608,-0.0122501441272028,-0.0451177052692694,-0.0500418051635853,-0.0149381354635426,0.169103744161953,0.358499276544833,0.342747088864399,0.334422151767496,0.180262703851204,0.192188607724763,-0.049051923542391,-0.0498905914986032,-0.0318644617406805,-0.0502846351111821,0.206338566143591,-0.0518072766260117,-0.0510282998293293,-0.0509212828327023,-0.0479571812473654,-0.0502892609828652,-0.0517614086916907,0.295081057982176,-0.0517250429628646,-0.0518092936345267,-0.0514805501638715,-0.0494692187101473,-0.0512288956110918,-0.0517421016512531,-0.0511912862538263,-0.0498263112791638,-0.0451471953844504,-0.0512743379888189,-0.0512468378813856,-0.0507782777162793
"GP4",0.0235236315695584,-0.0281786434901286,-0.0284484800266287,-0.011253669463005,0.00887228660552927,-0.0106178068983686,-0.0144830798702202,0.0306642652820664,0.00925943870413859,0.0292065348710032,0.0126071989901129,-0.0246911349201901,-0.0282031227121953,0.040809233187551,0.23712367779094,-0.0453488911204136,-0.00195918469880438,0.0092803391778887,-0.0145377630807556,-0.0414829482420536,-0.0172945527003762,-0.0151239268984455,0.00187292278753887,-0.0284023971894178,0.0233676479921951,0.00432970513647599,-0.00863633023101457,0.00110487757533498,0.00455980640244741,-0.0116426680164793,-0.0076911333255697,0.0159561171246987,-0.00101456799596333,-0.0637162797272139,-0.0602520860823689,-0.00393612392666912,0.0160522528783646,0.00488792400948926,-0.0579785286046276,-0.0208816693413625,0.0430530057169478,0.00506936000972286,-0.0292857546097478,0.0320751842611072,-0.0332704846371664,-0.0262134128779265,-0.00666881594402585,7.03065199119113e-05,0.00128344088587184,0.0142168141586043,-0.0219913784767253,0.000801863257010926,0.0105114160579478,-0.064532080214907,-0.0479727441643289,0.00501187304085784,0.000515892232848064,0.0311478080486353,-0.00354483147248355,-0.0128878959350195,0.0438995837166415,-0.0184152418743312,-0.0492162222701127,0.0854492968893127,-0.0135721425036293,0.0721663433022469,-0.00460539391823372,-0.0194969461552276,0.00462623181654018,-0.0026500316598595,0.0300184113342151,0.0230868880189911,0.0193520487120654,-0.0253516445796149,-0.0148041014884535,0.0110942660404873,0.00875252490060502,0.026170037712509,-0.0375246306105398,0.0359282852361886
"GP5",-0.0177752825557134,-0.0177493592549105,-0.0173892945893244,-0.0177011265146318,-0.0171263762930891,-0.0170424909043828,-0.0157871465844457,-0.0149577964708971,-0.0126764024769805,0.189636902506152,-0.0147519466012639,-0.0129699988462513,-0.0176255247062337,-0.0170480222723405,-0.0175771271276475,-0.013043630054023,-0.0174172788583504,-0.0167608468481269,-0.0175297438659767,-0.0176710220339172,-0.0151434857234321,-0.0164969988682028,-0.0160296628215376,-0.016078661549232,-0.0175222284208771,-0.0168045546775373,-0.0173127220949091,-0.0168663497786538,0.0641688785274867,0.171838397149475,-0.0172038664315358,-0.0171734880111099,-0.0154403408000794,-0.0123022371377326,-0.0173312806111514,-0.017644638257686,-0.0176437500736522,-0.0177040193506481,-0.0171713519522639,-0.0176436843654002,0.0885797056064025,-0.017371309788756,-0.0159370678536416,-0.0176469000548041,-0.0173389884468692,-0.0177989524751795,-0.0106332714247842,-0.0176164940403259,-0.0173496805125294,0.239607646664141,-0.0170036099923112,-0.0178007576070259,-0.0175619866149216,-0.0177487842076852,-0.0133306571340982,-0.0176506135867851,-0.0176596588382616,-0.0178171286740323,-0.01749379912701,-0.0175735478156069,0.0913839487769494,-0.0177018196367001,-0.0169606406989795,-0.0177056939215868,-0.0169434633024244,-0.0174941099859762,-0.017337925931222,-0.0174870000400296,-0.017644730546689,-0.0174565618757371,-0.0162613645226569,-0.0175142291592731,-0.0176113725873321,-0.0175952372485172,0.188374019274713,-0.0174543637130031,-0.0175691041509384,-0.0175303909513188,-0.0175244986470733,0.175649954392915
"GP6",-0.0644748629647466,-0.064330766167393,-0.0644172730085912,-0.0644774927679575,-0.0643481858063573,-0.0589570921579452,-0.0430282780359407,-0.0454593809321277,-0.0315770126179119,0.0332355358088152,0.0359596835957666,-0.00599605498819004,-0.0446163877337701,0.205191087309977,-0.0641016898528697,-0.0558948916854141,0.278892345999338,0.49661576959754,-0.064446800330633,-0.0642102072160274,-0.063417325580255,-0.0625302975130009,-0.0641622274645408,-0.0643578805115609,-0.053753869170605,-0.0425058057337582,-0.0403883984848231,-0.0353615570816388,-0.0219827998935096,-0.0437982221535181,-0.017871434866604,-0.025601448732074,-0.0632083612560504,-0.060749420888379,-0.0561034431293549,-0.0637083920822385,-0.0580686300079786,-0.06181220111642,-0.0630611919851481,-0.0621428277874451,-0.0612035290988464,-0.0580042974664476,-0.0572775649402974,-0.0641944472944339,-0.0636215354068284,-0.0126426471044456,-0.0470615465063205,-0.0592200279674992,-0.0390023120111355,-0.0538153746753925,-0.0502365751230384,-0.0622054975074278,-0.06256157659612,-0.0628452807700285,-0.0555457090201517,-0.0637731046276987,-0.0621856704880919,-0.0568454580607003,-0.0633030546123404,-0.0641171357901923,0.00860101216577755,0.107551175777409,0.356065920603077,0.319363455228694,0.366952904262972,0.240890499113182,0.174394229093334,0.034348886116289,-0.0592229692931806,-0.0261553625021115,0.0299404015382114,0.142587539379979,0.187281031978115,0.028198720281625,-0.00678253232983348,-0.0472109436748245,-0.0592419793646237,-0.0591297605974747,0.181072230259256,-0.0248144235750936
"GP7",-0.000932328553471933,-0.000949974734675921,-0.000852726796406348,-0.000949641581412827,-0.000921544555719698,-0.000968649600681958,-0.000910651431376066,-0.000990016129692332,-0.000522795409680925,-0.00073693076260472,-0.000988467378621159,-0.00101800007380346,-0.00101799489646255,-0.000716337670638418,-0.00101799703497005,0.000180680000416192,-0.000951073013863547,-0.00090041541754849,-0.00084736062262394,-0.000953483122171568,-0.000944147150603665,-0.000940590664091952,-0.000879920648926093,-0.000965079620364595,-0.00101799629762712,-0.000903296301669214,-0.00101800080399042,-0.000986491219064633,-0.000930186512457924,-0.000686126540940768,-0.000918917251312863,-0.000884110436476948,-0.000798033268902185,-0.000858545920256099,-0.00101799863222608,-0.000799842273810656,-0.000784048292058843,-0.000792726281659775,-0.000763979099057665,-0.000811392826703686,-0.000856038360051374,0.000315579849038822,0.000551239223265386,0.000353699861997201,-0.000731229525215125,-0.000350407338569359,0.00365259886485727,-0.000703381724906934,-0.000731270991751261,-0.000821414140036466,-0.000527033885570675,-0.000753514403170261,-0.000982847888149821,-0.000468761063366853,-0.00078109904176785,-0.000804168104432513,-0.000908904018240948,-0.000960946778824184,0.00022367607174639,-0.000251548155813504,0.0143213079874278,-0.000947717987942267,-0.000780883973112776,-0.00077117326484123,-0.000997450881781691,-0.000816220773250322,-0.000930110126153451,0.0422422781849017,-0.000883337937161606,-0.000900732836585251,-0.00093409432160987,-0.000916124258245799,-0.000984342742812504,-0.000952469619278809,-0.000983328416529227,-0.000885796981211555,-0.000969361846421042,-0.00101456479814398,-0.000909605338232254,-0.000783359691842878
"GP8",-0.00717973375948461,-0.00717001675322019,-0.00717008582271211,-0.00718231025017015,-0.00718231106468024,-0.00718230993749877,-0.00716801737471515,-0.00710269631580472,-0.00705219775779245,-0.00713532211128164,-0.00707333001197865,-0.00718230993408928,-0.00718230845015714,-0.0068055523920313,-0.0071823088528935,-0.00718231035258113,-0.0070725605050487,-0.00663521063846786,-0.00718189240133339,-0.00717292424327651,-0.00718231097017673,-0.00716917772990772,-0.00718230943956169,-0.007182309559788,-0.0071823094823428,-0.00714345992732371,-0.00718230879906519,-0.00718230976369347,-0.0071823106069496,-0.00709275616406044,-0.00688271808893256,-0.00711205795487381,-0.00643793620744019,-0.00695249091590309,-0.00718230930751425,-0.00702697102386123,-0.00700357852447968,-0.00718230981189765,-0.00714215029626049,-0.00687523968449923,-0.00698355695889509,-0.00714929594369804,-0.00714842261729829,-0.00718230989010639,-0.00704531001136171,-0.00245271313091884,-0.00609045949934147,-0.0071823095077776,-0.00718231063147014,-0.00597189920108569,-0.00717611314297405,-0.00715480669618207,-0.00718230962884319,-0.00692415923796275,-0.00521102029640154,-0.00690240085542872,-0.00680412223047819,-0.00718231008843052,-0.00680103395861627,-0.00718231060709864,0.128133623264053,-0.0071823049363926,-0.00623789101939934,-0.00709441150769767,-0.00677605295704416,-0.0058581097818384,-0.0071261230414933,0.413779436444276,-0.00716965578250681,-0.00717571339360594,-0.00718230774551012,-0.00716154933219022,-0.00698873527847412,-0.00714796825099698,-0.00718230605312751,-0.00715235689178677,-0.0069855393427286,-0.00715188865937899,-0.00657362780662033,-0.00718231060541836
"GP10",-0.0152399898419876,-0.015195501967282,-0.015107780498333,-0.0152547985020187,-0.0152956736644988,-0.015235347175426,-0.0138807203822709,-0.014261868642033,-0.0146585653106289,-0.00911737162581898,-0.0136653753146962,0.0365459779280288,0.217532747080787,-0.013858921181458,-0.0152744305036451,-0.00806886465020792,-0.0152479055195286,-0.010818554393749,-0.0151451201144168,-0.0151724204377505,-0.0152213529997011,-0.0145408419804024,-0.0111455704627512,-0.0100581790521057,-0.0014210413651359,0.183400801427798,0.307836070067296,0.0422345818658141,0.0726934326167213,0.0226262873271886,-0.00961886024395872,-0.00134373449975273,-0.0147227692195451,-0.0100332947512953,0.012037218611837,-0.0149505781277796,-0.0147171641228207,-0.0134580577518103,-0.0143687481190797,-0.00601040046208103,-0.0102729712583173,-0.0147600199353081,-0.0141067159228671,-0.0120389789533565,-0.0112650147737407,-0.0145609271435795,-0.0103796118877543,-0.0127267939412628,-0.0124488610343622,0.0131064681354244,-0.0071979434867402,-0.0143173344146212,-0.0149747480598839,-0.0145955717536086,-0.0136413442731519,-0.015007948675142,-0.00992066680522515,-0.0132289910278505,-0.015043789576366,-0.0116384542503018,-0.0116693306198129,-0.0145261342920397,-0.0147138762087226,-0.0131623476039218,-0.0139428884274706,-0.0147080016285313,-0.0131269238126367,-0.0132253820607374,-0.0150199406051722,-0.0146408817633809,-0.0142799987366607,-0.0114602967174661,-0.013536323638674,-0.0137163412942131,-0.0147276972033137,-0.0139591192186584,7.95472557308715e-05,-0.0152173684506611,-0.0147470633969164,-0.0134767265802258
"GP12",-0.0254225922431208,-0.0237512897128275,-0.0225051071009786,-0.0239825811514494,0.0166686255758251,-0.000735253543863543,0.0478433324636258,0.181538433550614,0.175141283514769,0.00513395782708955,0.0106866296093229,0.0103198145180683,-0.00392346782027123,0.0114905289948833,-0.0114938552613968,-0.020418862511655,0.0117265850199725,0.00760911789191963,-0.0217639791134296,-0.0206874404290534,0.0384806788579724,-0.00981356907852166,-0.0250441574399059,-0.0288449550375247,-0.0146262732959197,-0.00474236944583514,-0.0154222228777165,0.00198249754726029,-0.0173872959905943,-0.0102782669523232,-0.0148561043141566,0.00500474887820285,-0.011863770149114,-0.0244807615578576,-0.0248004287918178,-0.014078700681849,-0.0170372983825352,-0.0134638603142801,-0.0128300570002102,-0.0270495273078309,-0.0149737385776291,0.0536436487658601,-0.0129279296399152,-0.0210226276141466,-0.0174809589539367,-0.0192488298719685,-0.00664133705454069,-0.0206427729193636,-0.00147147461580033,-0.00624442380470502,-0.0263846517527155,-0.0167970816772019,-0.0172683146162611,-0.0151570984400718,-0.00856733151811749,-0.0149898653521433,-0.0223006659072341,0.0025994951945355,-0.0177109711776795,-0.00528654824940904,-0.0153080623862255,-0.0216367423472836,-0.0173528482411465,-0.0191629964316754,-0.01507043495613,-0.0159697607995667,-0.018308304058971,-0.0146799241990694,-0.013396191488456,0.123041998009979,0.0579519660579625,0.0361358803921268,0.00890757188017392,0.0284453191338003,0.0376763340239429,-0.0019552957285033,-0.0243491318550024,0.0228315047467331,-0.00178632194589906,0.0105367312321678
