"panel","lineage","drawn_in_4c","cluster","n_cells","gp","color","mean_loading","proportion"
"a","CD8",FALSE,"CD8.A",44112,"GP2","#0000FFFF",0.0240734025030746,0.0280359348280848
"a","CD8",FALSE,"CD8.B",16066,"GP2","#0000FFFF",0.0147144584335584,0.0185480327828762
"a","CD8",FALSE,"CD8.C",2600,"GP2","#0000FFFF",0.0224554516476518,0.0211655451797268
"a","CD8",FALSE,"CD8.D",2195,"GP2","#0000FFFF",0.0142728307526972,0.0136734279943287
"a","CD8",FALSE,"CD8.E",10027,"GP2","#0000FFFF",0.0175935155355099,0.0155184466872972
"a","CD8",FALSE,"CD8.F",266,"GP2","#0000FFFF",0.0221385198643067,0.0156727886337196
"a","CD8",FALSE,"CD8.G",997,"GP2","#0000FFFF",0.00610625213925785,0.00485663105782545
"a","CD8",FALSE,"CD8.H",1366,"GP2","#0000FFFF",0.0093044917651679,0.00793741414316476
"a","CD8",FALSE,"CD8.I",198,"GP2","#0000FFFF",0.00694393398996299,0.00502576012242118
"a","CD8",FALSE,"CD8.J",1203,"GP2","#0000FFFF",0.00736614202443847,0.00475540230307926
"a","CD8",FALSE,"CD8.K",214,"GP2","#0000FFFF",0.00272950168079428,0.00139553323534603
"a","CD8",FALSE,"CD8.Q",2445,"GP2","#0000FFFF",0.00819661870639335,0.00736213596261052
"a","CD8",FALSE,"CD8.R",1006,"GP2","#0000FFFF",0.00935627388510422,0.00808537152015707
"a","CD8",FALSE,"CD8.T",901,"GP2","#0000FFFF",0.0110856010469865,0.0105798817369494
"a","CD8",FALSE,"CD8.wV",481,"GP2","#0000FFFF",0.00327483988915018,0.00354404837764094
"a","CD8",FALSE,"CD8.wY",234,"GP2","#0000FFFF",0.00784212930216967,0.00567979247858105
"a","CD8",FALSE,"CD8.P",2393,"GP2","#0000FFFF",0.0279020925296778,0.0164218555386991
"a","CD8",FALSE,"CD8.A",44112,"GP5","#FF0000FF",0.000364108207871965,0.00042404117926269
"a","CD8",FALSE,"CD8.B",16066,"GP5","#FF0000FF",0.000222830039931463,0.00028088420000782
"a","CD8",FALSE,"CD8.C",2600,"GP5","#FF0000FF",0.00275036635041652,0.00259237730614199
"a","CD8",FALSE,"CD8.D",2195,"GP5","#FF0000FF",0.0013968532056459,0.0013381908646564
"a","CD8",FALSE,"CD8.E",10027,"GP5","#FF0000FF",0.00186418925231105,0.00164431727522745
"a","CD8",FALSE,"CD8.F",266,"GP5","#FF0000FF",0.00181519052461671,0.00128504965989691
"a","CD8",FALSE,"CD8.G",997,"GP5","#FF0000FF",0.000371623652971558,0.000295572297652218
"a","CD8",FALSE,"CD8.H",1366,"GP5","#FF0000FF",0.00108929739631138,0.000929250600442493
"a","CD8",FALSE,"CD8.I",198,"GP5","#FF0000FF",0.000581129978939564,0.00042060017827351
"a","CD8",FALSE,"CD8.J",1203,"GP5","#FF0000FF",0.0010275022951949,0.000663330514776698
"a","CD8",FALSE,"CD8.K",214,"GP5","#FF0000FF",0.0820627306013354,0.041956840965962
"a","CD8",FALSE,"CD8.Q",2445,"GP5","#FF0000FF",0.00068998564231289,0.000619739467323816
"a","CD8",FALSE,"CD8.R",1006,"GP5","#FF0000FF",0.000720364062738745,0.00062251395678843
"a","CD8",FALSE,"CD8.T",901,"GP5","#FF0000FF",0.00245351127376926,0.00234158337529271
"a","CD8",FALSE,"CD8.wV",481,"GP5","#FF0000FF",0.00559161493611603,0.00605127411217571
"a","CD8",FALSE,"CD8.wY",234,"GP5","#FF0000FF",0.000562571462697232,0.000407451731458705
"a","CD8",FALSE,"CD8.P",2393,"GP5","#FF0000FF",0.189732249223323,0.111667452341212
"a","CD8",FALSE,"CD8.A",44112,"GP10","#00FF00FF",0.00032985283144972,0.000384147296345104
"a","CD8",FALSE,"CD8.B",16066,"GP10","#00FF00FF",0.000302552508115959,0.000381376852190347
"a","CD8",FALSE,"CD8.C",2600,"GP10","#00FF00FF",0.000253619946165437,0.000239051278650446
"a","CD8",FALSE,"CD8.D",2195,"GP10","#00FF00FF",0.000934130965464111,0.000894901138733993
"a","CD8",FALSE,"CD8.E",10027,"GP10","#00FF00FF",0.00432940248311533,0.0038187706991518
