,CD8.A,CD8.B,CD8.C,CD8.D,CD8.E,CD8.F,CD8.G,CD8.H,CD8.I,CD8.J,CD8.K,CD8.P,CD8.Q,CD8.R,CD8.S,CD8.T,CD8.wM,CD8.wU,CD8.wV,CD8.wX,CD8.wY,CD4.A,CD4.B,CD4.C,CD4.D,CD4.E,CD4.F,CD4.G,CD4.H,CD4.I,CD4.P,CD4.Q,CD4.R,CD4.S,CD4.T,CD4.U,CD4.wM,CD4.wN,CD4.wZ,CD4.X,CD4.Y,Treg.A,Treg.B,Treg.C,Treg.D,Treg.E,Treg.F,Treg.P,Treg.wM,gdT.A,gdT.B,gdT.C,gdT.D,gdT.E,gdT.F,gdT.G,gdT.H,gdT.I,gdT.J,gdT.K,gdT.P,gdT.Q,gdT.R,gdT.S,gdT.T,gdT.U,gdT.V,gdT.wM,gdT.X,gdT.Z,CD8aa.A,CD8aa.B,CD8aa.C,CD8aa.D,CD8aa.E,CD8aa.P,CD8aa.wM,Tz.A,Tz.B,Tz.C,Tz.D,Tz.P,Tz.wM,DN.A,DN.B,DN.C,DN.D,DN.E,DN.F,DN.G,DN.H,DN.I,DN.J,DN.P,DN.wM,DP.wA,DP.wB,DP.wC,DP.wD,DP.wE,DP.wF,DP.wG,DP.wH,DP.wM,DP.wP,DP.wX,DP.wY
F43,0.5639492476491426,0.3815449474083373,0.10669180623668152,0.13240571215902042,0.37073049829420734,0.470944564487752,0.6060451602722482,0.5951045047023864,0.14074545391353294,0.4048694508415151,0.28780768461964695,0.07657373596644787,0.29933710799856333,0.2185840770535181,0.06158488522356456,0.4475031966609818,0.20164793053004523,0.6837289504096211,1.0,0.16134213902666358,0.7771683440393531,0.39925168875558864,0.3730339330527875,0.39900752393667804,0.40443557934163776,0.050850318822646234,0.07605721926501291,0.25118569286191333,0.2189354712784877,0.08892884326603574,0.023328713822294223,0.16387743815931077,0.11041426638845853,0.1629530765163584,0.02609141802870615,0.012185261648534236,0.19966998810139253,0.06482077653749083,0.5147520341979287,0.13848430743411594,0.024053599034905098,0.49935918856363,0.24288930825011065,0.05347879791420257,0.15988849216976753,0.28475930837581254,0.3592131577325691,0.01773181023955111,0.22229963584331303,0.5258333065530557,0.5922027356451374,0.1678851193344852,0.3264400636220535,0.08175248185362924,0.4308574137704867,0.3878117570776489,0.24274995754993478,0.5963700327292353,0.3142756399942884,0.3171939971224593,0.046644995371890374,0.45346125694689154,0.2531108748369117,0.0980936533671502,0.09177841560048912,0.24292477272871404,0.2855401031839153,0.2070732675009894,0.3576963720406595,0.12854992538302254,0.5061200312045878,0.24758842696142663,0.5110232289545414,0.2671594042482249,0.2160651568614138,0.07888288252009622,0.2843227572630901,0.13275860527296257,0.26423775618613016,0.12791489047978227,0.1224063548873364,0.012320652814733704,0.08438722732921297,0.16616106826766452,0.14943425138509137,0.3179940366931751,0.2298447123727129,0.2728705052155096,0.21324705540402827,0.03300718177094213,0.14060766084912027,0.245549093932273,0.20415035303674361,0.007841999669915369,0.12116400281591763,0.503660143039926,0.2865656140157644,0.6390019442694731,0.8086836618145734,0.7347676522777767,0.0,0.03486977211717105,0.0852968271789264,0.15739445946917477,0.06692371927816444,0.4384960199988699,0.4722979366614397
F66,0.03384703599914621,0.02317615401457719,0.0267120316320622,0.008233014040620408,0.022974889862915928,0.059124287734326764,0.2884888306529985,0.037623590371830454,4.633866603729524e-08,0.019223513153961844,0.008193255008670821,0.005810521461830523,0.02817668096644325,0.012016931794777476,0.007579545653162426,0.031482029760620374,0.006989479844814602,0.24338640015241528,1.0,0.38886793288381877,0.08451413859923049,0.023623707291192352,0.016900449804846954,0.031244071732883454,0.17706902234656433,0.015392748763255247,0.01338772530993467,0.16272825403902022,0.1070863334361036,0.14345983706988408,0.008741613567688822,0.05242260127634373,2.8881207557816973e-10,0.018420271700136,0.002650056090996791,7.721866290400016e-39,0.014428313743658869,1.0647118974023402e-10,0.40359347130380385,0.010919079197097972,4.79113685723321e-26,0.057639387992037654,0.026171563897081272,0.00014940087480628373,0.011224044073049349,0.023636235216350564,0.03681512430739685,0.011752059652566694,3.158450729021822e-39,0.018893760212169722,0.00323004998209615,0.0021310531634680012,0.02225336525346698,1.612408934017596e-29,0.025775895345038224,0.023543635665812336,0.05178157078076406,0.08974397096026382,1.0014764244442604e-30,0.0662920817737845,2.3949950579344295e-17,0.04885039231957937,8.931044322077878e-31,1.4800024713687394e-11,6.6215243201035e-27,0.006078750454330659,0.009997050481336738,7.49210457653093e-33,4.711232992471744e-14,9.124302607761669e-28,0.02026214589496014,0.0020055235715514793,0.002432683091295498,0.016185987242629405,0.000978783981669231,7.202402533708062e-42,1.5289799763004266e-37,0.009841828830538473,0.004193460462725697,0.05093159631693627,0.005492981448850063,0.020414242959173004,5.299169358765872e-35,0.005212147342504893,0.0019609660728977436,0.005899656421302848,0.0018142804145812785,0.0015559636401832944,6.452203871616919e-27,7.173519411803648e-10,0.0051834340015157595,0.0338726335582903,0.10681875337720523,0.0,5.606417973836366e-24,0.10433230420144783,0.1314929670264362,0.07320365931313808,0.593747426404346,0.8248087823529338,3.933168859250868e-36,0.0,0.09421937099392168,0.05367017661746983,0.017059255954740463,0.09754564044442571,0.015309762333224671
F167,0.056048604454839494,0.012535734560412707,0.011180577512124715,0.01091766691507542,0.02598457346649221,0.02134810503779331,0.09429203819156833,0.01145778715797279,0.0018845397181825178,0.03918700903054675,0.04031351094648005,0.12099887327788819,0.10288038094771576,0.04060821245526831,0.11000157757431994,0.12626826420997594,0.0012446608856450116,0.3025137739108084,1.0,0.05708281941667836,0.12429366783024644,0.00625324007282131,0.005916287633004347,0.013804442083181148,0.002672699269721714,0.0012724013748826924,0.0027235754165722105,0.00750258618132156,0.013258489892476072,0.0036259179224042443,0.04140198680014113,0.020392707730667,0.010551369592715439,9.126351402875668e-07,0.0028725456191456933,4.327830673359009e-12,0.005061986201145658,0.005341620716291782,0.5659547936112403,0.04193516111905329,0.005371203574040781,0.009869741082495335,0.0027593351167516326,0.001803037526023743,0.002366779993222878,0.0018849803745517406,0.0017348053051236974,0.02273398202348305,0.0,0.06983702204547695,0.011908268049475331,0.06271895227644177,0.014241409287942638,0.007046590128442149,0.041906661713733084,0.021995228381685376,0.044549764036312806,0.08965001436928201,2.287059376121305e-40,0.02152159786892829,0.08885291690924951,7.469341840686253e-06,0.003248194814001739,2.1604057110575023e-32,0.020232756784962287,0.001639748248874021,0.0012215993974047496,6.609295299757097e-05,1.6371014216483602e-43,0.0028316228644993803,0.052247437874608595,0.023621750308450002,0.023428158138110774,0.013085221220025674,0.01990983746529219,0.14903230635285863,0.0052955550800968575,0.008773981255400076,0.03411124587777628,0.022383162797473103,0.00678307153614247,0.05259367731469904,1.0449432978435272e-23,2.0911130754724856e-31,0.010377832956974385,0.023116070194467174,0.023543541749351235,0.05823949735957847,0.008472779043081758,4.10757701201735e-23,0.019361445496626998,0.014634726506570694,2.261400919820664e-45,0.014021611188035688,0.0002803908820227733,0.024216089435717753,0.13746232135763073,0.08152203788066092,0.8836744147648519,0.9587272464748915,0.0,0.0,7.832403947394798e-39,0.009690399911966463,0.11965889252319625,0.21934753647398542,0.1753720646517446
F40,0.1682038390925676,0.13133422054751662,0.15876829283129007,0.20693751085701226,0.09902986888988702,0.08050637220073116,0.0756279363932296,0.09766277593048651,0.03117833480618773,0.1366427931433722,0.05100399186758921,0.04635510793404282,0.14768396533694278,0.1272692743363006,0.36364783898394304,0.12759618189055222,0.20025715317373352,0.4597345291403503,0.7659720715339167,0.44142001920244206,0.10955971952142451,0.09955792208497567,0.13418144887102973,0.16706377240542022,0.13667058668746532,0.11529976793481063,0.17896338113190044,0.09251137226645895,0.10046676279338337,0.19288089329236552,0.02465249635931002,0.2083317254490276,0.17210756411975753,0.09294555030198196,0.07049828616319598,0.03564351664662245,0.2087225460811327,0.3053932793111985,0.4821122249262809,0.13538535131420992,0.16801761912802987,0.08876531391036756,0.18159616715114416,0.16605587443276543,0.17818529857226706,0.07635374023472814,0.12946749748713748,0.014439574640089018,0.2028431003085858,0.08537119715962967,0.10032400236955065,0.24461495399408295,0.11055598919749245,0.040656268197104765,0.18602243831724813,0.11493915911996277,0.12652902401272037,0.09662150444225302,0.28254006928016867,0.1511057743578582,0.04459350542344908,0.051217944295619044,0.08648876325996908,0.02102949995632416,0.17919598969672906,0.1322527431823778,0.09481053850985895,0.1482257888649503,0.0,0.07280678635843313,0.10928617738173328,0.12928662657314943,0.09362547049777603,0.0993120612625509,0.05370454596722875,0.07526252655254169,0.08900066791132033,0.0380664077680687,0.05766728082542091,0.15570823722808202,0.07837517101029695,0.007856264233810193,0.059090199132081474,0.052223873171000725,0.11880636795080672,0.052788406235142665,0.14266016433016437,0.14338415185608142,0.13213297823633513,0.020685969351165054,0.13623220920037324,0.2402287578413234,0.05387973412423702,0.016384926218744482,0.11216229946463749,0.2149182252161483,0.3681007828751435,0.138402862784135,0.8192074952214597,1.0,2.0506069535790578e-29,0.04371374655340533,0.3207916477842246,0.1784503684200841,0.09191602190962019,0.2300298879691582,0.2809311511723169
F77,0.031083241625039094,0.0194389001798082,0.01399709759583991,0.019945461255078494,0.0034137334570667594,0.009356173921769276,0.03350912320098156,0.014062796348198016,0.006419137447881871,0.025275653505957736,0.007979449059423048,0.004886578681772133,0.006397240557173607,0.017184310486304904,0.04666435776733367,0.008957192832851868,0.003573278666064807,0.22025536524394723,0.7106300958912606,0.11497192021565045,0.00524512806092943,0.015291771380738858,0.014545134974483247,0.029413910295128905,0.03416334053004513,0.017853476975406766,0.008990406024093615,0.015424499973545797,0.0265572252838637,0.06307414908542194,6.120710697104091e-16,0.02259584282016162,0.006342921839488196,0.002898683464205442,0.002097143283418574,3.6293830437181644e-36,0.014011234724075325,0.0068242897550028925,0.4212306459265112,0.02234492292647903,0.04704675755185901,0.013885671303133326,0.018748848682491045,0.005288050289730727,0.00810403058403637,0.0069062397030171556,0.009283239784397549,0.000719371073974347,1.0545790841135528e-23,0.006237912799599066,0.11175914820734918,0.07927494002870498,0.12521506700373214,2.189016189819112e-18,0.06750017837566004,0.0015147124582765299,0.022162628776251584,0.0050928307931936145,2.0131283215366223e-17,0.011567595050165358,0.003937822841366522,0.017294251447269454,0.0023595667464473614,5.361722779639185e-11,0.015351441749849861,0.0024052100076034076,0.01364558081895186,0.0016069240945615062,1.23417791271837e-29,0.0032594411930326264,0.01788446517275104,0.0019076306322641,0.05888703409755219,0.09972335629090025,0.006458843835783927,1.4158422938776406e-23,1.513040156088574e-22,0.0027090236333383185,0.003360058083391081,0.009578036226488163,1.642490636479696e-08,2.6280057331903914e-37,4.856669431621405e-19,0.011997961855064188,0.003203651663214273,0.0022575127021621055,0.0029280466702137162,0.0037133108002621665,2.889549479250809e-21,3.087696559167029e-36,0.004059043627335764,0.012077105689380583,4.5485808363160574e-12,1.326831986696113e-29,5.342259964202441e-11,0.05778133064770269,0.03516758728190024,0.08114829465078806,0.7544012539451306,1.0,0.0,1.746540570189589e-43,5.06566200292802e-24,0.0038772542207839164,0.013499994681165839,0.035725950479242444,0.10856657980760008
F37,0.05556410661305779,0.033918897160532126,0.006018523836074702,0.010630447074934416,0.008344999104207728,0.00043292774807316315,0.013622781455714253,0.02878492050857277,0.0067263501633847925,0.017047195656977557,0.04253424766230872,0.026868412735647117,0.001729129578900623,0.005883667406677915,0.017535983878752152,0.052579148038859,0.0009464394240321549,0.26075584724124745,0.8503143242218227,0.014713875757744332,0.0054445379192294766,0.12565521212724845,0.09131332256987999,0.2214020234298209,0.020861499853675938,0.05589805424528282,0.07318914969346209,0.020770497493879922,0.04371550361388007,0.01829250734897938,0.008192384334492785,0.0040723864157510255,0.005066113233118371,0.008303353672546896,1.4861042410455834e-07,2.0108626187503635e-31,0.006941976380022914,0.037709810218654084,0.5296354161593837,0.017076885234540328,9.631775521122607e-09,0.0445784688464311,0.013498304821865807,0.005470246087513676,0.006572819965238505,0.00285379145291328,0.008464876013413202,0.007923362873684286,3.838697462523861e-41,0.010259194054673928,0.059453396621831654,0.08266309181110151,0.029094882672660725,7.858391768090201e-29,0.18854795398598728,0.009841153844035916,0.05345218000496615,0.023796032113580685,1.038846699918528e-38,0.02323685068715556,0.04374719125426709,3.810378375380315e-05,0.008253690689872679,6.6264086855805224e-12,0.05301557005469262,0.019993467992563706,0.011236153243524486,0.0,0.0,0.012726453683949843,0.06367394185903914,0.005789207981677694,0.06456158901124803,0.03397567381877172,0.012498672711761874,0.061259868864605556,0.008062497326445638,0.0017091849542797306,0.010345096733687064,0.021345524839597087,0.0049501741687349955,3.4694900595332206e-24,3.745977808838921e-47,0.016930015827838714,0.023326763105701205,0.005040766711637119,0.004461429920760026,0.005971571674000465,0.012899997280894871,0.04491962796162563,0.008427131382743116,0.005564745501554564,3.41065737566055e-26,8.105272079647543e-35,4.7601638972618124e-45,0.053513741597838005,0.015302951783198793,0.09752178056871803,0.8842424383529612,1.0,7.06597490504835e-42,0.0,7.236920275504375e-36,7.764350097111327e-12,0.027075455086915466,0.05275985628021981,0.049501649398685364
F55,0.031704771134917646,0.015418999880739727,0.042521310529843544,0.0037179149886111544,0.08164632473388643,0.007989250996205002,0.026170373430273192,0.00823694588880083,0.003448961320468121,0.018011180631066534,0.002068953364853145,0.008011038571153383,0.018703029451377216,0.0229115316579063,0.06811766163849779,0.15755598825669045,0.017062015912941077,0.5620739401066722,0.903384933057877,0.15385116079234673,0.04255196640864399,0.000641119983921401,0.0006490098216350386,0.0020188828977953143,0.0011919223230387563,0.000995380592335097,0.00037092360416642197,0.002310368928610735,0.006714543211728054,0.0014949665875861363,2.1267673103064544e-07,0.002635450971254877,7.909464602398063e-31,0.0015459556997964967,3.3828006374296544e-36,0.0,0.007175906058130451,2.6951350162272523e-29,0.4627890955168589,7.424912317840305e-09,1.41484970581991e-30,0.0025131938785363708,0.005398616111239707,2.0108782098829617e-32,0.000617162751510743,2.768959382277766e-11,0.0013985434360929562,0.0,1.0004405642885879e-23,0.007422472657617205,0.0036143438700252622,0.0063131278180383185,0.006081543086115306,0.009069606961896104,0.10052586722710952,0.15470943781479035,0.021735949363795623,0.09549063485589812,0.11345464345803058,0.10736847280986787,0.005669838794135204,1.1725093675615623e-09,1.2135771407874325e-25,0.0,0.0027295015145137784,0.001290963078969249,0.0020844377790338927,0.0038826054170979286,0.0,0.0007114321987477791,0.1829121199971391,0.09617207717471558,0.008157111394854642,0.011795863033984737,0.01552137382852798,0.019508550213901233,0.00414236856575176,0.0072401042977260285,0.012414959710820584,0.013470062750765932,0.0016963400201196641,7.188297216504578e-32,0.002746905345433408,0.042962947603199235,0.09185839346729233,0.19390862692155564,0.10743813564439311,0.06434979998380405,0.012280803491336171,0.04553192140836978,0.03576167037900649,0.10746388284017229,1.1242916823111694e-27,0.010982053621027787,0.01947880900081183,0.02723286403504589,0.04338190403673393,0.04921728821515748,0.7816649754537749,1.0,0.0,2.73368258257483e-46,0.0,0.015160339765705856,1.0459187117847944e-12,0.22256372938246333,0.0921739227974539
F189,0.020881049341150558,0.003859503811747986,0.004506413172969844,0.04466610106172835,0.0036252034901288633,0.014346470595393769,0.001992960280631486,0.007307020858046934,1.2018632378936962e-23,0.012027847570762345,0.00908775178404895,0.026878191192805333,0.021750689620686367,0.10497933609133615,0.032187642202530425,0.008930602124351168,2.4964981084523178e-27,0.10389895467212767,0.6563335976597688,0.05897437992969822,4.214016674522688e-39,0.004972584668330013,0.0016651612267036292,0.008366144677906803,0.023431648150176888,0.0071225445903677735,0.017056575112481313,0.008108516090996241,0.02450962912983681,0.021500827302862974,0.025480678099089476,0.011781611773408503,0.004708971816609528,0.013332688472650333,2.1582136148478296e-17,0.0,1.1693940222056638e-28,0.012121933944689078,0.39966772065623524,0.009026951506191015,1.954223358996477e-28,0.013594878488787078,0.012370753578731238,0.021020879964754453,0.005322283815048102,0.012716631560907616,0.010375294882577012,0.019598302252019587,0.0,0.16042960409456697,0.16140870487891093,0.037565005930752134,0.00560378579320619,0.0,0.013887267170618493,0.00766583800595346,4.4584148244350264e-07,0.006479553506617894,2.072381459009915e-43,0.02928256284106086,0.00986519079780804,0.010776985263230435,2.8795773617634103e-06,7.488458078576485e-48,0.007859618378277743,0.01843944444357498,0.013735558609037132,9.512735168988621e-35,0.0,0.06328209407005428,0.013652173673184423,0.007068928291478573,0.09037350419192454,1.25510388612611e-18,0.009894476309929515,0.02106394470694062,0.0,0.0015915884708168184,7.079371564831048e-11,1.34351880738623e-07,0.0024371110884738013,0.02476917236252406,0.0,0.02232754422514321,0.01151241529311706,0.003247266566454678,0.0066051118426151325,9.979174330798878e-12,8.535070893706732e-37,0.0,0.031117050707495413,0.008219857105061448,2.6991084221169502e-39,6.99335941271061e-18,0.0,0.0199579343604164,0.04663649568925935,0.05313979172303587,0.6956529182068647,1.0,0.0,0.0,9.173589544227591e-42,1.7598684784650138e-07,0.041396945452686684,0.021661284620656418,6.814857205967132e-26
F67,0.006891495554839181,0.03909564361918232,0.02170057675173331,0.000792934394277729,0.00967520722708244,1.1323785853227907e-23,0.00270039588730008,0.00600779913592374,0.0008959627082906018,0.001119047839289313,0.0,0.0011199194688512716,0.007109105548834269,0.009350673437633582,0.010380276678015752,0.24585934840187215,0.0003161741473690784,0.03456120376060036,0.6866278687660093,5.1824089981642055e-42,0.014591493795973827,0.0002438748792481012,0.008574290304183808,0.003718173884976013,0.0007750734485823988,0.005167723053287895,0.0,0.0026560189930092087,0.001314000243697328,0.0012898493747091227,0.0006825850299467658,0.0032577654157312243,0.002187030914073937,2.5146616754438124e-40,0.0,0.0,0.0030410395128104605,0.0,0.44570148865627773,0.0020481718084206057,0.0,0.008333604297968252,0.002853749539057551,7.257100765180948e-24,0.0004004594634347327,1.3281694779853926e-44,0.002068602288947561,8.795765355083156e-46,7.962873417823719e-37,0.031553549643589515,0.005470198276886026,0.006114542415203984,0.00772853975243844,0.05860581584768455,0.027007842141849224,0.0618337694178888,0.004685622098403936,0.23902144357708485,0.04101664097715187,0.2640230785507279,0.007221228673738899,0.0,1.21032583283178e-09,0.0012063665667707466,1.0591768094214607e-29,0.001664965470069154,0.003720782353629995,0.011115787218327818,0.0,0.02964356470764919,0.22097983323774786,0.08213440828832262,0.01444118242600554,0.0044337957121564,0.020072844188315776,1.5025105990287692e-23,0.00537645099711902,0.007279930792579946,0.02074384641403512,0.006390238044625125,0.0022059547910502925,0.0,0.0035652554964820905,0.04802026492871288,0.1889719246999102,0.038216501342811224,0.11312026791526487,0.08322994887739814,0.06036828720115103,0.18939497735602098,0.03371740407433905,0.0507151372037078,0.0,0.0047452693383163765,0.015383441849609414,0.008982112139128808,0.010527945902782047,0.007997389802750358,0.7112815607172628,1.0,5.51717384419202e-16,0.0,0.0,0.0,0.0,0.1649258448069017,0.060273413409795404
F58,0.43050830541689555,1.0,0.6410645711622825,0.20980436403486533,0.9768956162506536,0.9516345464560763,0.2525326887460912,0.07720329767630371,0.0595050070829095,0.10377962117795043,6.315651654009304e-15,0.12656397913994527,0.09537052758905595,0.07333304351733207,0.16311295228242434,0.06470713792699838,0.958969459132758,0.03162168236555483,0.04731462575886666,0.46351507247744217,0.2870970314443178,0.020866599547838333,0.05100484812011712,0.017109122968981864,0.01008067178387532,0.03378568096157202,0.009184896080871937,0.05989140375735433,0.003617426115224935,0.017754934525737894,0.003758295300564549,0.012058323229358073,0.031732347301588,0.005523925564930439,2.636279835440537e-29,1.192112217185196e-28,0.03832281396341856,3.426707304721659e-10,4.725658425717615e-13,0.011277180679951242,0.007515062939515987,0.13665872896731632,0.025130833225311344,0.0134113897283307,0.013230610625597602,0.002634456324122112,0.034613247466784854,0.006816318037104968,0.032203316344315086,0.0180807018484234,0.005843594561562496,1.5441762755905218e-31,0.039035494674986286,0.03242042626948283,0.01085642097056769,0.30256738700992086,0.012899458593108202,0.04946156112673804,9.504779582442822e-43,0.1276649159286059,0.002533885419448219,0.14737644346475565,0.022433325007325176,0.0740415934357756,3.087421770137634e-30,0.004584307473857849,0.027315380956694633,0.07921758317129378,3.3399767551678753e-45,0.028770821787507367,0.026782103547722133,0.14760827114188513,0.00431876794252919,0.061083759049804,2.6571840590329426e-05,0.0174904066151858,0.05920520738888272,0.055103135547368884,0.006339061326469162,0.023323255639175155,0.015146549754476615,0.0,1.6389302992657472e-22,0.23745707042041028,0.12368073808081886,0.24098902420071677,0.03554000616266325,0.007039703913881372,1.83184878956515e-44,3.516847254690176e-38,0.05045734783704465,0.06818522874014718,0.05365855445975505,1.1699114599622906e-11,0.11832119307900522,0.5636514698027156,0.15131482523113518,0.24599664721298728,0.02430529566503336,0.06419021710100381,0.0,0.0,3.785947084864916e-18,0.8125156162473616,0.05161435030418501,0.2440001634504303,3.6729073848135906e-07
