"panel","lineage","cluster","n_cells_healthy","n_cells_drawn"
"a","CD8","CD8.A",44112,2000
"a","CD8","CD8.B",16066,2000
"a","CD8","CD8.C",2600,2000
"a","CD8","CD8.D",2195,2000
"a","CD8","CD8.E",10027,2000
"a","CD8","CD8.F",266,266
"a","CD8","CD8.G",997,997
"a","CD8","CD8.H",1366,1366
"a","CD8","CD8.I",198,198
"a","CD8","CD8.J",1203,1203
"a","CD8","CD8.K",214,214
"a","CD8","CD8.P",2393,2000
"a","CD8","CD8.Q",2445,2000
"a","CD8","CD8.R",1006,1006
"a","CD8","CD8.S",99,0
"a","CD8","CD8.T",901,901
"a","CD8","CD8.wM",6174,2000
"a","CD8","CD8.wU",81,0
"a","CD8","CD8.wV",481,481
"a","CD8","CD8.wX",30,0
"a","CD8","CD8.wY",234,234
"b","CD4","CD4.A",27164,2000
"b","CD4","CD4.B",25938,2000
"b","CD4","CD4.C",38133,2000
"b","CD4","CD4.D",4945,2000
"b","CD4","CD4.E",3414,2000
"b","CD4","CD4.F",4265,2000
"b","CD4","CD4.G",6666,2000
"b","CD4","CD4.H",1958,1958
"b","CD4","CD4.I",1028,1028
"b","CD4","CD4.P",1035,1035
"b","CD4","CD4.Q",3809,2000
"b","CD4","CD4.R",512,512
"b","CD4","CD4.S",300,300
"b","CD4","CD4.T",495,495
"b","CD4","CD4.U",23,0
"b","CD4","CD4.wM",10543,2000
"b","CD4","CD4.wN",1162,1162
"b","CD4","CD4.wZ",468,468
"b","CD4","CD4.X",887,887
"b","CD4","CD4.Y",616,616
"c","Treg","Treg.A",8101,2000
"c","Treg","Treg.B",2510,2000
"c","Treg","Treg.C",974,974
"c","Treg","Treg.D",3819,2000
"c","Treg","Treg.E",1866,1866
"c","Treg","Treg.F",2941,2000
"c","Treg","Treg.P",1786,1786
"c","Treg","Treg.wM",654,654
"d","gdT","gdT.A",2231,2000
"d","gdT","gdT.B",5563,2000
"d","gdT","gdT.C",1319,1319
"d","gdT","gdT.D",4354,2000
"d","gdT","gdT.E",636,636
"d","gdT","gdT.F",6349,2000
"d","gdT","gdT.G",1411,1411
"d","gdT","gdT.H",567,567
"d","gdT","gdT.I",3705,2000
"d","gdT","gdT.J",40,0
"d","gdT","gdT.K",2112,2000
"d","gdT","gdT.P",2313,2000
"d","gdT","gdT.Q",945,945
"d","gdT","gdT.R",1479,1479
"d","gdT","gdT.S",1526,1526
"d","gdT","gdT.T",218,218
"d","gdT","gdT.U",1518,1518
"d","gdT","gdT.V",1883,1883
"d","gdT","gdT.wM",1732,1732
"d","gdT","gdT.X",2,0
"d","gdT","gdT.Z",3331,2000
"e","CD8aa","CD8aa.A",8296,2000
"e","CD8aa","CD8aa.B",1678,1678
"e","CD8aa","CD8aa.C",2465,2000
"e","CD8aa","CD8aa.D",1350,1350
"e","CD8aa","CD8aa.E",1138,1138
"e","CD8aa","CD8aa.P",503,503
"e","CD8aa","CD8aa.wM",247,247
"f","Tz","Tz.A",6663,2000
"f","Tz","Tz.B",846,846
"f","Tz","Tz.C",1939,1939
"f","Tz","Tz.D",1565,1565
"f","Tz","Tz.P",228,228
"f","Tz","Tz.wM",706,706
"g","DN","DN.A",579,579
"g","DN","DN.B",3462,2000
"g","DN","DN.C",1757,1757
"g","DN","DN.D",1680,1680
"g","DN","DN.E",1946,1946
"g","DN","DN.F",76,0
"g","DN","DN.G",70,0
"g","DN","DN.H",504,504
"g","DN","DN.I",232,232
"g","DN","DN.J",107,107
"g","DN","DN.P",320,320
"g","DN","DN.wM",822,822
