GP,max_raw_tissue_mean,dominant_tissue,dominant_lineage,max_masked_tissue_auc,rule,row_in_panel
GP1,0.438365436167064,small intestine epi,gdT,0.786529766358465,A,12
GP3,0.260935526517872,small intestine epi,gdT,0.901987869438771,A+B,10
GP4,0.220923705091736,submandibular gland,Tz,0.70072877810265,A,14
GP6,0.232121848027319,skin,Treg,0.950275372761943,A+B,4
GP8,0.182585011144817,skin,gdT,0.857928708730844,A,1
GP9,0.224912228953586,LN,DP,0.651673187152771,A,32
GP11,0.326897407501658,placenta,CD4,0.908044582425517,A+B,26
GP22,0.144409910727254,mammary gland,DN,0.810814630548107,A,17
GP23,0.182760454606629,skin,Treg,0.845081468120502,A,5
GP25,0.179293082539524,skin,Treg,0.788921197366109,A,7
GP26,0.280962241165108,submandibular gland,Tz,0.923772122713178,A+B,13
GP29,0.432946560796113,colon epi,CD8aa,0.938601831882679,A+B,30
GP30,0.144520628761165,submandibular gland,Tz,0.854679354259003,A,15
GP32,0.234650327088182,placenta,DN,0.793639257663562,A,25
GP35,0.231664569670391,colon LP,DN,0.866533073032259,A,29
GP37,0.0112260803718164,mammary gland,DP,0.991819791652933,B,19
GP41,0.301596790037512,peritoneal cavity,CD4,0.796715243859615,A,28
GP43,0.241420322802608,mammary gland,gdT,0.751715247405052,A,18
GP49,0.442782706357079,CNS,Tz,0.684631953724994,A,20
GP51,0.203878810899083,CNS,DN,0.737758027294003,A,22
GP58,0.278279964634542,bone marrow,CD8,0.699262109517484,A,31
GP62,0.25592568057013,small intestine epi,gdT,0.795397394964428,A,9
GP63,0.151217660617597,skin,DN,0.818210577635615,A,8
GP72,0.148721859379701,skin,Treg,0.824220037280877,A,6
GP80,0.274064177643596,peritoneal cavity,DN,0.837084366323719,A,27
GP93,0.123863861269331,skin,gdT,0.706021925837276,A,2
GP100,0.156036568074378,small intestine epi,gdT,0.796923244466915,A,11
GP166,0.210036249771297,CNS,Treg,0.714929520232247,A,21
GP170,0.178914751838384,small intestine LP,Tz,0.786843323533305,A,23
GP171,0.190914069555375,submandibular gland,DP,0.637664963822683,A,16
GP174,0.10956413083536,small intestine LP,Treg,0.614111070107988,A,24
GP177,0.152761438640057,skin,gdT,0.91118866739573,A+B,3
